#LICA Lamps Spectra Database
#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2017/12/26
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.7289	0.6370	0.1950
#xyY coordinates: 0.4670	0.4081	0.6370
#sRGB: 255	99	23
#CCT Lindbloom (K):	2584
#CCT McCamy (K):	2576
#CCT Hernández-Andrés (K):	2474
#Melatonin: 0.273
#Chlorophyll a: 0.178
#Chlorophyll b: 0.538
#Beta Carotene: 0.179
#Manufacturer: Unknown
#Luminance manufacturer: Unknown
#Other data: Riba-Roja de Turia streetlamps
#Begin Processed Spectral Data
W	S
300.00000000	0.00000000
301.00000000	0.00000000
302.00000000	0.00000000
303.00000000	0.00000000
304.00000000	0.00504524
305.00000000	0.00000000
306.00000000	0.00631429
307.00000000	0.00000000
308.00000000	0.00002295
309.00000000	0.00000000
310.00000000	0.00000000
311.00000000	0.00000000
312.00000000	0.00341893
313.00000000	0.00000000
314.00000000	0.00145611
315.00000000	0.00000000
316.00000000	0.00744907
317.00000000	0.00160501
318.00000000	0.00223714
319.00000000	0.00010425
320.00000000	0.00000000
321.00000000	0.00042278
322.00000000	0.00000000
323.00000000	0.00000000
324.00000000	0.00341386
325.00000000	0.00263123
326.00000000	0.00650274
327.00000000	0.00004583
328.00000000	0.00341987
329.00000000	0.00193714
330.00000000	0.00000000
331.00000000	0.00032600
332.00000000	0.00000000
333.00000000	0.00000000
334.00000000	0.00124022
335.00000000	0.00385693
336.00000000	0.00008888
337.00000000	0.00000000
338.00000000	0.00000000
339.00000000	0.00000000
340.00000000	0.00000000
341.00000000	0.00000000
342.00000000	0.00000000
343.00000000	0.00000000
344.00000000	0.00164262
345.00000000	0.00000835
346.00000000	0.00414130
347.00000000	0.00000000
348.00000000	0.00004159
349.00000000	0.00000000
350.00000000	0.00000000
351.00000000	0.00000000
352.00000000	0.00083831
353.00000000	0.00000000
354.00000000	0.00003955
355.00000000	0.00236204
356.00000000	0.00000843
357.00000000	0.00539359
358.00000000	0.00000000
359.00000000	0.00000000
360.00000000	0.00295335
361.00000000	0.00022211
362.00000000	0.00000000
363.00000000	0.00418625
364.00000000	0.00025215
365.00000000	0.00000000
366.00000000	0.00299357
367.00000000	0.00000000
368.00000000	0.00061907
369.00000000	0.00000000
370.00000000	0.00273098
371.00000000	0.00264209
372.00000000	0.00199148
373.00000000	0.00055580
374.00000000	0.00141833
375.00000000	0.00197057
376.00000000	0.00000000
377.00000000	0.00000000
378.00000000	0.00000000
379.00000000	0.00000000
380.00000000	0.00000000
381.00000000	0.00000000
382.00000000	0.00099140
383.00000000	0.00000282
384.00000000	0.00000153
385.00000000	0.00064522
386.00000000	0.00000000
387.00000000	0.00000000
388.00000000	0.00002672
389.00000000	0.00074464
390.00000000	0.00000000
391.00000000	0.00102556
392.00000000	0.00003760
393.00000000	0.00002833
394.00000000	0.00107334
395.00000000	0.00199799
396.00000000	0.00001906
397.00000000	0.00132147
398.00000000	0.00000000
399.00000000	0.00026846
400.00000000	0.00166571
401.00000000	0.00081259
402.00000000	0.00032606
403.00000000	0.00129248
404.00000000	0.00354350
405.00000000	0.00259675
406.00000000	0.00360772
407.00000000	0.00111300
408.00000000	0.00106853
409.00000000	0.00429087
410.00000000	0.00332558
411.00000000	0.00462727
412.00000000	0.00813670
413.00000000	0.00662525
414.00000000	0.00621302
415.00000000	0.00673859
416.00000000	0.00669676
417.00000000	0.01011925
418.00000000	0.01018856
419.00000000	0.01331847
420.00000000	0.01394467
421.00000000	0.01505941
422.00000000	0.01862821
423.00000000	0.02523691
424.00000000	0.02540413
425.00000000	0.02959604
426.00000000	0.02967366
427.00000000	0.03807067
428.00000000	0.03545157
429.00000000	0.04550845
430.00000000	0.04882262
431.00000000	0.05238894
432.00000000	0.06249601
433.00000000	0.06470021
434.00000000	0.07295880
435.00000000	0.08019988
436.00000000	0.09208347
437.00000000	0.09692865
438.00000000	0.11587183
439.00000000	0.12294038
440.00000000	0.13598900
441.00000000	0.15411786
442.00000000	0.17008201
443.00000000	0.19223165
444.00000000	0.21694803
445.00000000	0.23976668
446.00000000	0.26742612
447.00000000	0.29271864
448.00000000	0.31931451
449.00000000	0.34882501
450.00000000	0.36059710
451.00000000	0.36174035
452.00000000	0.35913453
453.00000000	0.36468941
454.00000000	0.34107857
455.00000000	0.33266214
456.00000000	0.30542725
457.00000000	0.29413027
458.00000000	0.27321377
459.00000000	0.26138025
460.00000000	0.25130139
461.00000000	0.23324101
462.00000000	0.22408082
463.00000000	0.21479375
464.00000000	0.21301531
465.00000000	0.20810885
466.00000000	0.19889328
467.00000000	0.19638787
468.00000000	0.19196200
469.00000000	0.18042346
470.00000000	0.17848939
471.00000000	0.16855342
472.00000000	0.16240111
473.00000000	0.15581350
474.00000000	0.15242143
475.00000000	0.14717522
476.00000000	0.14058764
477.00000000	0.14203418
478.00000000	0.13586422
479.00000000	0.13934815
480.00000000	0.14097272
481.00000000	0.14174257
482.00000000	0.14036075
483.00000000	0.14328389
484.00000000	0.14865683
485.00000000	0.15137469
486.00000000	0.15321822
487.00000000	0.15665720
488.00000000	0.16257519
489.00000000	0.16346362
490.00000000	0.16744728
491.00000000	0.17400950
492.00000000	0.18068815
493.00000000	0.18427190
494.00000000	0.19387360
495.00000000	0.19881898
496.00000000	0.20221540
497.00000000	0.21252099
498.00000000	0.22211439
499.00000000	0.23093810
500.00000000	0.23395383
501.00000000	0.24539841
502.00000000	0.24899682
503.00000000	0.25569830
504.00000000	0.26543995
505.00000000	0.27207429
506.00000000	0.27697458
507.00000000	0.28257258
508.00000000	0.28904330
509.00000000	0.29829604
510.00000000	0.30161103
511.00000000	0.30917162
512.00000000	0.31893942
513.00000000	0.32032429
514.00000000	0.32729528
515.00000000	0.33459616
516.00000000	0.33931828
517.00000000	0.33964705
518.00000000	0.34443413
519.00000000	0.34705252
520.00000000	0.35102808
521.00000000	0.35305079
522.00000000	0.36138436
523.00000000	0.36275427
524.00000000	0.37110853
525.00000000	0.37357322
526.00000000	0.38239120
527.00000000	0.38196328
528.00000000	0.38837384
529.00000000	0.39508890
530.00000000	0.39012962
531.00000000	0.39408496
532.00000000	0.40020432
533.00000000	0.40226547
534.00000000	0.40518630
535.00000000	0.41263375
536.00000000	0.41212103
537.00000000	0.41626753
538.00000000	0.42271257
539.00000000	0.42211129
540.00000000	0.43366051
541.00000000	0.44135533
542.00000000	0.43938035
543.00000000	0.44950501
544.00000000	0.45177380
545.00000000	0.45598667
546.00000000	0.46020670
547.00000000	0.46732335
548.00000000	0.47576157
549.00000000	0.48037713
550.00000000	0.48714009
551.00000000	0.49930053
552.00000000	0.50880647
553.00000000	0.51257779
554.00000000	0.51646811
555.00000000	0.52498868
556.00000000	0.53884658
557.00000000	0.55116293
558.00000000	0.56626295
559.00000000	0.56703512
560.00000000	0.58532752
561.00000000	0.59205391
562.00000000	0.60274546
563.00000000	0.60912656
564.00000000	0.61872874
565.00000000	0.62433466
566.00000000	0.63806840
