#LICA Lamps Spectra Database
#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2018/04/28
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.7774	0.6975	0.2047
#xyY coordinates: 0.4629	0.4153	0.6975
#sRGB: 255	107	22
#CCT Lindbloom (K):	2695
#CCT McCamy (K):	2692
#CCT Hernández-Andrés (K):	2600
#Melatonin: 0.272
#Chlorophyll a: 0.308
#Chlorophyll b: 0.546
#Beta Carotene: 0.308
#Manufacturer: Radium
#Luminance manufacturer: 470 lm
#Other data: RL-D 2700K.
#Begin Processed Spectral Data
W	S
300.00000000	0.00066064
301.00000000	0.00000000
302.00000000	0.00000000
303.00000000	0.00000000
304.00000000	0.00000000
305.00000000	0.00000000
306.00000000	0.00063546
307.00000000	0.00000000
308.00000000	0.00091280
309.00000000	0.00000000
310.00000000	0.00118682
311.00000000	0.00000000
312.00000000	0.00000000
313.00000000	0.00000000
314.00000000	0.00000000
315.00000000	0.00258688
316.00000000	0.00116077
317.00000000	0.00322036
318.00000000	0.00000000
319.00000000	0.00108191
320.00000000	0.00000000
321.00000000	0.00000000
322.00000000	0.00000000
323.00000000	0.00000000
324.00000000	0.00000000
325.00000000	0.00041924
326.00000000	0.00000000
327.00000000	0.00000000
328.00000000	0.00187152
329.00000000	0.00058047
330.00000000	0.00000000
331.00000000	0.00003329
332.00000000	0.00000061
333.00000000	0.00000000
334.00000000	0.00000000
335.00000000	0.00003722
336.00000000	0.00000000
337.00000000	0.00000000
338.00000000	0.00021516
339.00000000	0.00027910
340.00000000	0.00008404
341.00000000	0.00000085
342.00000000	0.00005634
343.00000000	0.00026253
344.00000000	0.00014330
345.00000000	0.00000000
346.00000000	0.00008810
347.00000000	0.00000000
348.00000000	0.00000000
349.00000000	0.00034791
350.00000000	0.00047819
351.00000000	0.00009963
352.00000000	0.00000000
353.00000000	0.00029689
354.00000000	0.00001941
355.00000000	0.00000000
356.00000000	0.00009198
357.00000000	0.00000000
358.00000000	0.00005107
359.00000000	0.00024196
360.00000000	0.00000000
361.00000000	0.00000000
362.00000000	0.00093794
363.00000000	0.00015741
364.00000000	0.00021571
365.00000000	0.00025606
366.00000000	0.00000000
367.00000000	0.00001945
368.00000000	0.00001185
369.00000000	0.00000000
370.00000000	0.00053249
371.00000000	0.00000000
372.00000000	0.00000501
373.00000000	0.00028000
374.00000000	0.00018293
375.00000000	0.00028215
376.00000000	0.00008994
377.00000000	0.00000000
378.00000000	0.00024961
379.00000000	0.00000000
380.00000000	0.00123565
381.00000000	0.00000000
382.00000000	0.00019459
383.00000000	0.00084184
384.00000000	0.00033239
385.00000000	0.00017392
386.00000000	0.00024833
387.00000000	0.00009819
388.00000000	0.00016408
389.00000000	0.00029446
390.00000000	0.00031474
391.00000000	0.00107611
392.00000000	0.00067450
393.00000000	0.00021476
394.00000000	0.00062634
395.00000000	0.00062782
396.00000000	0.00029952
397.00000000	0.00003859
398.00000000	0.00014227
399.00000000	0.00016220
400.00000000	0.00005299
401.00000000	0.00123266
402.00000000	0.00076936
403.00000000	0.00137463
404.00000000	0.00160803
405.00000000	0.00095874
406.00000000	0.00129551
407.00000000	0.00191346
408.00000000	0.00240765
409.00000000	0.00389004
410.00000000	0.00371674
411.00000000	0.00485821
412.00000000	0.00581681
413.00000000	0.00648672
414.00000000	0.00780823
415.00000000	0.00893193
416.00000000	0.01041505
417.00000000	0.01361951
418.00000000	0.01670335
419.00000000	0.01895377
420.00000000	0.02251775
421.00000000	0.02435800
422.00000000	0.02877135
423.00000000	0.03300521
424.00000000	0.03799020
425.00000000	0.04367777
426.00000000	0.04932622
427.00000000	0.05470020
428.00000000	0.06133061
429.00000000	0.06995547
430.00000000	0.07794042
431.00000000	0.08560226
432.00000000	0.09439688
433.00000000	0.10427231
434.00000000	0.11471161
435.00000000	0.12728150
436.00000000	0.13638920
437.00000000	0.14942363
438.00000000	0.16418979
439.00000000	0.17949758
440.00000000	0.19297707
441.00000000	0.21022936
442.00000000	0.22716917
443.00000000	0.24634039
444.00000000	0.26355015
445.00000000	0.28682886
446.00000000	0.30577633
447.00000000	0.32640412
448.00000000	0.34449000
449.00000000	0.36994305
450.00000000	0.36842879
451.00000000	0.37030289
452.00000000	0.36723195
453.00000000	0.35489749
454.00000000	0.33859964
455.00000000	0.31382662
456.00000000	0.29374482
457.00000000	0.27080787
458.00000000	0.24975384
459.00000000	0.23427773
460.00000000	0.21733551
461.00000000	0.20887105
462.00000000	0.19973529
463.00000000	0.18839499
464.00000000	0.18555793
465.00000000	0.18239327
466.00000000	0.17626284
467.00000000	0.17149353
468.00000000	0.16732406
469.00000000	0.16031721
470.00000000	0.15377006
471.00000000	0.14902062
472.00000000	0.14204776
473.00000000	0.13667475
474.00000000	0.13213110
475.00000000	0.12874721
476.00000000	0.12392215
477.00000000	0.12372559
478.00000000	0.12043966
479.00000000	0.12134967
480.00000000	0.12230923
481.00000000	0.12524898
482.00000000	0.12604138
483.00000000	0.12913617
484.00000000	0.13109207
485.00000000	0.13546982
486.00000000	0.14010349
487.00000000	0.14267467
488.00000000	0.14664253
489.00000000	0.15195588
490.00000000	0.15753157
491.00000000	0.16382566
492.00000000	0.16988687
493.00000000	0.17685245
494.00000000	0.18636693
495.00000000	0.19382405
496.00000000	0.20398549
497.00000000	0.21474177
498.00000000	0.22334825
499.00000000	0.23254330
500.00000000	0.24234617
501.00000000	0.25322124
502.00000000	0.26369263
503.00000000	0.27479573
504.00000000	0.28382343
505.00000000	0.29460978
506.00000000	0.30401290
507.00000000	0.31449392
508.00000000	0.32332122
509.00000000	0.33446652
510.00000000	0.34565337
511.00000000	0.35724970
512.00000000	0.36753786
513.00000000	0.37385055
514.00000000	0.38421235
515.00000000	0.39373156
516.00000000	0.40052031
517.00000000	0.40689707
518.00000000	0.41506664
519.00000000	0.42228569
520.00000000	0.42858052
521.00000000	0.43447036
522.00000000	0.44189503
523.00000000	0.44943264
524.00000000	0.45936541
525.00000000	0.46220660
526.00000000	0.46935249
527.00000000	0.47544916
528.00000000	0.48233116
529.00000000	0.48875483
530.00000000	0.49322659
531.00000000	0.49787988
532.00000000	0.50258551
533.00000000	0.50555761
534.00000000	0.50933716
535.00000000	0.51768585
536.00000000	0.52013078
537.00000000	0.52542545
538.00000000	0.53127854
539.00000000	0.53561315
540.00000000	0.54051289
541.00000000	0.54930532
542.00000000	0.55323207
543.00000000	0.56012222
544.00000000	0.56240517
545.00000000	0.56821902
546.00000000	0.57095062
547.00000000	0.57862192
548.00000000	0.58354518
549.00000000	0.58780780
550.00000000	0.59326101
551.00000000	0.60159605
552.00000000	0.60641775
553.00000000	0.61351239
554.00000000	0.61939778
555.00000000	0.62414349
556.00000000	0.63234127
557.00000000	0.64094083
558.00000000	0.64672302
559.00000000	0.65317228
560.00000000	0.65886852
561.00000000	0.66604967
562.00000000	0.66972720
563.00000000	0.67636859
564.00000000	0.68260859
565.00000000	0.68883157
566.00000000	0.70029196
567.00000000	0.70730483
568.00000000	0.71621844
569.00000000	0.72385924
570.00000000	0.73117215
571.00000000	0.73756651
572.00000000	0.74795715
573.00000000	0.75547601
574.00000000	0.76194862
575.00000000	0.76967148
576.00000000	0.77748599
577.00000000	0.78794925
578.00000000	0.79641381
579.00000000	0.80263110
580.00000000	0.81100508
581.00000000	0.81805286
582.00000000	0.82857035
583.00000000	0.84034323
584.00000000	0.85215869
585.00000000	0.86154266
586.00000000	0.86969175
587.00000000	0.87599936
588.00000000	0.88299188
589.00000000	0.88635075
590.00000000	0.89704325
591.00000000	0.90286691
592.00000000	0.90864411
593.00000000	0.91803474
594.00000000	0.92170084
595.00000000	0.92759615
596.00000000	0.93330956
597.00000000	0.93709059
598.00000000	0.94628576
599.00000000	0.95334577
600.00000000	0.96014253
601.00000000	0.96469001
602.00000000	0.97261586
603.00000000	0.98003453
604.00000000	0.97993880
605.00000000	0.97811916
606.00000000	0.98164313
607.00000000	0.97797857
608.00000000	0.97800317
609.00000000	0.97787693
610.00000000	0.97814054
611.00000000	0.98078897
612.00000000	0.97567716
613.00000000	0.97584914
