#LICA Lamps Spectra Database
#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2017/12/17
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.7846	0.7000	0.3452
#xyY coordinates: 0.4288	0.3826	0.7000
#sRGB: 255	112	52
#CCT Lindbloom (K):	2958
#CCT McCamy (K):	2964
#CCT Hernández-Andrés (K):	2929
#Melatonin: 0.369
#Chlorophyll a: 0.181
#Chlorophyll b: 0.678
#Beta Carotene: 0.181
#Manufacturer: Philips
#Luminance manufacturer: Unknown
#Other data:
#Begin Processed Spectral Data
W	S
300.00000000	0.00000000
301.00000000	0.00000000
302.00000000	0.00000000
303.00000000	0.01221280
304.00000000	0.00117831
305.00000000	0.00374713
306.00000000	0.00000000
307.00000000	0.00000000
308.00000000	0.01203047
309.00000000	0.00354696
310.00000000	0.00100762
311.00000000	0.00233985
312.00000000	0.00358898
313.00000000	0.01593143
314.00000000	0.01592840
315.00000000	0.00557858
316.00000000	0.00021351
317.00000000	0.00033189
318.00000000	0.00000000
319.00000000	0.00622549
320.00000000	0.00000000
321.00000000	0.00000000
322.00000000	0.00015156
323.00000000	0.00000000
324.00000000	0.01114507
325.00000000	0.00183714
326.00000000	0.00681390
327.00000000	0.00362827
328.00000000	0.00000000
329.00000000	0.00240218
330.00000000	0.00193211
331.00000000	0.00028576
332.00000000	0.00685759
333.00000000	0.00105737
334.00000000	0.00175482
335.00000000	0.00000000
336.00000000	0.00207064
337.00000000	0.00000000
338.00000000	0.00379911
339.00000000	0.00459134
340.00000000	0.00199944
341.00000000	0.00000817
342.00000000	0.00005928
343.00000000	0.00000000
344.00000000	0.00692250
345.00000000	0.00359509
346.00000000	0.00031004
347.00000000	0.00000000
348.00000000	0.00161662
349.00000000	0.00000000
350.00000000	0.00000000
351.00000000	0.00116585
352.00000000	0.00000000
353.00000000	0.00000000
354.00000000	0.00000000
355.00000000	0.00712594
356.00000000	0.00000000
357.00000000	0.00100495
358.00000000	0.00119927
359.00000000	0.00105642
360.00000000	0.00188446
361.00000000	0.00004132
362.00000000	0.00000000
363.00000000	0.00000109
364.00000000	0.00000000
365.00000000	0.00000000
366.00000000	0.00037291
367.00000000	0.00136317
368.00000000	0.00157898
369.00000000	0.00015581
370.00000000	0.00210840
371.00000000	0.00000000
372.00000000	0.00690302
373.00000000	0.00020031
374.00000000	0.00242732
375.00000000	0.00006900
376.00000000	0.00000237
377.00000000	0.00347871
378.00000000	0.00086264
379.00000000	0.00000000
380.00000000	0.00681543
381.00000000	0.00017963
382.00000000	0.00042330
383.00000000	0.00000000
384.00000000	0.00198489
385.00000000	0.00038069
386.00000000	0.00179975
387.00000000	0.00155384
388.00000000	0.00040905
389.00000000	0.00186376
390.00000000	0.00138790
391.00000000	0.00000000
392.00000000	0.00205082
393.00000000	0.00001461
394.00000000	0.00286264
395.00000000	0.00291835
396.00000000	0.00169049
397.00000000	0.00218337
398.00000000	0.00000000
399.00000000	0.00000000
400.00000000	0.00009253
401.00000000	0.00011688
402.00000000	0.00096128
403.00000000	0.00007077
404.00000000	0.00272122
405.00000000	0.00085641
406.00000000	0.00045549
407.00000000	0.00434302
408.00000000	0.00305982
409.00000000	0.00516817
410.00000000	0.00618198
411.00000000	0.00848123
412.00000000	0.01104411
413.00000000	0.01033938
414.00000000	0.01435357
415.00000000	0.01634092
416.00000000	0.02057412
417.00000000	0.02362914
418.00000000	0.02857602
419.00000000	0.03437255
420.00000000	0.04343692
421.00000000	0.05189924
422.00000000	0.06209719
423.00000000	0.07409064
424.00000000	0.08724439
425.00000000	0.10342227
426.00000000	0.12225277
427.00000000	0.14194519
428.00000000	0.15910493
429.00000000	0.18558487
430.00000000	0.20863523
431.00000000	0.23287145
432.00000000	0.24670769
433.00000000	0.28215898
434.00000000	0.29997953
435.00000000	0.31944626
436.00000000	0.33488778
437.00000000	0.34224209
438.00000000	0.35939575
439.00000000	0.37797250
440.00000000	0.38042582
441.00000000	0.39794720
442.00000000	0.40809252
443.00000000	0.43520430
444.00000000	0.46087943
445.00000000	0.49315270
446.00000000	0.53210201
447.00000000	0.56150616
448.00000000	0.59266061
449.00000000	0.65634505
450.00000000	0.66624896
451.00000000	0.68427433
452.00000000	0.69528726
453.00000000	0.69238066
454.00000000	0.68159151
455.00000000	0.64225168
456.00000000	0.60655536
457.00000000	0.56220122
458.00000000	0.50491384
459.00000000	0.47622091
460.00000000	0.41787008
461.00000000	0.38320167
462.00000000	0.34763135
463.00000000	0.30479519
464.00000000	0.28595774
465.00000000	0.26955384
466.00000000	0.25218030
467.00000000	0.23754819
468.00000000	0.22818065
469.00000000	0.21426621
470.00000000	0.20204585
471.00000000	0.19307256
472.00000000	0.18581371
473.00000000	0.17455643
474.00000000	0.16074099
475.00000000	0.15024314
476.00000000	0.14124617
477.00000000	0.13233647
478.00000000	0.12717388
479.00000000	0.12107098
480.00000000	0.11489443
481.00000000	0.11358681
482.00000000	0.10698973
483.00000000	0.11118744
484.00000000	0.10755877
485.00000000	0.11080712
486.00000000	0.11231516
487.00000000	0.11054798
488.00000000	0.11004940
489.00000000	0.10830754
490.00000000	0.11386329
491.00000000	0.11686938
492.00000000	0.12005449
493.00000000	0.12406752
494.00000000	0.12956468
495.00000000	0.13343851
496.00000000	0.13778293
497.00000000	0.14862089
498.00000000	0.15850357
499.00000000	0.16744908
500.00000000	0.17268635
501.00000000	0.18322486
502.00000000	0.19144688
503.00000000	0.20389283
504.00000000	0.21427427
505.00000000	0.22500443
506.00000000	0.23718240
507.00000000	0.24468903
508.00000000	0.25780351
509.00000000	0.26785462
510.00000000	0.27961623
511.00000000	0.28846924
512.00000000	0.30239107
513.00000000	0.31009579
514.00000000	0.32797222
515.00000000	0.33257650
516.00000000	0.34156221
517.00000000	0.35275886
518.00000000	0.36408131
519.00000000	0.36460974
520.00000000	0.37764650
521.00000000	0.39116494
522.00000000	0.39924220
523.00000000	0.40532512
524.00000000	0.41726876
525.00000000	0.42479086
526.00000000	0.43259548
527.00000000	0.43961913
528.00000000	0.45066108
529.00000000	0.45626212
530.00000000	0.46449681
531.00000000	0.46599544
532.00000000	0.47599583
533.00000000	0.47975342
534.00000000	0.48921958
535.00000000	0.49875916
536.00000000	0.49925259
537.00000000	0.50500053
538.00000000	0.51706419
539.00000000	0.52684807
540.00000000	0.53195411
541.00000000	0.54567679
542.00000000	0.54864098
543.00000000	0.55311524
544.00000000	0.56086793
545.00000000	0.56718178
546.00000000	0.57948586
547.00000000	0.59017056
548.00000000	0.60044018
549.00000000	0.60537282
550.00000000	0.60891416
551.00000000	0.62219215
552.00000000	0.63417088
553.00000000	0.64096447
554.00000000	0.65265482
555.00000000	0.66114457
556.00000000	0.68027416
557.00000000	0.69089196
558.00000000	0.68822093
559.00000000	0.70214330
560.00000000	0.71989771
561.00000000	0.73562594
562.00000000	0.73562755
563.00000000	0.75624385
564.00000000	0.75967896
565.00000000	0.77482902
566.00000000	0.78532068
567.00000000	0.79631932
