#LICA Lamps Spectra Database
#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2017/12/15
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.7872	0.7154	0.3145
#xyY coordinates: 0.4332	0.3936	0.7154
#sRGB: 255	117	45
#CCT Lindbloom (K):	2977
#CCT McCamy (K):	2982
#CCT Hernández-Andrés (K):	2938
#Melatonin: 0.340
#Chlorophyll a: 0.174
#Chlorophyll b: 0.618
#Beta Carotene: 0.175
#Manufacturer: Philips
#Luminance manufacturer: Unknown
#Other data:
#Begin Processed Spectral Data
W	S
300.00000000	0.00104353
301.00000000	0.00274003
302.00000000	0.00000000
303.00000000	0.01106063
304.00000000	0.00027903
305.00000000	0.00125577
306.00000000	0.00000000
307.00000000	0.00597733
308.00000000	0.00000000
309.00000000	0.00239316
310.00000000	0.00000000
311.00000000	0.00099101
312.00000000	0.00483047
313.00000000	0.00000000
314.00000000	0.00000000
315.00000000	0.00141232
316.00000000	0.00604807
317.00000000	0.00068289
318.00000000	0.00004744
319.00000000	0.00062281
320.00000000	0.00145673
321.00000000	0.00528968
322.00000000	0.00560408
323.00000000	0.00169457
324.00000000	0.00820851
325.00000000	0.00000000
326.00000000	0.00000000
327.00000000	0.00952737
328.00000000	0.00053293
329.00000000	0.00000000
330.00000000	0.00200031
331.00000000	0.00054199
332.00000000	0.00000046
333.00000000	0.00000000
334.00000000	0.00238470
335.00000000	0.00000000
336.00000000	0.00000000
337.00000000	0.00081827
338.00000000	0.00113676
339.00000000	0.00638767
340.00000000	0.00048042
341.00000000	0.00000000
342.00000000	0.00088406
343.00000000	0.00095158
344.00000000	0.00003498
345.00000000	0.00002571
346.00000000	0.00000000
347.00000000	0.00169742
348.00000000	0.00000000
349.00000000	0.00000000
350.00000000	0.00146449
351.00000000	0.00000000
352.00000000	0.00020046
353.00000000	0.00093107
354.00000000	0.00608453
355.00000000	0.00123483
356.00000000	0.00007113
357.00000000	0.00008280
358.00000000	0.00027314
359.00000000	0.00064772
360.00000000	0.00004279
361.00000000	0.00096925
362.00000000	0.00000000
363.00000000	0.00140202
364.00000000	0.00000000
365.00000000	0.00000000
366.00000000	0.00000000
367.00000000	0.00000000
368.00000000	0.00347384
369.00000000	0.00062753
370.00000000	0.00000000
371.00000000	0.00000000
372.00000000	0.00083955
373.00000000	0.00226249
374.00000000	0.00000000
375.00000000	0.00038616
376.00000000	0.00000872
377.00000000	0.00100843
378.00000000	0.00024832
379.00000000	0.00000000
380.00000000	0.00000000
381.00000000	0.00103027
382.00000000	0.00000000
383.00000000	0.00000000
384.00000000	0.00000000
385.00000000	0.00020335
386.00000000	0.00000000
387.00000000	0.00114715
388.00000000	0.00108893
389.00000000	0.00301046
390.00000000	0.00085686
391.00000000	0.00057257
392.00000000	0.00021112
393.00000000	0.00090318
394.00000000	0.00052912
395.00000000	0.00078952
396.00000000	0.00020738
397.00000000	0.00074564
398.00000000	0.00141164
399.00000000	0.00066506
400.00000000	0.00123560
401.00000000	0.00000043
402.00000000	0.00204815
403.00000000	0.00052464
404.00000000	0.00426273
405.00000000	0.00271755
406.00000000	0.00353694
407.00000000	0.00515882
408.00000000	0.00838056
409.00000000	0.00639118
410.00000000	0.00927952
411.00000000	0.01017340
412.00000000	0.01125076
413.00000000	0.01639703
414.00000000	0.01875725
415.00000000	0.02515973
416.00000000	0.02989098
417.00000000	0.03096200
418.00000000	0.03893112
419.00000000	0.04945910
420.00000000	0.05549920
421.00000000	0.06654733
422.00000000	0.07596353
423.00000000	0.09221183
424.00000000	0.10682442
425.00000000	0.11898984
426.00000000	0.14067951
427.00000000	0.15807256
428.00000000	0.17342049
429.00000000	0.19634726
430.00000000	0.22128048
431.00000000	0.24155046
432.00000000	0.26993293
433.00000000	0.29602430
434.00000000	0.31486071
435.00000000	0.33934311
436.00000000	0.35905635
437.00000000	0.38473717
438.00000000	0.40886644
439.00000000	0.43344845
440.00000000	0.45370198
441.00000000	0.48122466
442.00000000	0.49887142
443.00000000	0.53092379
444.00000000	0.55111142
445.00000000	0.57262350
446.00000000	0.59471216
447.00000000	0.61861156
448.00000000	0.62991452
449.00000000	0.64487046
450.00000000	0.61923638
451.00000000	0.60905168
452.00000000	0.57871476
453.00000000	0.54620217
454.00000000	0.50248243
455.00000000	0.46042570
456.00000000	0.41267940
457.00000000	0.36295572
458.00000000	0.32293751
459.00000000	0.28835456
460.00000000	0.26482935
461.00000000	0.24358733
462.00000000	0.22398091
463.00000000	0.20432436
464.00000000	0.19360777
465.00000000	0.18234183
466.00000000	0.16939817
467.00000000	0.16291519
468.00000000	0.15373855
469.00000000	0.14132177
470.00000000	0.13576914
471.00000000	0.12524536
472.00000000	0.12129061
473.00000000	0.11201294
474.00000000	0.10512729
475.00000000	0.09822388
476.00000000	0.09999765
477.00000000	0.09174390
478.00000000	0.08970740
479.00000000	0.08583006
480.00000000	0.08624452
481.00000000	0.08451202
482.00000000	0.08837389
483.00000000	0.08522579
484.00000000	0.08817840
485.00000000	0.08850973
486.00000000	0.09022997
487.00000000	0.09142282
488.00000000	0.09670072
489.00000000	0.09666770
490.00000000	0.10165355
491.00000000	0.10653948
492.00000000	0.11307394
493.00000000	0.11679251
494.00000000	0.12223367
495.00000000	0.13174951
496.00000000	0.13990791
497.00000000	0.14838839
498.00000000	0.15728820
499.00000000	0.16832518
500.00000000	0.17914626
501.00000000	0.18786297
502.00000000	0.19497970
503.00000000	0.20970762
504.00000000	0.21655027
505.00000000	0.23288989
506.00000000	0.23879336
507.00000000	0.25262455
508.00000000	0.26002514
509.00000000	0.27463726
510.00000000	0.28710357
511.00000000	0.30064323
512.00000000	0.31087631
513.00000000	0.31899589
514.00000000	0.33206559
515.00000000	0.34689776
516.00000000	0.35542134
517.00000000	0.36400786
518.00000000	0.37236618
519.00000000	0.38666051
520.00000000	0.39176047
521.00000000	0.40262781
