#LICA Lamps Spectra Database
#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2018/04/25
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.7916	0.7128	0.3599
#xyY coordinates: 0.4246	0.3824	0.7128
#sRGB: 255	116	55
#CCT Lindbloom (K):	3033
#CCT McCamy (K):	3041
#CCT Hernández-Andrés (K):	3013
#Melatonin: 0.382
#Chlorophyll a: 0.163
#Chlorophyll b: 0.653
#Beta Carotene: 0.164
#Manufacturer: Philips
#Luminance manufacturer: Unknown
#Other data: LED street lamps in Plaza 3 de Abril, Almería.
#Begin Processed Spectral Data
W	S
300.00000000	0.00009273
301.00000000	0.00000000
302.00000000	0.00000000
303.00000000	0.00002568
304.00000000	0.00024717
305.00000000	0.00806377
306.00000000	0.00000000
307.00000000	0.00040558
308.00000000	0.00000000
309.00000000	0.00020427
310.00000000	0.00804571
311.00000000	0.00084989
312.00000000	0.00181987
313.00000000	0.00000000
314.00000000	0.00420721
315.00000000	0.00133172
316.00000000	0.00755477
317.00000000	0.00000000
318.00000000	0.00168444
319.00000000	0.00011690
320.00000000	0.00000000
321.00000000	0.00000000
322.00000000	0.00773743
323.00000000	0.00006367
324.00000000	0.00000000
325.00000000	0.00000000
326.00000000	0.00000000
327.00000000	0.00000000
328.00000000	0.00031972
329.00000000	0.00335071
330.00000000	0.00257310
331.00000000	0.00000000
332.00000000	0.00492467
333.00000000	0.00141839
334.00000000	0.00000000
335.00000000	0.00000000
336.00000000	0.00374635
337.00000000	0.00000000
338.00000000	0.00312502
339.00000000	0.00250378
340.00000000	0.00606082
341.00000000	0.00266825
342.00000000	0.00010328
343.00000000	0.00273373
344.00000000	0.00000000
345.00000000	0.00013842
346.00000000	0.00000000
347.00000000	0.00143538
348.00000000	0.00592645
349.00000000	0.00035738
350.00000000	0.00298805
351.00000000	0.00089217
352.00000000	0.00357808
353.00000000	0.00032060
354.00000000	0.00105185
355.00000000	0.00230272
356.00000000	0.00319567
357.00000000	0.00274660
358.00000000	0.00000000
359.00000000	0.00010736
360.00000000	0.00239956
361.00000000	0.00065658
362.00000000	0.00016036
363.00000000	0.00000107
364.00000000	0.00265613
365.00000000	0.00080791
366.00000000	0.00005778
367.00000000	0.00000448
368.00000000	0.00017177
369.00000000	0.00149508
370.00000000	0.00405174
371.00000000	0.00001859
372.00000000	0.00073095
373.00000000	0.00245969
374.00000000	0.00007664
375.00000000	0.00134481
376.00000000	0.00088177
377.00000000	0.00000000
378.00000000	0.00070346
379.00000000	0.00003957
380.00000000	0.00000047
381.00000000	0.00006881
382.00000000	0.00000000
383.00000000	0.00204528
384.00000000	0.00150496
385.00000000	0.00233734
386.00000000	0.00044260
387.00000000	0.00070406
388.00000000	0.00002125
389.00000000	0.00415378
390.00000000	0.00102145
391.00000000	0.00093743
392.00000000	0.00122834
393.00000000	0.00272947
394.00000000	0.00079058
395.00000000	0.00056556
396.00000000	0.00248517
397.00000000	0.00281698
398.00000000	0.00238933
399.00000000	0.00137008
400.00000000	0.00006542
401.00000000	0.00188387
402.00000000	0.00323915
403.00000000	0.00384072
404.00000000	0.00377396
405.00000000	0.00320243
406.00000000	0.00515045
407.00000000	0.00529510
408.00000000	0.00796055
409.00000000	0.00668217
410.00000000	0.01008987
411.00000000	0.01129934
412.00000000	0.01765937
413.00000000	0.01600491
414.00000000	0.02222485
415.00000000	0.02525829
416.00000000	0.02614563
417.00000000	0.03891675
418.00000000	0.04816973
419.00000000	0.05420143
420.00000000	0.06771007
421.00000000	0.07671711
422.00000000	0.09445380
423.00000000	0.10803882
424.00000000	0.13180180
425.00000000	0.14788894
426.00000000	0.17390918
427.00000000	0.20716554
428.00000000	0.22792512
429.00000000	0.26272045
430.00000000	0.29004146
431.00000000	0.31865833
432.00000000	0.35182042
433.00000000	0.38166403
434.00000000	0.41352472
435.00000000	0.45588859
436.00000000	0.49657968
437.00000000	0.53384332
438.00000000	0.58230255
439.00000000	0.64419881
440.00000000	0.69545693
441.00000000	0.74360083
442.00000000	0.78494140
443.00000000	0.81424165
444.00000000	0.81730652
445.00000000	0.81504013
446.00000000	0.79253073
447.00000000	0.75478244
448.00000000	0.72058136
449.00000000	0.67908357
450.00000000	0.60545010
451.00000000	0.55176309
