#LICA Lamps Spectra Database
#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2018/04/18
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.4492	0.4724	0.4705
#xyY coordinates: 0.3227	0.3394	0.4724
#sRGB: 126	120	109
#CCT Lindbloom (K):	5947
#CCT McCamy (K):	5948
#CCT Hernández-Andrés (K):	5945
#Melatonin: 0.710
#Chlorophyll a: 0.094
#Chlorophyll b: 1.015
#Beta Carotene: 0.094
#Manufacturer: Lexman
#Luminance manufacturer: 470lm
#Other data: 5946K. 5W
#Begin Processed Spectral Data
W	S
300.00000000	0.00000000
301.00000000	0.00000000
302.00000000	0.00000000
303.00000000	0.00001558
304.00000000	0.00004737
305.00000000	0.00000053
306.00000000	0.00116144
307.00000000	0.00014323
308.00000000	0.00000000
309.00000000	0.00011758
310.00000000	0.00000000
311.00000000	0.00055413
312.00000000	0.00022648
313.00000000	0.00000000
314.00000000	0.00057238
315.00000000	0.00000000
316.00000000	0.00000000
317.00000000	0.00009880
318.00000000	0.00000820
319.00000000	0.00092759
320.00000000	0.00113532
321.00000000	0.00035785
322.00000000	0.00010155
323.00000000	0.00124175
324.00000000	0.00000000
325.00000000	0.00000000
326.00000000	0.00075645
327.00000000	0.00117390
328.00000000	0.00000000
329.00000000	0.00000000
330.00000000	0.00000000
331.00000000	0.00050753
332.00000000	0.00029689
333.00000000	0.00000000
334.00000000	0.00086464
335.00000000	0.00182782
336.00000000	0.00148553
337.00000000	0.00013073
338.00000000	0.00000000
339.00000000	0.00035337
340.00000000	0.00119119
341.00000000	0.00037855
342.00000000	0.00070166
343.00000000	0.00009178
344.00000000	0.00027843
345.00000000	0.00000000
346.00000000	0.00000000
347.00000000	0.00054388
348.00000000	0.00076260
349.00000000	0.00003665
350.00000000	0.00000134
351.00000000	0.00000000
352.00000000	0.00002233
353.00000000	0.00005002
354.00000000	0.00000380
355.00000000	0.00122785
356.00000000	0.00043214
357.00000000	0.00044540
358.00000000	0.00004630
359.00000000	0.00070266
360.00000000	0.00045996
361.00000000	0.00117677
362.00000000	0.00010401
363.00000000	0.00001980
364.00000000	0.00023825
365.00000000	0.00025245
366.00000000	0.00036722
367.00000000	0.00045444
368.00000000	0.00039798
369.00000000	0.00001622
370.00000000	0.00011817
371.00000000	0.00005049
372.00000000	0.00026974
373.00000000	0.00032454
374.00000000	0.00000000
375.00000000	0.00067091
376.00000000	0.00011648
377.00000000	0.00007327
378.00000000	0.00000007
379.00000000	0.00027765
380.00000000	0.00048707
381.00000000	0.00042989
382.00000000	0.00081110
383.00000000	0.00027066
384.00000000	0.00111181
385.00000000	0.00061435
386.00000000	0.00097037
387.00000000	0.00038209
388.00000000	0.00091416
389.00000000	0.00072585
390.00000000	0.00079269
391.00000000	0.00085190
392.00000000	0.00091188
393.00000000	0.00043873
394.00000000	0.00053256
395.00000000	0.00083282
396.00000000	0.00001131
397.00000000	0.00061167
398.00000000	0.00084559
399.00000000	0.00093506
400.00000000	0.00095384
401.00000000	0.00118728
402.00000000	0.00101252
403.00000000	0.00079650
404.00000000	0.00093085
405.00000000	0.00125305
406.00000000	0.00140272
407.00000000	0.00215105
408.00000000	0.00129843
409.00000000	0.00210040
410.00000000	0.00214541
411.00000000	0.00248023
412.00000000	0.00309076
413.00000000	0.00440389
414.00000000	0.00533870
415.00000000	0.00647540
416.00000000	0.00815640
417.00000000	0.01078593
418.00000000	0.01407979
419.00000000	0.01737267
420.00000000	0.02279967
421.00000000	0.02735428
422.00000000	0.03188453
423.00000000	0.03926014
424.00000000	0.04591841
425.00000000	0.05234214
426.00000000	0.06115615
427.00000000	0.07115873
428.00000000	0.08131519
429.00000000	0.09478145
430.00000000	0.10689870
431.00000000	0.12131309
432.00000000	0.13850625
433.00000000	0.15532336
434.00000000	0.17243273
435.00000000	0.19551441
436.00000000	0.21622903
437.00000000	0.23487025
438.00000000	0.26071936
439.00000000	0.28999207
440.00000000	0.31612905
441.00000000	0.34797608
442.00000000	0.37953919
443.00000000	0.42411046
444.00000000	0.46547683
445.00000000	0.52066308
446.00000000	0.57559733
447.00000000	0.64034254
448.00000000	0.70956829
449.00000000	0.80619238
450.00000000	0.84024691
451.00000000	0.90230526
452.00000000	0.95413101
453.00000000	0.99209264
454.00000000	1.00000000
455.00000000	0.99902859
456.00000000	0.97701772
457.00000000	0.94032180
458.00000000	0.89970667
459.00000000	0.85683591
460.00000000	0.79799786
461.00000000	0.74063127
462.00000000	0.68529583
463.00000000	0.62669632
464.00000000	0.59599490
465.00000000	0.55720589
466.00000000	0.52079536
467.00000000	0.50171019
468.00000000	0.48484793
469.00000000	0.46028483
470.00000000	0.44136658
471.00000000	0.42667177
472.00000000	0.40692475
473.00000000	0.38638407
474.00000000	0.36898968
475.00000000	0.35181969
476.00000000	0.33138107
477.00000000	0.31522474
478.00000000	0.29800388
479.00000000	0.28946755
480.00000000	0.28153967
481.00000000	0.27653671
482.00000000	0.26862318
483.00000000	0.26613941
484.00000000	0.26614564
485.00000000	0.26680479
486.00000000	0.27172506
487.00000000	0.27104648
488.00000000	0.27313002
489.00000000	0.27600370
490.00000000	0.27959734
491.00000000	0.28282886
492.00000000	0.28636475
493.00000000	0.29129894
494.00000000	0.29652027
495.00000000	0.30199998
496.00000000	0.30769627
497.00000000	0.31772973
498.00000000	0.32287986
499.00000000	0.33008438
500.00000000	0.33608126
501.00000000	0.34412791
502.00000000	0.35181898
503.00000000	0.36214966
504.00000000	0.36557879
505.00000000	0.37171877
506.00000000	0.37987304
507.00000000	0.38475087
508.00000000	0.39153459
509.00000000	0.39766093
510.00000000	0.40353253
511.00000000	0.41007689
512.00000000	0.41731525
513.00000000	0.42063991
514.00000000	0.42589194
515.00000000	0.42995668
516.00000000	0.43275187
517.00000000	0.43474200
518.00000000	0.43668804
519.00000000	0.43857028
520.00000000	0.44211107
521.00000000	0.44444403
522.00000000	0.44687736
523.00000000	0.45170878
524.00000000	0.45579079
525.00000000	0.45574737
526.00000000	0.45722447
527.00000000	0.46093000
528.00000000	0.46390090
529.00000000	0.46485187
530.00000000	0.46691586
531.00000000	0.46573545
532.00000000	0.46785813
533.00000000	0.46598820
534.00000000	0.46737822
535.00000000	0.46999984
536.00000000	0.46853883
537.00000000	0.46972670
538.00000000	0.47203792
539.00000000	0.47175623
540.00000000	0.47199465
541.00000000	0.47709304
542.00000000	0.47648305
543.00000000	0.47804556
544.00000000	0.47539957
545.00000000	0.47805651
546.00000000	0.47551690
547.00000000	0.47743982
548.00000000	0.47983771
549.00000000	0.47818389
550.00000000	0.47903805
551.00000000	0.48169869
552.00000000	0.48143642
553.00000000	0.48343654
554.00000000	0.48414218
555.00000000	0.48315247
556.00000000	0.48706528
557.00000000	0.48884725
558.00000000	0.49061483
559.00000000	0.49188493
560.00000000	0.49358261
561.00000000	0.49666159
562.00000000	0.49301681
563.00000000	0.49149515
564.00000000	0.49089032
565.00000000	0.48973172
566.00000000	0.49129503
567.00000000	0.49168016
