#LICA Lamps Spectra Database
#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2017/12/15
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.4123	0.3879	0.5153
#xyY coordinates: 0.3135	0.2948	0.3879
#sRGB: 123	89	125
#CCT Lindbloom (K):	6801
#CCT McCamy (K):	6785
#CCT Hernández-Andrés (K):	6816
#Melatonin: 0.885
#Chlorophyll a: 0.115
#Chlorophyll b: 1.266
#Beta Carotene: 0.116
#Manufacturer: Unknown
#Luminance manufacturer: Unknown
#Other data: Madrid streetlamp at Facultad de Farmacia
#Begin Processed Spectral Data
W	S
300.00000000	0.00000000
301.00000000	0.00000000
302.00000000	0.00000000
303.00000000	0.00390968
304.00000000	0.00000000
305.00000000	0.00000000
306.00000000	0.00000000
307.00000000	0.00000000
308.00000000	0.00140398
309.00000000	0.00503477
310.00000000	0.00606086
311.00000000	0.00679565
312.00000000	0.00000000
313.00000000	0.01688714
314.00000000	0.00000000
315.00000000	0.00000000
316.00000000	0.00000000
317.00000000	0.00000000
318.00000000	0.00763160
319.00000000	0.00579724
320.00000000	0.00000000
321.00000000	0.00479024
322.00000000	0.00000000
323.00000000	0.00000000
324.00000000	0.00000000
325.00000000	0.00000000
326.00000000	0.00000000
327.00000000	0.00576909
328.00000000	0.00000000
329.00000000	0.00591891
330.00000000	0.00396884
331.00000000	0.00000000
332.00000000	0.01253778
333.00000000	0.00000000
334.00000000	0.00622261
335.00000000	0.00000000
336.00000000	0.00754595
337.00000000	0.00000000
338.00000000	0.00000000
339.00000000	0.00000000
340.00000000	0.00000000
341.00000000	0.00000000
342.00000000	0.00000000
343.00000000	0.00000000
344.00000000	0.00000000
345.00000000	0.00000000
346.00000000	0.00000000
347.00000000	0.00000000
348.00000000	0.00000000
349.00000000	0.00000000
350.00000000	0.00000000
351.00000000	0.00000000
352.00000000	0.00000000
353.00000000	0.00014028
354.00000000	0.00000000
355.00000000	0.00000000
356.00000000	0.00000000
357.00000000	0.00000000
358.00000000	0.00000000
359.00000000	0.00000000
360.00000000	0.00417807
361.00000000	0.00000000
362.00000000	0.00138585
363.00000000	0.00015101
364.00000000	0.00000000
365.00000000	0.00000000
366.00000000	0.00000000
367.00000000	0.00000000
368.00000000	0.00000000
369.00000000	0.00189019
370.00000000	0.00233703
371.00000000	0.00209106
372.00000000	0.00000000
373.00000000	0.00000000
374.00000000	0.00000000
375.00000000	0.00000000
376.00000000	0.00000000
377.00000000	0.00000000
378.00000000	0.00000000
379.00000000	0.00131452
380.00000000	0.00000000
381.00000000	0.00000000
382.00000000	0.00000000
383.00000000	0.00000000
384.00000000	0.00000000
385.00000000	0.00000000
386.00000000	0.00000000
387.00000000	0.00000000
388.00000000	0.00319659
389.00000000	0.00000000
390.00000000	0.00003531
391.00000000	0.00000000
392.00000000	0.00000000
393.00000000	0.00000000
394.00000000	0.00000000
395.00000000	0.00141758
396.00000000	0.00492145
397.00000000	0.00880369
398.00000000	0.00241766
399.00000000	0.00157360
400.00000000	0.00365989
401.00000000	0.00599692
402.00000000	0.00606086
403.00000000	0.01306955
404.00000000	0.01403051
405.00000000	0.01497882
406.00000000	0.01701812
407.00000000	0.02207340
408.00000000	0.02869490
409.00000000	0.03315328
410.00000000	0.04458577
411.00000000	0.05403122
412.00000000	0.06668828
413.00000000	0.07241633
414.00000000	0.09229776
415.00000000	0.10189135
416.00000000	0.11305044
417.00000000	0.13769085
418.00000000	0.15536623
419.00000000	0.17333934
420.00000000	0.19815867
421.00000000	0.21840272
422.00000000	0.25266774
423.00000000	0.28077552
424.00000000	0.31088251
425.00000000	0.33156219
426.00000000	0.36663859
427.00000000	0.40210743
428.00000000	0.43527097
429.00000000	0.47665586
430.00000000	0.51545847
431.00000000	0.53153280
432.00000000	0.58348202
433.00000000	0.62299485
434.00000000	0.64596289
435.00000000	0.68217440
436.00000000	0.71844793
437.00000000	0.75410763
438.00000000	0.79229211
439.00000000	0.83417274
440.00000000	0.84949033
441.00000000	0.90589579
442.00000000	0.92426087
443.00000000	0.95128149
444.00000000	0.97013993
445.00000000	0.98706500
446.00000000	1.00000000
447.00000000	0.99433469
448.00000000	0.97908533
449.00000000	0.96673817
450.00000000	0.92361721
451.00000000	0.88387774
452.00000000	0.82410415
453.00000000	0.76970697
454.00000000	0.69590360
455.00000000	0.65828930
456.00000000	0.59819222
457.00000000	0.54863895
458.00000000	0.49812472
459.00000000	0.45433172
460.00000000	0.42295029
461.00000000	0.39470295
462.00000000	0.35820897
463.00000000	0.33407481
464.00000000	0.30426555
465.00000000	0.28358945
466.00000000	0.25698848
467.00000000	0.23153597
468.00000000	0.22399646
469.00000000	0.20316839
470.00000000	0.18347210
471.00000000	0.17437115
472.00000000	0.15658913
473.00000000	0.14601025
474.00000000	0.13188932
475.00000000	0.12504094
476.00000000	0.11182921
477.00000000	0.10542982
478.00000000	0.10108404
479.00000000	0.09482874
480.00000000	0.09155128
481.00000000	0.08523897
482.00000000	0.08059020
483.00000000	0.08015791
484.00000000	0.07661229
485.00000000	0.07538700
486.00000000	0.07284218
487.00000000	0.07120369
488.00000000	0.07180965
489.00000000	0.06998149
490.00000000	0.07168130
491.00000000	0.07596219
492.00000000	0.07717246
493.00000000	0.08129303
494.00000000	0.08461344
495.00000000	0.09052829
496.00000000	0.09374206
497.00000000	0.09992912
498.00000000	0.10539355
499.00000000	0.11085966
500.00000000	0.11962184
501.00000000	0.12902338
502.00000000	0.13687327
503.00000000	0.14430519
504.00000000	0.15095794
505.00000000	0.16021706
506.00000000	0.17093241
507.00000000	0.18132760
508.00000000	0.19979741
509.00000000	0.20191304
510.00000000	0.21515102
511.00000000	0.22852571
512.00000000	0.23579563
513.00000000	0.24153728
514.00000000	0.26165704
515.00000000	0.26642414
516.00000000	0.27920287
517.00000000	0.28509101
518.00000000	0.29709368
519.00000000	0.30175580
520.00000000	0.31057810
521.00000000	0.31603943
522.00000000	0.32953555
523.00000000	0.33686297
524.00000000	0.34002163
525.00000000	0.34885514
526.00000000	0.35889725
527.00000000	0.35965566
528.00000000	0.36980655
529.00000000	0.37925223
530.00000000	0.38001327
531.00000000	0.38396684
532.00000000	0.38872511
533.00000000	0.39324505
534.00000000	0.39421746
535.00000000	0.40030146
536.00000000	0.40305264
537.00000000	0.40613472
538.00000000	0.41088893
539.00000000	0.41487471
540.00000000	0.42444063
541.00000000	0.42018956
542.00000000	0.42238583
543.00000000	0.42460715
544.00000000	0.42727579
545.00000000	0.42748192
546.00000000	0.42918077
547.00000000	0.43332496
548.00000000	0.43413037
549.00000000	0.42924399
550.00000000	0.43212257
551.00000000	0.43393403
552.00000000	0.43028749
553.00000000	0.44180873
554.00000000	0.43914343
555.00000000	0.43984029
556.00000000	0.44585654
557.00000000	0.44717368
558.00000000	0.44406512
559.00000000	0.45009353
560.00000000	0.45334499
561.00000000	0.45262165
562.00000000	0.45030180
563.00000000	0.45372933
564.00000000	0.44655340
565.00000000	0.45020232
566.00000000	0.44808931
