#LICA Lamps Spectra Database
#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2017/12/17
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.1937	0.1307	0.0004
#xyY coordinates: 0.5965	0.4024	0.1307
#sRGB: 109	15	0
#CCT Lindbloom (K):	0
#CCT McCamy (K):	1627
#CCT Hernández-Andrés (K):	874
#Melatonin: 0.018
#Chlorophyll a: 0.004
#Chlorophyll b: 0.213
#Beta Carotene: 0.006
#Manufacturer: Kingbright
#Luminance manufacturer: 600mc
#Other data: Kingbright Yellow 590nm
#Begin Processed Spectral Data
W	S
300.00000000	0.00000000
301.00000000	0.00000000
302.00000000	0.00060325
303.00000000	0.00000538
304.00000000	0.00000000
305.00000000	0.00000000
306.00000000	0.00000000
307.00000000	0.00000000
308.00000000	0.00000000
309.00000000	0.00054454
310.00000000	0.00250146
311.00000000	0.00114047
312.00000000	0.00000000
313.00000000	0.00494517
314.00000000	0.00013160
315.00000000	0.00082520
316.00000000	0.00167225
317.00000000	0.00000000
318.00000000	0.00284033
319.00000000	0.00000000
320.00000000	0.00000597
321.00000000	0.00000000
322.00000000	0.00523877
323.00000000	0.00000000
324.00000000	0.00000000
325.00000000	0.00000000
326.00000000	0.00298708
327.00000000	0.00000000
328.00000000	0.00029576
329.00000000	0.00000000
330.00000000	0.00000000
331.00000000	0.00000000
332.00000000	0.00000000
333.00000000	0.00065275
334.00000000	0.00000000
335.00000000	0.00000000
336.00000000	0.00007081
337.00000000	0.00009720
338.00000000	0.00000000
339.00000000	0.00081637
340.00000000	0.00000000
341.00000000	0.00000000
342.00000000	0.00083483
343.00000000	0.00021706
344.00000000	0.00000000
345.00000000	0.00000000
346.00000000	0.00000000
347.00000000	0.00047973
348.00000000	0.00000000
349.00000000	0.00263186
350.00000000	0.00016701
351.00000000	0.00000000
352.00000000	0.00000000
353.00000000	0.00023153
354.00000000	0.00000000
355.00000000	0.00176012
356.00000000	0.00036577
357.00000000	0.00000000
358.00000000	0.00000000
359.00000000	0.00029648
360.00000000	0.00071945
361.00000000	0.00061621
362.00000000	0.00011043
363.00000000	0.00000000
364.00000000	0.00010338
365.00000000	0.00000000
366.00000000	0.00000000
367.00000000	0.00195063
368.00000000	0.00000000
369.00000000	0.00014194
370.00000000	0.00000000
371.00000000	0.00039614
372.00000000	0.00001191
373.00000000	0.00000000
374.00000000	0.00046135
375.00000000	0.00001083
376.00000000	0.00000000
377.00000000	0.00156504
378.00000000	0.00000000
379.00000000	0.00004079
380.00000000	0.00000000
381.00000000	0.00016189
382.00000000	0.00000000
383.00000000	0.00032691
384.00000000	0.00000517
385.00000000	0.00017417
386.00000000	0.00075182
387.00000000	0.00000000
388.00000000	0.00000000
389.00000000	0.00050560
390.00000000	0.00000000
391.00000000	0.00000000
392.00000000	0.00034420
393.00000000	0.00122575
394.00000000	0.00000000
395.00000000	0.00000000
396.00000000	0.00000000
397.00000000	0.00041086
398.00000000	0.00000048
399.00000000	0.00048894
400.00000000	0.00000000
401.00000000	0.00000000
402.00000000	0.00000000
403.00000000	0.00047607
404.00000000	0.00004725
405.00000000	0.00007299
406.00000000	0.00002952
407.00000000	0.00000000
408.00000000	0.00000250
409.00000000	0.00004499
410.00000000	0.00026281
411.00000000	0.00074665
412.00000000	0.00000000
413.00000000	0.00000000
414.00000000	0.00000000
415.00000000	0.00044097
416.00000000	0.00000000
417.00000000	0.00000000
418.00000000	0.00000000
419.00000000	0.00056579
420.00000000	0.00000000
421.00000000	0.00006895
422.00000000	0.00000000
423.00000000	0.00002044
424.00000000	0.00000000
425.00000000	0.00030457
426.00000000	0.00047026
427.00000000	0.00000000
428.00000000	0.00000000
429.00000000	0.00000000
430.00000000	0.00000000
431.00000000	0.00000000
432.00000000	0.00000000
433.00000000	0.00032797
434.00000000	0.00001061
435.00000000	0.00000000
436.00000000	0.00013168
437.00000000	0.00004211
438.00000000	0.00169329
439.00000000	0.00026715
440.00000000	0.00020319
441.00000000	0.00070173
442.00000000	0.00000000
443.00000000	0.00000000
444.00000000	0.00000000
445.00000000	0.00000000
446.00000000	0.00000000
447.00000000	0.00000000
448.00000000	0.00008440
449.00000000	0.00007766
450.00000000	0.00000259
451.00000000	0.00014932
452.00000000	0.00025134
453.00000000	0.00061571
454.00000000	0.00104326
455.00000000	0.00066462
456.00000000	0.00062236
457.00000000	0.00000137
458.00000000	0.00000000
459.00000000	0.00000000
460.00000000	0.00000000
461.00000000	0.00000765
462.00000000	0.00000000
463.00000000	0.00000000
464.00000000	0.00000000
465.00000000	0.00000000
466.00000000	0.00018133
467.00000000	0.00000000
468.00000000	0.00036300
469.00000000	0.00000000
470.00000000	0.00000000
471.00000000	0.00000000
472.00000000	0.00010283
473.00000000	0.00000000
474.00000000	0.00000000
475.00000000	0.00000000
476.00000000	0.00050934
477.00000000	0.00000071
478.00000000	0.00000440
479.00000000	0.00007465
480.00000000	0.00001839
481.00000000	0.00042345
482.00000000	0.00000000
483.00000000	0.00000000
484.00000000	0.00000068
485.00000000	0.00075671
486.00000000	0.00000000
487.00000000	0.00002533
488.00000000	0.00000578
489.00000000	0.00000000
490.00000000	0.00028898
491.00000000	0.00000000
492.00000000	0.00023986
493.00000000	0.00006247
494.00000000	0.00015317
495.00000000	0.00011876
496.00000000	0.00003993
497.00000000	0.00001805
498.00000000	0.00000000
499.00000000	0.00029526
500.00000000	0.00007906
501.00000000	0.00017569
502.00000000	0.00000000
503.00000000	0.00000000
504.00000000	0.00002001
505.00000000	0.00065244
506.00000000	0.00000011
507.00000000	0.00007697
508.00000000	0.00000000
509.00000000	0.00000000
510.00000000	0.00000000
511.00000000	0.00000000
512.00000000	0.00008840
513.00000000	0.00002943
514.00000000	0.00000000
515.00000000	0.00049385
516.00000000	0.00012723
517.00000000	0.00000000
518.00000000	0.00000103
519.00000000	0.00017806
520.00000000	0.00023143
521.00000000	0.00065829
522.00000000	0.00000094
523.00000000	0.00012658
524.00000000	0.00000488
525.00000000	0.00021162
526.00000000	0.00034547
527.00000000	0.00000764
528.00000000	0.00004888
529.00000000	0.00041277
530.00000000	0.00000084
531.00000000	0.00000000
532.00000000	0.00073739
533.00000000	0.00074122
534.00000000	0.00025314
535.00000000	0.00028721
536.00000000	0.00014785
537.00000000	0.00095245
538.00000000	0.00111235
539.00000000	0.00110457
540.00000000	0.00118051
541.00000000	0.00143079
542.00000000	0.00173007
543.00000000	0.00158774
544.00000000	0.00081256
545.00000000	0.00183777
546.00000000	0.00202093
547.00000000	0.00167294
548.00000000	0.00256088
549.00000000	0.00362546
550.00000000	0.00288635
551.00000000	0.00451737
552.00000000	0.00442391
553.00000000	0.00455141
554.00000000	0.00558440
555.00000000	0.00624874
556.00000000	0.00777185
557.00000000	0.00895506
558.00000000	0.00960592
559.00000000	0.01172406
560.00000000	0.01328190
561.00000000	0.01560833
562.00000000	0.01727029
563.00000000	0.02085750
564.00000000	0.02290787
565.00000000	0.02647902
566.00000000	0.03053574
