#LICA Lamps Spectra Database
#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2018/04/15
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.0180	0.0068	0.0000
#xyY coordinates: 0.7235	0.2754	0.0068
#sRGB: 12	0	0
#CCT Lindbloom (K):	---
#CCT McCamy (K):	5554
#CCT Hernández-Andrés (K):	---
#Melatonin: 0.015
#Chlorophyll a: 22.070
#Chlorophyll b: 1.691
#Beta Carotene: 21.681
#Manufacturer: Umknowm
#Luminance manufacturer: Unknown
#Other data: 
#Begin Processed Spectral Data
W	S
300.00000000	0.00000000
301.00000000	0.00000000
302.00000000	0.00000000
303.00000000	0.00000000
304.00000000	0.00000000
305.00000000	0.00000000
306.00000000	0.00000000
307.00000000	0.00000000
308.00000000	0.00000000
309.00000000	0.00000000
310.00000000	0.00000000
311.00000000	0.00000000
312.00000000	0.00000000
313.00000000	0.00000000
314.00000000	0.00000000
315.00000000	0.00000000
316.00000000	0.00000000
317.00000000	0.00000000
318.00000000	0.00000000
319.00000000	0.00000000
320.00000000	0.00000000
321.00000000	0.00000000
322.00000000	0.00000000
323.00000000	0.00000000
324.00000000	0.00502910
325.00000000	0.00071593
326.00000000	0.00000000
327.00000000	0.00000000
328.00000000	0.00000000
329.00000000	0.00000000
330.00000000	0.00090474
331.00000000	0.00030716
332.00000000	0.00000000
333.00000000	0.00000000
334.00000000	0.00000000
335.00000000	0.00000000
336.00000000	0.00000000
337.00000000	0.00012208
338.00000000	0.00000000
339.00000000	0.00000000
340.00000000	0.00000000
341.00000000	0.00000000
342.00000000	0.00000000
343.00000000	0.00000000
344.00000000	0.00000000
345.00000000	0.00000000
346.00000000	0.00000000
347.00000000	0.00109910
348.00000000	0.00000000
349.00000000	0.00000000
350.00000000	0.00000000
351.00000000	0.00000000
352.00000000	0.00025796
353.00000000	0.00084868
354.00000000	0.00000000
355.00000000	0.00280957
356.00000000	0.00000000
357.00000000	0.00000000
358.00000000	0.00000000
359.00000000	0.00000000
360.00000000	0.00000000
361.00000000	0.00000000
362.00000000	0.00000000
363.00000000	0.00012686
364.00000000	0.00000000
365.00000000	0.00000000
366.00000000	0.00000000
367.00000000	0.00000000
368.00000000	0.00000000
369.00000000	0.00000000
370.00000000	0.00000000
371.00000000	0.00000000
372.00000000	0.00000000
373.00000000	0.00000000
374.00000000	0.00000000
375.00000000	0.00118882
376.00000000	0.00000000
377.00000000	0.00000000
378.00000000	0.00000000
379.00000000	0.00000000
380.00000000	0.00000000
381.00000000	0.00000000
382.00000000	0.00000000
383.00000000	0.00022473
384.00000000	0.00000000
385.00000000	0.00000000
386.00000000	0.00000000
387.00000000	0.00000000
388.00000000	0.00000000
389.00000000	0.00000000
390.00000000	0.00000000
391.00000000	0.00000000
392.00000000	0.00000000
393.00000000	0.00022586
394.00000000	0.00000000
395.00000000	0.00003931
396.00000000	0.00000000
397.00000000	0.00000000
398.00000000	0.00000000
399.00000000	0.00000000
400.00000000	0.00000000
401.00000000	0.00000000
402.00000000	0.00000000
403.00000000	0.00000000
404.00000000	0.00056443
405.00000000	0.00000000
406.00000000	0.00000000
407.00000000	0.00000000
408.00000000	0.00000000
409.00000000	0.00000000
410.00000000	0.00000000
411.00000000	0.00013770
412.00000000	0.00000000
413.00000000	0.00000000
414.00000000	0.00027835
415.00000000	0.00000000
416.00000000	0.00000000
417.00000000	0.00000000
418.00000000	0.00000000
419.00000000	0.00075584
420.00000000	0.00025510
421.00000000	0.00000000
422.00000000	0.00005571
423.00000000	0.00000000
424.00000000	0.00000000
425.00000000	0.00000000
426.00000000	0.00000000
427.00000000	0.00000000
428.00000000	0.00000000
429.00000000	0.00000113
430.00000000	0.00000000
431.00000000	0.00000000
432.00000000	0.00009605
433.00000000	0.00000000
434.00000000	0.00000000
435.00000000	0.00002169
436.00000000	0.00000000
437.00000000	0.00000000
438.00000000	0.00000000
439.00000000	0.00000000
440.00000000	0.00000000
441.00000000	0.00000000
442.00000000	0.00000000
443.00000000	0.00000000
444.00000000	0.00000000
445.00000000	0.00000000
446.00000000	0.00000000
447.00000000	0.00000000
448.00000000	0.00000000
449.00000000	0.00000000
450.00000000	0.00000000
451.00000000	0.00000000
452.00000000	0.00000000
453.00000000	0.00000000
454.00000000	0.00000000
455.00000000	0.00000000
456.00000000	0.00000000
457.00000000	0.00032651
458.00000000	0.00000000
459.00000000	0.00000000
460.00000000	0.00000000
461.00000000	0.00000000
462.00000000	0.00000000
463.00000000	0.00000000
464.00000000	0.00000069
465.00000000	0.00000000
466.00000000	0.00008842
467.00000000	0.00000000
468.00000000	0.00000000
469.00000000	0.00000000
470.00000000	0.00000000
471.00000000	0.00000000
472.00000000	0.00000000
473.00000000	0.00000000
474.00000000	0.00000000
475.00000000	0.00000000
476.00000000	0.00000000
477.00000000	0.00000000
478.00000000	0.00000000
479.00000000	0.00000000
480.00000000	0.00000000
481.00000000	0.00000000
482.00000000	0.00015610
483.00000000	0.00000000
484.00000000	0.00000000
485.00000000	0.00000000
486.00000000	0.00000000
487.00000000	0.00000000
488.00000000	0.00000000
489.00000000	0.00016547
490.00000000	0.00000000
491.00000000	0.00000000
492.00000000	0.00041736
493.00000000	0.00000000
494.00000000	0.00000000
495.00000000	0.00044130
496.00000000	0.00000000
497.00000000	0.00011991
498.00000000	0.00000000
499.00000000	0.00000000
500.00000000	0.00000000
501.00000000	0.00004269
502.00000000	0.00000000
503.00000000	0.00000000
504.00000000	0.00000000
505.00000000	0.00027358
506.00000000	0.00018135
507.00000000	0.00000000
508.00000000	0.00011271
509.00000000	0.00000000
510.00000000	0.00036963
511.00000000	0.00000000
512.00000000	0.00000000
513.00000000	0.00000000
514.00000000	0.00000000
515.00000000	0.00000000
516.00000000	0.00000000
517.00000000	0.00000000
518.00000000	0.00007384
519.00000000	0.00000000
520.00000000	0.00000000
521.00000000	0.00049588
522.00000000	0.00000000
523.00000000	0.00000000
524.00000000	0.00040183
525.00000000	0.00000000
526.00000000	0.00000000
527.00000000	0.00010603
528.00000000	0.00000000
529.00000000	0.00001926
530.00000000	0.00000000
531.00000000	0.00000000
532.00000000	0.00003098
533.00000000	0.00002612
534.00000000	0.00000000
535.00000000	0.00000000
536.00000000	0.00027367
537.00000000	0.00000000
538.00000000	0.00005970
539.00000000	0.00010768
540.00000000	0.00000000
541.00000000	0.00000000
542.00000000	0.00000000
543.00000000	0.00084296
544.00000000	0.00000000
545.00000000	0.00000000
546.00000000	0.00043584
547.00000000	0.00000000
548.00000000	0.00000000
549.00000000	0.00000000
550.00000000	0.00000000
551.00000000	0.00000000
552.00000000	0.00000000
553.00000000	0.00000000
554.00000000	0.00000000
555.00000000	0.00000000
556.00000000	0.00000000
557.00000000	0.00000000
558.00000000	0.00000000
559.00000000	0.00000000
560.00000000	0.00000000
561.00000000	0.00000000
562.00000000	0.00000000
563.00000000	0.00000000
564.00000000	0.00011106
565.00000000	0.00000000
566.00000000	0.00000000
567.00000000	0.00000000
