#LICA Lamps Spectra Database
#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2017/12/17
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.6250	0.4680	0.0054
#xyY coordinates: 0.5690	0.4261	0.4680
#sRGB: 255	53	0
#CCT Lindbloom (K):	1766
#CCT McCamy (K):	1789
#CCT Hernández-Andrés (K):	1354
#Melatonin: 0.037
#Chlorophyll a: 0.142
#Chlorophyll b: 0.337
#Beta Carotene: 0.143
#Manufacturer: Wave Tecnica Canaria
#Luminance manufacturer: Unknown
#Other data: La Palma streetlight
#Begin Processed Spectral Data
W	S
300.00000000	0.00020352
301.00000000	0.00000000
302.00000000	0.00000000
303.00000000	0.00002165
304.00000000	0.00021983
305.00000000	0.00036888
306.00000000	0.00000000
307.00000000	0.00000000
308.00000000	0.00001875
309.00000000	0.00000000
310.00000000	0.00000000
311.00000000	0.00000000
312.00000000	0.00001186
313.00000000	0.00000000
314.00000000	0.00057362
315.00000000	0.00000000
316.00000000	0.00000000
317.00000000	0.00000000
318.00000000	0.00000828
319.00000000	0.00281168
320.00000000	0.00000000
321.00000000	0.00000000
322.00000000	0.00000000
323.00000000	0.00000000
324.00000000	0.00000000
325.00000000	0.00000000
326.00000000	0.00000000
327.00000000	0.00000000
328.00000000	0.00000000
329.00000000	0.00000000
330.00000000	0.00042548
331.00000000	0.00015164
332.00000000	0.00000000
333.00000000	0.00000000
334.00000000	0.00058167
335.00000000	0.00000000
336.00000000	0.00000000
337.00000000	0.00000000
338.00000000	0.00000000
339.00000000	0.00000000
340.00000000	0.00000000
341.00000000	0.00000000
342.00000000	0.00000000
343.00000000	0.00000000
344.00000000	0.00007805
345.00000000	0.00000000
346.00000000	0.00000000
347.00000000	0.00000000
348.00000000	0.00000000
349.00000000	0.00117971
350.00000000	0.00000000
351.00000000	0.00000000
352.00000000	0.00000000
353.00000000	0.00000000
354.00000000	0.00000000
355.00000000	0.00000000
356.00000000	0.00191302
357.00000000	0.00000000
358.00000000	0.00000000
359.00000000	0.00250074
360.00000000	0.00281214
361.00000000	0.00000000
362.00000000	0.00000000
363.00000000	0.00000000
364.00000000	0.00000000
365.00000000	0.00000000
366.00000000	0.00000000
367.00000000	0.00000000
368.00000000	0.00000000
369.00000000	0.00001183
370.00000000	0.00000000
371.00000000	0.00001806
372.00000000	0.00000000
373.00000000	0.00000000
374.00000000	0.00000000
375.00000000	0.00000000
376.00000000	0.00061596
377.00000000	0.00012247
378.00000000	0.00000000
379.00000000	0.00000000
380.00000000	0.00000011
381.00000000	0.00000000
382.00000000	0.00000000
383.00000000	0.00000000
384.00000000	0.00000000
385.00000000	0.00000000
386.00000000	0.00000000
387.00000000	0.00016224
388.00000000	0.00000000
389.00000000	0.00000000
390.00000000	0.00000000
391.00000000	0.00019274
392.00000000	0.00000000
393.00000000	0.00000000
394.00000000	0.00000000
395.00000000	0.00005478
396.00000000	0.00000000
397.00000000	0.00000000
398.00000000	0.00042174
399.00000000	0.00000000
400.00000000	0.00000000
401.00000000	0.00000000
402.00000000	0.00048625
403.00000000	0.00120317
404.00000000	0.00028880
405.00000000	0.00000000
406.00000000	0.00031410
407.00000000	0.00000000
408.00000000	0.00000000
409.00000000	0.00000000
410.00000000	0.00018777
411.00000000	0.00001749
412.00000000	0.00080213
413.00000000	0.00152531
414.00000000	0.00039752
415.00000000	0.00000000
416.00000000	0.00000000
417.00000000	0.00000000
418.00000000	0.00004044
419.00000000	0.00000000
420.00000000	0.00000099
421.00000000	0.00064869
422.00000000	0.00051141
423.00000000	0.00033672
424.00000000	0.00000000
425.00000000	0.00014009
426.00000000	0.00054030
427.00000000	0.00140595
428.00000000	0.00001272
429.00000000	0.00061767
430.00000000	0.00075829
431.00000000	0.00181434
432.00000000	0.00160121
433.00000000	0.00310721
434.00000000	0.00447161
435.00000000	0.00333158
436.00000000	0.00348930
437.00000000	0.00411936
438.00000000	0.00608710
439.00000000	0.00649966
440.00000000	0.00696064
441.00000000	0.00688960
442.00000000	0.00693223
443.00000000	0.00724667
444.00000000	0.00595001
445.00000000	0.00858257
446.00000000	0.00724294
447.00000000	0.00651881
448.00000000	0.00731787
449.00000000	0.00733776
450.00000000	0.00691982
451.00000000	0.00615712
452.00000000	0.00582599
453.00000000	0.00548193
454.00000000	0.00653626
455.00000000	0.00486600
456.00000000	0.00523673
457.00000000	0.00487154
458.00000000	0.00487653
459.00000000	0.00505755
460.00000000	0.00442814
461.00000000	0.00450809
462.00000000	0.00350163
463.00000000	0.00304368
464.00000000	0.00361549
465.00000000	0.00461807
466.00000000	0.00335216
467.00000000	0.00366173
468.00000000	0.00404388
469.00000000	0.00532263
470.00000000	0.00360937
