#LICA Lamps Spectra Database
#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2017/06/28
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.6386	0.4573	0.0065
#xyY coordinates: 0.5792	0.4149	0.4573
#sRGB: 255	45	0
#CCT Lindbloom (K):	---
#CCT McCamy (K):	1698
#CCT Hernández-Andrés (K):	1151
#Melatonin: 0.050
#Chlorophyll a: 0.424
#Chlorophyll b: 0.418
#Beta Carotene: 0.424
#Manufacturer: Ignialight
#Luminance manufacturer: Unknown
#Other data: Áger streetlight.
#Begin Processed Spectral Data
W	S
300.00000000	0.00000000
301.00000000	0.00047801
302.00000000	0.00000000
303.00000000	0.00000000
304.00000000	0.00000953
305.00000000	0.00000000
306.00000000	0.00000000
307.00000000	0.00000000
308.00000000	0.00253132
309.00000000	0.00000000
310.00000000	0.00059987
311.00000000	0.00000000
312.00000000	0.00000000
313.00000000	0.00000000
314.00000000	0.00000000
315.00000000	0.00000000
316.00000000	0.00000000
317.00000000	0.00000000
318.00000000	0.00000000
319.00000000	0.00000000
320.00000000	0.00000000
321.00000000	0.00000000
322.00000000	0.00000000
323.00000000	0.00000000
324.00000000	0.00078861
325.00000000	0.00025372
326.00000000	0.00000000
327.00000000	0.00000102
328.00000000	0.00000000
329.00000000	0.00039323
330.00000000	0.00003133
331.00000000	0.00000000
332.00000000	0.00000000
333.00000000	0.00000000
334.00000000	0.00000000
335.00000000	0.00023782
336.00000000	0.00000000
337.00000000	0.00000000
338.00000000	0.00000000
339.00000000	0.00000000
340.00000000	0.00000000
341.00000000	0.00000002
342.00000000	0.00000000
343.00000000	0.00000000
344.00000000	0.00000000
345.00000000	0.00049666
346.00000000	0.00000000
347.00000000	0.00000000
348.00000000	0.00000000
349.00000000	0.00034168
350.00000000	0.00000000
351.00000000	0.00000000
352.00000000	0.00012950
353.00000000	0.00013253
354.00000000	0.00000000
355.00000000	0.00001325
356.00000000	0.00000000
357.00000000	0.00023860
358.00000000	0.00000000
359.00000000	0.00000000
360.00000000	0.00000000
361.00000000	0.00000000
362.00000000	0.00000000
363.00000000	0.00000000
364.00000000	0.00003146
365.00000000	0.00000000
366.00000000	0.00006197
367.00000000	0.00000000
368.00000000	0.00000000
369.00000000	0.00000000
370.00000000	0.00000000
371.00000000	0.00000000
372.00000000	0.00000000
373.00000000	0.00000000
374.00000000	0.00000000
375.00000000	0.00003570
376.00000000	0.00000000
377.00000000	0.00000000
378.00000000	0.00021139
379.00000000	0.00000000
380.00000000	0.00000000
381.00000000	0.00000000
382.00000000	0.00000000
383.00000000	0.00000000
384.00000000	0.00000000
385.00000000	0.00000000
386.00000000	0.00020293
387.00000000	0.00000000
388.00000000	0.00000019
389.00000000	0.00003067
390.00000000	0.00000000
391.00000000	0.00000000
392.00000000	0.00000011
393.00000000	0.00000000
394.00000000	0.00000000
395.00000000	0.00008196
396.00000000	0.00000413
397.00000000	0.00000000
398.00000000	0.00000000
399.00000000	0.00000000
400.00000000	0.00007559
401.00000000	0.00001003
402.00000000	0.00000000
403.00000000	0.00000000
404.00000000	0.00000000
405.00000000	0.00000000
406.00000000	0.00000000
407.00000000	0.00000000
408.00000000	0.00000000
409.00000000	0.00075027
410.00000000	0.00069979
411.00000000	0.00087827
412.00000000	0.00048404
413.00000000	0.00114989
414.00000000	0.00159818
415.00000000	0.00165361
416.00000000	0.00193145
417.00000000	0.00340356
418.00000000	0.00340928
419.00000000	0.00346779
420.00000000	0.00420981
421.00000000	0.00553859
422.00000000	0.00581624
423.00000000	0.00627262
424.00000000	0.00713536
425.00000000	0.00738090
426.00000000	0.00734566
427.00000000	0.00750817
428.00000000	0.00760213
429.00000000	0.00788170
430.00000000	0.00789157
431.00000000	0.00828686
432.00000000	0.00763725
433.00000000	0.00747740
434.00000000	0.00712932
435.00000000	0.00709684
436.00000000	0.00673609
437.00000000	0.00598819
438.00000000	0.00646053
439.00000000	0.00661045
440.00000000	0.00562738
441.00000000	0.00594314
442.00000000	0.00535369
443.00000000	0.00555010
444.00000000	0.00421426
445.00000000	0.00437991
446.00000000	0.00387444
447.00000000	0.00403122
448.00000000	0.00357109
449.00000000	0.00322502
450.00000000	0.00298497
451.00000000	0.00272940
452.00000000	0.00196651
453.00000000	0.00182292
454.00000000	0.00194742
455.00000000	0.00141373
456.00000000	0.00207436
457.00000000	0.00142715
458.00000000	0.00178178
459.00000000	0.00054827
460.00000000	0.00083685
461.00000000	0.00069264
462.00000000	0.00145149
463.00000000	0.00112355
464.00000000	0.00078274
465.00000000	0.00097787
466.00000000	0.00079119
467.00000000	0.00067307
468.00000000	0.00107091
469.00000000	0.00082135
470.00000000	0.00114215
471.00000000	0.00073573
472.00000000	0.00092949
473.00000000	0.00103237
474.00000000	0.00086981
475.00000000	0.00097619
476.00000000	0.00126805
477.00000000	0.00159849
478.00000000	0.00135339
479.00000000	0.00156921
480.00000000	0.00163774
481.00000000	0.00135617
482.00000000	0.00210827
483.00000000	0.00158037
484.00000000	0.00215506
485.00000000	0.00240578
486.00000000	0.00246559
487.00000000	0.00246860
488.00000000	0.00297373
489.00000000	0.00317587
490.00000000	0.00355306
491.00000000	0.00396108
492.00000000	0.00450619
493.00000000	0.00514098
494.00000000	0.00583165
495.00000000	0.00658989
496.00000000	0.00740746
497.00000000	0.00836958
498.00000000	0.00967571
499.00000000	0.01051052
500.00000000	0.01218850
501.00000000	0.01359998
502.00000000	0.01501227
503.00000000	0.01709555
504.00000000	0.01930692
505.00000000	0.02096249
506.00000000	0.02320699
507.00000000	0.02589798
508.00000000	0.02830563
509.00000000	0.03137365
510.00000000	0.03408924
511.00000000	0.03756451
512.00000000	0.04032981
513.00000000	0.04361801
514.00000000	0.04754021
515.00000000	0.05056998
516.00000000	0.05391673
517.00000000	0.05787753
518.00000000	0.06110177
519.00000000	0.06420129
520.00000000	0.06854139
521.00000000	0.07212104
522.00000000	0.07641671
523.00000000	0.08048695
524.00000000	0.08437298
525.00000000	0.08849750
526.00000000	0.09305001
527.00000000	0.09718466
528.00000000	0.10132877
529.00000000	0.10584332
530.00000000	0.11082769
531.00000000	0.11427779
532.00000000	0.11871818
533.00000000	0.12204372
534.00000000	0.12732886
535.00000000	0.13309325
536.00000000	0.13665955
537.00000000	0.14194323
538.00000000	0.14656784
539.00000000	0.15246595
540.00000000	0.15795087
541.00000000	0.16586443
542.00000000	0.17040522
543.00000000	0.17759957
544.00000000	0.18228989
545.00000000	0.18915223
546.00000000	0.19522523
547.00000000	0.20353959
548.00000000	0.21196465
549.00000000	0.21811316
550.00000000	0.22693895
551.00000000	0.23688562
552.00000000	0.24609859
553.00000000	0.25515901
554.00000000	0.26497089
555.00000000	0.27565507
556.00000000	0.28881710
557.00000000	0.30095181
558.00000000	0.31393588
559.00000000	0.32524417
560.00000000	0.33925300
561.00000000	0.35373691
562.00000000	0.36750487
563.00000000	0.38068161
