#LICA Lamps Spectra Database
#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2017/12/15
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.3612	0.2810	0.0022
#xyY coordinates: 0.5605	0.4360	0.2810
#sRGB: 188	45	0
#CCT Lindbloom (K):	1877
#CCT McCamy (K):	1887
#CCT Hernández-Andrés (K):	1529
#Melatonin: 0.037
#Chlorophyll a: 0.096
#Chlorophyll b: 0.274
#Beta Carotene: 0.097
#Manufacturer: Unknown
#Luminance manufacturer: Unknown
#Other data: La Palma streetlamp
#Begin Processed Spectral Data
W	S
300.00000000	0.00000000
301.00000000	0.00000000
302.00000000	0.00000000
303.00000000	0.00000000
304.00000000	0.00000000
305.00000000	0.00000000
306.00000000	0.00000000
307.00000000	0.00000000
308.00000000	0.00000000
309.00000000	0.00060175
310.00000000	0.00000000
311.00000000	0.00000000
312.00000000	0.00000000
313.00000000	0.00000000
314.00000000	0.00000000
315.00000000	0.00057419
316.00000000	0.00054660
317.00000000	0.00000000
318.00000000	0.00124576
319.00000000	0.00017121
320.00000000	0.00000000
321.00000000	0.00071723
322.00000000	0.00000000
323.00000000	0.00000000
324.00000000	0.00000000
325.00000000	0.00000000
326.00000000	0.00000000
327.00000000	0.00000000
328.00000000	0.00008532
329.00000000	0.00215791
330.00000000	0.00000000
331.00000000	0.00000681
332.00000000	0.00000000
333.00000000	0.00000000
334.00000000	0.00000000
335.00000000	0.00069078
336.00000000	0.00284764
337.00000000	0.00240553
338.00000000	0.00000000
339.00000000	0.00000000
340.00000000	0.00214031
341.00000000	0.00000024
342.00000000	0.00000000
343.00000000	0.00086612
344.00000000	0.00000000
345.00000000	0.00144529
346.00000000	0.00005646
347.00000000	0.00000000
348.00000000	0.00000000
349.00000000	0.00000000
350.00000000	0.00000000
351.00000000	0.00005908
352.00000000	0.00062516
353.00000000	0.00031919
354.00000000	0.00004726
355.00000000	0.00000000
356.00000000	0.00046954
357.00000000	0.00014820
358.00000000	0.00000000
359.00000000	0.00000000
360.00000000	0.00032076
361.00000000	0.00000000
362.00000000	0.00003482
363.00000000	0.00000000
364.00000000	0.00000000
365.00000000	0.00044274
366.00000000	0.00000000
367.00000000	0.00000000
368.00000000	0.00000000
369.00000000	0.00021023
370.00000000	0.00000000
371.00000000	0.00000000
372.00000000	0.00000000
373.00000000	0.00003571
374.00000000	0.00265555
375.00000000	0.00000000
376.00000000	0.00000000
377.00000000	0.00000000
378.00000000	0.00000000
379.00000000	0.00000000
380.00000000	0.00191050
381.00000000	0.00000000
382.00000000	0.00026793
383.00000000	0.00000000
384.00000000	0.00000000
385.00000000	0.00022498
386.00000000	0.00000000
387.00000000	0.00000000
388.00000000	0.00000000
389.00000000	0.00000000
390.00000000	0.00000000
391.00000000	0.00040732
392.00000000	0.00000000
393.00000000	0.00000000
394.00000000	0.00000000
395.00000000	0.00025280
396.00000000	0.00000000
397.00000000	0.00000000
398.00000000	0.00009493
399.00000000	0.00000000
400.00000000	0.00003161
401.00000000	0.00000000
402.00000000	0.00000000
403.00000000	0.00000000
404.00000000	0.00000000
405.00000000	0.00002775
406.00000000	0.00017995
407.00000000	0.00000000
408.00000000	0.00000000
409.00000000	0.00000000
410.00000000	0.00047781
411.00000000	0.00000000
412.00000000	0.00070964
413.00000000	0.00018095
414.00000000	0.00013529
415.00000000	0.00000000
416.00000000	0.00000000
417.00000000	0.00004856
418.00000000	0.00000000
419.00000000	0.00000000
420.00000000	0.00000033
421.00000000	0.00000884
422.00000000	0.00027517
423.00000000	0.00000000
424.00000000	0.00063812
425.00000000	0.00017753
426.00000000	0.00000000
427.00000000	0.00048539
428.00000000	0.00006771
429.00000000	0.00071437
430.00000000	0.00086853
431.00000000	0.00000354
432.00000000	0.00009057
433.00000000	0.00000000
434.00000000	0.00044671
435.00000000	0.00070975
436.00000000	0.00013203
437.00000000	0.00142525
438.00000000	0.00194697
439.00000000	0.00000031
440.00000000	0.00050165
441.00000000	0.00004810
442.00000000	0.00038407
443.00000000	0.00110571
444.00000000	0.00057072
445.00000000	0.00077194
446.00000000	0.00036622
447.00000000	0.00331358
448.00000000	0.00301902
449.00000000	0.00109975
450.00000000	0.00252059
451.00000000	0.00167618
452.00000000	0.00131281
453.00000000	0.00299022
454.00000000	0.00199031
455.00000000	0.00245992
456.00000000	0.00239647
457.00000000	0.00279567
458.00000000	0.00207747
459.00000000	0.00237475
460.00000000	0.00078559
461.00000000	0.00042267
462.00000000	0.00133524
463.00000000	0.00129519
464.00000000	0.00043061
465.00000000	0.00011105
466.00000000	0.00046607
467.00000000	0.00004881
468.00000000	0.00250972
469.00000000	0.00157544
470.00000000	0.00034182
471.00000000	0.00249844
472.00000000	0.00082676
473.00000000	0.00122570
474.00000000	0.00065072
475.00000000	0.00001189
476.00000000	0.00140951
477.00000000	0.00118042
478.00000000	0.00110361
479.00000000	0.00130816
480.00000000	0.00165185
481.00000000	0.00131294
482.00000000	0.00168490
483.00000000	0.00086145
484.00000000	0.00104368
485.00000000	0.00100445
486.00000000	0.00142711
487.00000000	0.00087002
488.00000000	0.00094607
489.00000000	0.00083218
490.00000000	0.00169447
491.00000000	0.00208989
492.00000000	0.00156786
493.00000000	0.00161571
494.00000000	0.00157540
495.00000000	0.00211631
496.00000000	0.00199409
497.00000000	0.00231297
498.00000000	0.00225822
499.00000000	0.00241340
500.00000000	0.00368808
501.00000000	0.00326026
502.00000000	0.00322956
503.00000000	0.00436493
504.00000000	0.00453496
505.00000000	0.00554118
506.00000000	0.00533678
507.00000000	0.00683573
508.00000000	0.00639405
509.00000000	0.00643389
510.00000000	0.00763210
511.00000000	0.00787946
512.00000000	0.00854140
513.00000000	0.00902169
514.00000000	0.01080910
515.00000000	0.01115953
516.00000000	0.01211905
517.00000000	0.01271875
518.00000000	0.01500129
519.00000000	0.01492662
520.00000000	0.01632035
521.00000000	0.01760176
522.00000000	0.01833693
523.00000000	0.01989327
524.00000000	0.02037908
525.00000000	0.02301252
526.00000000	0.02403929
527.00000000	0.02451998
528.00000000	0.02655424
529.00000000	0.02904961
530.00000000	0.03097184
531.00000000	0.03278004
532.00000000	0.03631561
533.00000000	0.03940012
534.00000000	0.04094431
535.00000000	0.04523974
536.00000000	0.04805242
537.00000000	0.05060750
538.00000000	0.05538906
539.00000000	0.06087570
540.00000000	0.06420758
541.00000000	0.06925194
542.00000000	0.07514106
543.00000000	0.08009030
544.00000000	0.08570562
545.00000000	0.09175391
546.00000000	0.09703062
547.00000000	0.10476465
548.00000000	0.10909238
549.00000000	0.11972243
550.00000000	0.12732789
551.00000000	0.13518814
552.00000000	0.14611987
553.00000000	0.15122579
554.00000000	0.16254097
555.00000000	0.17140518
556.00000000	0.18367687
557.00000000	0.19211786
558.00000000	0.20421824
559.00000000	0.21471608
560.00000000	0.22648389
561.00000000	0.23970188
562.00000000	0.24757593
563.00000000	0.25832458
564.00000000	0.26682709
565.00000000	0.27839484
566.00000000	0.29196757
