# LED streetlamp
# average spectrum 
# W	S
300	0
301	0.00137389
302	0.00158419
303	0.0054841
304	0.00074754
305	0
306	0.000907685
307	0.002704315
308	0
309	0.00108138
310	0.00069004
311	0.0016278
312	0.00134299
313	0
314	0
315	0
316	0.001429365
317	0.000017565
318	0.001752915
319	0
320	0.00130369
321	0.001847195
322	0.002632245
323	0.000835665
324	0.002707785
325	0
326	0
327	0.00995935
328	0
329	0.000005375
330	0.00057877
331	0.00006245
332	0
333	0
334	0
335	0
336	0.00313872
337	0.000418945
338	0.000559885
339	0.00244027
340	0.00052102
341	0.00030926
342	0.00027207
343	0.000320145
344	0
345	0
346	0
347	0.00044262
348	0.00017968
349	0
350	0.00143443
351	0
352	0.00085214
353	0.000956675
354	0.00281304
355	0.00054989
356	0.000064475
357	0.000320845
358	0.00036285
359	0.000330005
360	0.000294675
361	0.00047032
362	0
363	0.00132556
364	0.00003084
365	0
366	0
367	0
368	0.001911795
369	0.00030077
370	0
371	0.000298865
372	0.00041214
373	0.001002365
374	0
375	0.000355175
376	0
377	0.00078586
378	0.000393065
379	0
380	0.00032182
381	0.00021093
382	0.000392785
383	0
384	0
385	0.000101945
386	0
387	0.00024974
388	0.00051309
389	0.00145276
390	0.000642215
391	0.000323475
392	0.000192325
393	0.001264335
394	0.001330125
395	0.00087314
396	0.00069754
397	0.000332435
398	0.00107367
399	0.000931825
400	0.00213316
401	0.00224039
402	0.0026344
403	0.000874675
404	0.0020834
405	0.00244337
406	0.003590305
407	0.00590073
408	0.0076848
409	0.007992595
410	0.010416635
411	0.011698505
412	0.014178095
413	0.01770556
414	0.020437635
415	0.026223265
416	0.03332278
417	0.03637302
418	0.0431462
419	0.05232151
420	0.061401035
421	0.07306142
422	0.08488269
423	0.10193748
424	0.116481
425	0.13625872
426	0.156479475
427	0.176983725
428	0.196767785
429	0.222420205
430	0.24943305
431	0.27699802
432	0.304126005
433	0.3311269
434	0.35604904
435	0.384532825
436	0.41142987
437	0.439524825
438	0.46627289
439	0.4979182
440	0.52271491
441	0.54900955
442	0.57940848
443	0.616479985
444	0.64172168
445	0.67516149
446	0.699272875
447	0.72808885
448	0.743155415
449	0.752262915
450	0.73831236
451	0.71675547
452	0.684652365
453	0.63846652
454	0.59212587
455	0.538171705
456	0.48427984
457	0.427281845
458	0.3851901
459	0.340138345
460	0.310695965
461	0.284348505
462	0.262037645
463	0.24034391
464	0.22773532
465	0.20829976
466	0.19434656
467	0.185270655
468	0.176800085
469	0.163684195
470	0.15400155
471	0.14409877
472	0.134260185
473	0.1251331
474	0.115816095
475	0.1086054
476	0.10566995
477	0.101604725
478	0.096212015
479	0.09375738
480	0.09321444
481	0.0932217
482	0.092887375
483	0.092947605
484	0.09299914
485	0.09445162
486	0.095835965
487	0.09614355
488	0.10015759
489	0.101575625
490	0.104790665
491	0.10945164
492	0.1164788
493	0.12010271
494	0.12816588
495	0.13229007
496	0.1413998
497	0.15216175
498	0.15848027
499	0.170723895
500	0.18107037
501	0.1902148
502	0.200182795
503	0.212024705
504	0.220541635
505	0.23634058
506	0.241149505
507	0.25549089
508	0.26562961
509	0.27792839
510	0.28873387
511	0.30178549
512	0.31478153
513	0.32075183
514	0.33601451
515	0.34998571
516	0.35828925
517	0.36693083
518	0.37435676
519	0.38775014
520	0.39403821
521	0.405973895
522	0.41701638
523	0.427229055
524	0.43704318
525	0.448421715
526	0.45575832
527	0.465816445
528	0.473197125
529	0.4835182
530	0.490197685
531	0.4964607
532	0.50585763
533	0.50934349
534	0.516227405
535	0.526502935
536	0.5355362
537	0.543038405
538	0.548686455
539	0.55981024
540	0.56478405
541	0.57726008
542	0.58288303
543	0.594049365
544	0.59562159
545	0.608415825
546	0.615039575
547	0.624270385
548	0.631227925
549	0.642367715
550	0.65002721
551	0.65944495
552	0.66834187
553	0.682794295
554	0.688876505
555	0.700725535
556	0.71131794
557	0.72458311
558	0.737998445
559	0.745849805
560	0.760781185
561	0.77011082
562	0.77794828
563	0.786924965
564	0.79479282
565	0.806925085
566	0.817972255
567	0.83185293
568	0.83779545
569	0.84878764
570	0.85207181
571	0.861570065
572	0.870941135
573	0.879516955
574	0.88663976
575	0.893721005
576	0.89838443
577	0.912311635
578	0.91472274
579	0.91900884
580	0.927317955
581	0.92946781
582	0.94054531
583	0.95022589
584	0.9580859
585	0.969091505
586	0.97562026
587	0.98026905
588	0.98057748
589	0.9800966
590	0.986768795
591	0.98584953
592	0.9864953
593	0.996217595
594	0.99471363
595	0.990360675
596	0.988559125
597	0.987776525
598	0.99485121
599	0.99765971
600	0.996516085
601	0.992523965
602	0.99064159
603	0.993895575
604	0.988099415
605	0.969229925
606	0.96448363
607	0.95374748
608	0.9459337
609	0.93826108
610	0.933758265
611	0.926678105
612	0.919694335
613	0.91625846
614	0.91208483
615	0.913549775
616	0.90518138
617	0.89924435
618	0.898961055
619	0.8944092
620	0.88816908
621	0.872175515
622	0.857200335
623	0.85291187
624	0.83732655
625	0.82738374
626	0.815657195
627	0.806142835
628	0.797669635
629	0.78044125
630	0.775001435
631	0.75807287
632	0.738483965
633	0.73658032
634	0.72351837
635	0.71039538
636	0.69557242
637	0.678845115
638	0.673325605
639	0.65479937
640	0.649708965
641	0.63019414
642	0.62358644
643	0.61140216
644	0.600945515
645	0.58698378
646	0.579333985
647	0.56542432
648	0.55114192
649	0.54604782
650	0.5300547
651	0.518510915
652	0.51005153
653	0.49638862
654	0.48932034
655	0.477675715
656	0.46621128
657	0.461890105
658	0.442340515
659	0.44036695
660	0.42559919
661	0.41809071
662	0.408020175
663	0.39409068
664	0.38981939
665	0.383830465
666	0.36971551
667	0.363641465
668	0.351538495
669	0.347184835
670	0.3372096
671	0.332205885
672	0.32551495
