#LICA Lamps Spectra Database
#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2017/12/15
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.1460	0.1398	0.0717
#xyY coordinates: 0.4085	0.3911	0.1398
#sRGB: 57	32	14
#CCT Lindbloom (K):	3436
#CCT McCamy (K):	3445
#CCT Hernández-Andrés (K):	3426
#Melatonin: 0.452
#Chlorophyll a: 0.151
#Chlorophyll b: 0.685
#Beta Carotene: 0.153
#Manufacturer: Unknown
#Luminance manufacturer: Unknown
#Other data:
#Begin Processed Spectral Data
W	S
300.00000000	0.00000000
301.00000000	0.00000000
302.00000000	0.00000000
303.00000000	0.00000000
304.00000000	0.01459127
305.00000000	0.00000000
306.00000000	0.00565872
307.00000000	0.00000000
308.00000000	0.00757317
309.00000000	0.00000000
310.00000000	0.00000000
311.00000000	0.00000000
312.00000000	0.00000000
313.00000000	0.00000000
314.00000000	0.00000000
315.00000000	0.00000000
316.00000000	0.00000000
317.00000000	0.00000000
318.00000000	0.00202762
319.00000000	0.00382797
320.00000000	0.00000000
321.00000000	0.00000000
322.00000000	0.00000000
323.00000000	0.00000000
324.00000000	0.00000000
325.00000000	0.00000000
326.00000000	0.00000000
327.00000000	0.00531922
328.00000000	0.00000000
329.00000000	0.00000000
330.00000000	0.00000000
331.00000000	0.00000000
332.00000000	0.00000000
333.00000000	0.00000000
334.00000000	0.00061025
335.00000000	0.00099089
336.00000000	0.00540433
337.00000000	0.00000000
338.00000000	0.00147068
339.00000000	0.00086627
340.00000000	0.00000000
341.00000000	0.00000000
342.00000000	0.00000000
343.00000000	0.00097500
344.00000000	0.00000000
345.00000000	0.00668725
346.00000000	0.00000000
347.00000000	0.00000000
348.00000000	0.00953695
349.00000000	0.00398462
350.00000000	0.01290478
351.00000000	0.05793321
352.00000000	0.12418522
353.00000000	0.11508035
354.00000000	0.06218462
355.00000000	0.03133688
356.00000000	0.02790615
357.00000000	0.02083475
358.00000000	0.01913002
359.00000000	0.02245693
360.00000000	0.01835868
361.00000000	0.01514587
362.00000000	0.02727182
363.00000000	0.02159557
364.00000000	0.03974592
365.00000000	0.08770542
366.00000000	0.06575165
367.00000000	0.03294831
368.00000000	0.02657693
369.00000000	0.02337909
370.00000000	0.02159510
371.00000000	0.02307162
372.00000000	0.02618904
373.00000000	0.02843784
374.00000000	0.02825944
375.00000000	0.03357656
376.00000000	0.05271079
377.00000000	0.10259807
378.00000000	0.13798831
379.00000000	0.10892759
380.00000000	0.06916484
381.00000000	0.03970407
382.00000000	0.02213053
383.00000000	0.02148077
384.00000000	0.02251141
385.00000000	0.01889551
386.00000000	0.01662543
387.00000000	0.01795722
388.00000000	0.02203864
389.00000000	0.02217238
390.00000000	0.02101525
391.00000000	0.02396058
392.00000000	0.01873020
393.00000000	0.02120978
394.00000000	0.02098976
395.00000000	0.02381187
396.00000000	0.02431340
397.00000000	0.02397788
398.00000000	0.02543500
399.00000000	0.02465897
400.00000000	0.02957931
401.00000000	0.02839108
402.00000000	0.03126626
403.00000000	0.02850588
404.00000000	0.04664291
405.00000000	0.05048023
406.00000000	0.03495956
407.00000000	0.03037404
408.00000000	0.03397965
409.00000000	0.05877634
410.00000000	0.18508037
411.00000000	0.20932877
412.00000000	0.15497521
413.00000000	0.09813343
414.00000000	0.05817404
415.00000000	0.03613750
416.00000000	0.02661691
417.00000000	0.02574690
418.00000000	0.02543336
419.00000000	0.02553460
420.00000000	0.02900086
421.00000000	0.02719653
422.00000000	0.02480417
423.00000000	0.02908012
424.00000000	0.02297880
425.00000000	0.02817270
426.00000000	0.02792416
427.00000000	0.02648388
428.00000000	0.02928611
429.00000000	0.02717128
430.00000000	0.03114305
431.00000000	0.02418176
432.00000000	0.02899244
433.00000000	0.02905207
434.00000000	0.03322140
435.00000000	0.06443085
436.00000000	0.12128175
437.00000000	0.07176015
438.00000000	0.05823109
439.00000000	0.04763777
440.00000000	0.04539552
441.00000000	0.04603640
442.00000000	0.04878065
443.00000000	0.04817484
444.00000000	0.04644487
445.00000000	0.04825855
446.00000000	0.04838363
447.00000000	0.04212706
448.00000000	0.04639694
449.00000000	0.05880557
450.00000000	0.12485065
451.00000000	0.45855473
452.00000000	0.51165950
453.00000000	0.38286187
454.00000000	0.27834794
455.00000000	0.15584663
456.00000000	0.08658663
457.00000000	0.05001424
458.00000000	0.03705685
459.00000000	0.03077503
460.00000000	0.03027350
461.00000000	0.02878038
462.00000000	0.02662533
463.00000000	0.02262060
464.00000000	0.02374266
465.00000000	0.02581915
466.00000000	0.03219146
467.00000000	0.04031549
468.00000000	0.03728762
469.00000000	0.03310029
470.00000000	0.03037076
471.00000000	0.02452477
472.00000000	0.02297132
473.00000000	0.02261195
474.00000000	0.02198557
475.00000000	0.02521708
476.00000000	0.02392971
477.00000000	0.02059369
478.00000000	0.01965657
479.00000000	0.02136223
480.00000000	0.01925628
481.00000000	0.01746224
482.00000000	0.02041084
483.00000000	0.02140384
484.00000000	0.02112771
485.00000000	0.02016791
486.00000000	0.02154343
487.00000000	0.02099888
488.00000000	0.02067786
489.00000000	0.01884711
490.00000000	0.02236738
491.00000000	0.02218969
492.00000000	0.02453856
493.00000000	0.02233652
494.00000000	0.02145248
495.00000000	0.02084527
496.00000000	0.02651357
497.00000000	0.03979526
498.00000000	0.08561982
499.00000000	0.07453760
500.00000000	0.05226585
501.00000000	0.03892314
502.00000000	0.02669875
503.00000000	0.02387266
504.00000000	0.02418714
505.00000000	0.01935518
506.00000000	0.02074707
507.00000000	0.02051840
508.00000000	0.02294841
509.00000000	0.02238679
510.00000000	0.02329071
511.00000000	0.02430405
512.00000000	0.02486099
513.00000000	0.02358648
514.00000000	0.02308659
515.00000000	0.03792359
516.00000000	0.03360134
517.00000000	0.02798331
518.00000000	0.02745303
519.00000000	0.02747337
520.00000000	0.02840628
521.00000000	0.02922766
522.00000000	0.03005372
523.00000000	0.03019798
524.00000000	0.02891599
525.00000000	0.02769385
526.00000000	0.02628537
527.00000000	0.02666859
528.00000000	0.02965226
529.00000000	0.02907241
530.00000000	0.03033639
531.00000000	0.03629275
532.00000000	0.04389936
533.00000000	0.06538924
534.00000000	0.21765808
535.00000000	0.87691509
536.00000000	0.89428919
537.00000000	0.66628306
538.00000000	0.54507613
539.00000000	0.35689308
540.00000000	0.21895247
541.00000000	0.13808932
542.00000000	0.08052506
543.00000000	0.05085129
544.00000000	0.03614802
545.00000000	0.04338754
546.00000000	0.19397948
547.00000000	0.11675772
548.00000000	0.07646959
549.00000000	0.05592196
550.00000000	0.03452093
551.00000000	0.02828119
552.00000000	0.02854236
553.00000000	0.03473510
554.00000000	0.03020195
555.00000000	0.02877967
556.00000000	0.02651871
557.00000000	0.02397484
558.00000000	0.02775581
559.00000000	0.02479739
560.00000000	0.02549041
561.00000000	0.02377516
562.00000000	0.02527577
563.00000000	0.02577075
564.00000000	0.02596388
565.00000000	0.02929920
566.00000000	0.03746813
567.00000000	0.06055612
