#LICA Lamps Spectra Database
#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2017/12/15
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.1358	0.1320	0.0782
#xyY coordinates: 0.3924	0.3815	0.1320
#sRGB: 50	30	16
#CCT Lindbloom (K):	3723
#CCT McCamy (K):	3738
#CCT Hernández-Andrés (K):	3733
#Melatonin: 0.512
#Chlorophyll a: 0.132
#Chlorophyll b: 0.782
#Beta Carotene: 0.134
#Manufacturer: Unknown
#Luminance manufacturer: Unknown
#Other data:
#Begin Processed Spectral Data
W	S
300.00000000	0.01699801
301.00000000	0.00000000
302.00000000	0.00000000
303.00000000	0.00000000
304.00000000	0.00651200
305.00000000	0.00000000
306.00000000	0.00000000
307.00000000	0.00000000
308.00000000	0.00000000
309.00000000	0.00000000
310.00000000	0.00000000
311.00000000	0.00496864
312.00000000	0.00000000
313.00000000	0.00000000
314.00000000	0.00000000
315.00000000	0.00000000
316.00000000	0.00000000
317.00000000	0.00060532
318.00000000	0.02344685
319.00000000	0.00000000
320.00000000	0.00000000
321.00000000	0.00000000
322.00000000	0.00697736
323.00000000	0.00000000
324.00000000	0.00164569
325.00000000	0.00000000
326.00000000	0.00000000
327.00000000	0.00000000
328.00000000	0.00000000
329.00000000	0.00000000
330.00000000	0.00000000
331.00000000	0.00000000
332.00000000	0.00000000
333.00000000	0.00000000
334.00000000	0.00457528
335.00000000	0.00000000
336.00000000	0.00471701
337.00000000	0.00000000
338.00000000	0.00256832
339.00000000	0.00353971
340.00000000	0.00829462
341.00000000	0.00000000
342.00000000	0.00000000
343.00000000	0.00250289
344.00000000	0.00212797
345.00000000	0.00000000
346.00000000	0.00000000
347.00000000	0.00005760
348.00000000	0.00444416
349.00000000	0.00753696
350.00000000	0.01718976
351.00000000	0.05003172
352.00000000	0.12899506
353.00000000	0.14433349
354.00000000	0.08571030
355.00000000	0.05225140
356.00000000	0.03710447
357.00000000	0.02782608
358.00000000	0.02761285
359.00000000	0.02218189
360.00000000	0.02119231
361.00000000	0.02392029
362.00000000	0.01920733
363.00000000	0.02238501
364.00000000	0.04490240
365.00000000	0.07044085
366.00000000	0.07659688
367.00000000	0.03554948
368.00000000	0.02544118
369.00000000	0.02185018
370.00000000	0.02228370
371.00000000	0.02790389
372.00000000	0.02097453
373.00000000	0.02385814
374.00000000	0.02496015
375.00000000	0.03479789
376.00000000	0.06072211
377.00000000	0.10392754
378.00000000	0.13679224
379.00000000	0.12309823
380.00000000	0.08761241
381.00000000	0.05019214
382.00000000	0.02547503
383.00000000	0.01678933
384.00000000	0.01749015
385.00000000	0.01691590
386.00000000	0.01792569
387.00000000	0.01542634
388.00000000	0.01783752
389.00000000	0.01844512
390.00000000	0.02107533
391.00000000	0.01712407
392.00000000	0.02323135
393.00000000	0.02153589
394.00000000	0.02122237
395.00000000	0.02313509
396.00000000	0.02433462
397.00000000	0.02901828
398.00000000	0.02404030
399.00000000	0.02469463
400.00000000	0.01871190
401.00000000	0.02571125
402.00000000	0.02696408
403.00000000	0.02526761
404.00000000	0.04758517
405.00000000	0.05965370
406.00000000	0.04621334
407.00000000	0.03158685
408.00000000	0.03468723
409.00000000	0.06484289
410.00000000	0.17200748
411.00000000	0.24912379
412.00000000	0.21574320
413.00000000	0.15659756
414.00000000	0.08680978
415.00000000	0.04901182
416.00000000	0.03353697
417.00000000	0.02671296
418.00000000	0.02325434
419.00000000	0.02023455
420.00000000	0.02467316
421.00000000	0.02219503
422.00000000	0.02034875
423.00000000	0.02292793
424.00000000	0.02260784
425.00000000	0.02774296
426.00000000	0.02458473
427.00000000	0.02538433
