#LICA Lamps Spectra Database
#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2017/12/15
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.2287	0.2375	0.1281
#xyY coordinates: 0.3848	0.3997	0.2375
#sRGB: 80	58	25
#CCT Lindbloom (K):	4044
#CCT McCamy (K):	4045
#CCT Hernández-Andrés (K):	4024
#Melatonin: 0.527
#Chlorophyll a: 0.288
#Chlorophyll b: 0.578
#Beta Carotene: 0.290
#Manufacturer: Unknown
#Luminance manufacturer: Unknown
#Other data:
#Begin Processed Spectral Data
W	S
300.00000000	0.00000000
301.00000000	0.00000000
302.00000000	0.00000000
303.00000000	0.00000000
304.00000000	0.00466542
305.00000000	0.00000000
306.00000000	0.00000000
307.00000000	0.00000000
308.00000000	0.00000000
309.00000000	0.00000000
310.00000000	0.00000000
311.00000000	0.00000000
312.00000000	0.00833035
313.00000000	0.00000000
314.00000000	0.00000000
315.00000000	0.00000000
316.00000000	0.00000000
317.00000000	0.00000000
318.00000000	0.00087984
319.00000000	0.00000000
320.00000000	0.00140942
321.00000000	0.00121400
322.00000000	0.00000000
323.00000000	0.00000000
324.00000000	0.00000000
325.00000000	0.00000000
326.00000000	0.00000000
327.00000000	0.00000000
328.00000000	0.00000000
329.00000000	0.00000000
330.00000000	0.00000000
331.00000000	0.00859327
332.00000000	0.00000000
333.00000000	0.00000000
334.00000000	0.00030813
335.00000000	0.00000000
336.00000000	0.00016234
337.00000000	0.00000000
338.00000000	0.00000000
339.00000000	0.00000000
340.00000000	0.00342650
341.00000000	0.01604312
342.00000000	0.00027725
343.00000000	0.00000000
344.00000000	0.00000000
345.00000000	0.00000000
346.00000000	0.00000000
347.00000000	0.00107306
348.00000000	0.00000000
349.00000000	0.00000000
350.00000000	0.00605786
351.00000000	0.02174476
352.00000000	0.02833550
353.00000000	0.03705339
354.00000000	0.03263986
355.00000000	0.03655425
356.00000000	0.02974272
357.00000000	0.03039096
358.00000000	0.03268860
359.00000000	0.03148850
360.00000000	0.02849608
361.00000000	0.03115037
362.00000000	0.02731803
363.00000000	0.02946194
364.00000000	0.05254267
365.00000000	0.10202961
366.00000000	0.10094111
367.00000000	0.07194347
368.00000000	0.05122964
369.00000000	0.04723033
370.00000000	0.04777932
371.00000000	0.04568063
372.00000000	0.04097947
373.00000000	0.04052665
374.00000000	0.05003571
375.00000000	0.04859696
376.00000000	0.05526975
377.00000000	0.05837290
378.00000000	0.02601559
379.00000000	0.00933261
380.00000000	0.01012444
381.00000000	0.00883391
382.00000000	0.01293865
383.00000000	0.02208752
384.00000000	0.03332317
385.00000000	0.02723003
386.00000000	0.02299515
387.00000000	0.03333376
388.00000000	0.03140888
389.00000000	0.02973676
390.00000000	0.03126441
391.00000000	0.03371710
392.00000000	0.03804418
393.00000000	0.04252763
394.00000000	0.05007806
395.00000000	0.04915896
396.00000000	0.05156490
397.00000000	0.06389853
398.00000000	0.05681989
399.00000000	0.05728308
400.00000000	0.06084920
401.00000000	0.06000509
402.00000000	0.05901144
403.00000000	0.06707954
404.00000000	0.07337119
405.00000000	0.10532156
406.00000000	0.08754744
407.00000000	0.07562715
408.00000000	0.07922547
409.00000000	0.08363591
410.00000000	0.08354063
411.00000000	0.08540067
412.00000000	0.07108679
413.00000000	0.09401864
414.00000000	0.11272995
415.00000000	0.11033967
416.00000000	0.10652784
417.00000000	0.13834190
418.00000000	0.15715555
419.00000000	0.18940699
420.00000000	0.21669039
421.00000000	0.20688202
422.00000000	0.22898057
423.00000000	0.22694761
424.00000000	0.18591189
425.00000000	0.15818780
426.00000000	0.13809552
427.00000000	0.12402471
428.00000000	0.11724516
429.00000000	0.11655567
430.00000000	0.11360383
431.00000000	0.11648024
432.00000000	0.11508714
433.00000000	0.10624309
434.00000000	0.09972315
435.00000000	0.13644304
436.00000000	0.28398322
437.00000000	0.22424457
438.00000000	0.14810108
439.00000000	0.11079381
440.00000000	0.10137364
441.00000000	0.10298069
442.00000000	0.10406963
443.00000000	0.10088443
444.00000000	0.10330139
445.00000000	0.11252438
446.00000000	0.10269859
447.00000000	0.09474364
448.00000000	0.10011686
449.00000000	0.09793347
450.00000000	0.09934201
451.00000000	0.09022203
452.00000000	0.09191002
453.00000000	0.10139857
454.00000000	0.09452219
455.00000000	0.09313791
456.00000000	0.10858683
457.00000000	0.12541163
458.00000000	0.13004816
459.00000000	0.14381040
460.00000000	0.12704426
461.00000000	0.13447382
462.00000000	0.12283365
463.00000000	0.11177908
464.00000000	0.10306230
465.00000000	0.09824800
466.00000000	0.09442271
467.00000000	0.10571130
468.00000000	0.11227690
469.00000000	0.10652762
470.00000000	0.10266550
471.00000000	0.09742771
472.00000000	0.10775000
473.00000000	0.12575814
474.00000000	0.11684991
475.00000000	0.09500280
476.00000000	0.08443525
477.00000000	0.09853716
478.00000000	0.10757641
479.00000000	0.11601572
480.00000000	0.11361067
481.00000000	0.11528940
482.00000000	0.11765387
483.00000000	0.11514956
484.00000000	0.10785322
485.00000000	0.09561135
486.00000000	0.08920411
487.00000000	0.08483624
488.00000000	0.10684898
489.00000000	0.12068864
490.00000000	0.11478386
491.00000000	0.11237307
492.00000000	0.11697497
493.00000000	0.09807110
494.00000000	0.09705650
495.00000000	0.09001911
496.00000000	0.10103816
497.00000000	0.09842401
498.00000000	0.10768758
499.00000000	0.11813140
500.00000000	0.11339076
501.00000000	0.11361684
502.00000000	0.11407320
503.00000000	0.12007304
504.00000000	0.13531021
505.00000000	0.13764027
506.00000000	0.12509424
507.00000000	0.12218651
508.00000000	0.11605565
509.00000000	0.09973153
510.00000000	0.09516867
511.00000000	0.11245005
512.00000000	0.13698916
513.00000000	0.12962666
514.00000000	0.11874303
515.00000000	0.11734420
516.00000000	0.12379620
517.00000000	0.12298496
518.00000000	0.12258529
519.00000000	0.12533818
520.00000000	0.11629937
521.00000000	0.11107349
522.00000000	0.11470710
523.00000000	0.12173589
524.00000000	0.11484452
525.00000000	0.10599561
526.00000000	0.11887096
527.00000000	0.12076386
528.00000000	0.12449430
529.00000000	0.11394306
530.00000000	0.13081551
531.00000000	0.13944120
532.00000000	0.15541682
533.00000000	0.18291263
534.00000000	0.33412436
535.00000000	0.59116032
536.00000000	0.88102582
537.00000000	1.00000000
538.00000000	0.98549710
539.00000000	0.86068298
540.00000000	0.66458334
541.00000000	0.43745134
542.00000000	0.29762018
543.00000000	0.20206949
544.00000000	0.14153040
545.00000000	0.16228151
546.00000000	0.42980871
547.00000000	0.36556014
548.00000000	0.25938896
549.00000000	0.15295707
550.00000000	0.11268186
551.00000000	0.10162046
552.00000000	0.09387306
553.00000000	0.10271314
554.00000000	0.10325816
555.00000000	0.12059468
556.00000000	0.10900811
557.00000000	0.10831729
558.00000000	0.09536475
559.00000000	0.09100857
560.00000000	0.09673557
561.00000000	0.10235847
562.00000000	0.09750954
563.00000000	0.09859274
564.00000000	0.13258555
565.00000000	0.14290850
566.00000000	0.13655200
567.00000000	0.13799450
