#LICA Lamps Spectra Database
#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2017/12/15
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.1768	0.1751	0.1288
#xyY coordinates: 0.3678	0.3642	0.1751
#sRGB: 61	41	28
#CCT Lindbloom (K):	4280
#CCT McCamy (K):	4291
#CCT Hernández-Andrés (K):	4301
#Melatonin: 0.791
#Chlorophyll a: 0.183
#Chlorophyll b: 0.680
#Beta Carotene: 0.188
#Manufacturer: Unknown
#Luminance manufacturer: Unknown
#Other data:
#Begin Processed Spectral Data
W	S
300.00000000	0.00000000
301.00000000	0.00165746
302.00000000	0.00000000
303.00000000	0.00000000
304.00000000	0.00000000
305.00000000	0.00000000
306.00000000	0.00000000
307.00000000	0.00000000
308.00000000	0.00000000
309.00000000	0.00000000
310.00000000	0.00000000
311.00000000	0.00000000
312.00000000	0.00000000
313.00000000	0.00336010
314.00000000	0.00000000
315.00000000	0.00000000
316.00000000	0.00000000
317.00000000	0.00000000
318.00000000	0.00569339
319.00000000	0.00161997
320.00000000	0.00000000
321.00000000	0.00000000
322.00000000	0.00000000
323.00000000	0.00000000
324.00000000	0.00000000
325.00000000	0.00000000
326.00000000	0.00000000
327.00000000	0.00000000
328.00000000	0.00000000
329.00000000	0.00000000
330.00000000	0.00000000
331.00000000	0.00000000
332.00000000	0.00000000
333.00000000	0.00000000
334.00000000	0.00000000
335.00000000	0.00824197
336.00000000	0.00151778
337.00000000	0.00000000
338.00000000	0.00000000
339.00000000	0.00339022
340.00000000	0.00464476
341.00000000	0.00347197
342.00000000	0.00828208
343.00000000	0.00886909
344.00000000	0.01119762
345.00000000	0.01207798
346.00000000	0.00915922
347.00000000	0.01161898
348.00000000	0.01187145
349.00000000	0.01599159
350.00000000	0.01495403
351.00000000	0.01815831
352.00000000	0.01650346
353.00000000	0.02127300
354.00000000	0.02611753
355.00000000	0.03890008
356.00000000	0.04525394
357.00000000	0.07293427
358.00000000	0.08508294
359.00000000	0.07284207
360.00000000	0.05928519
361.00000000	0.07156494
362.00000000	0.08127721
363.00000000	0.10403218
364.00000000	0.14520271
365.00000000	0.19370641
366.00000000	0.17999233
367.00000000	0.10560098
368.00000000	0.07588408
369.00000000	0.06928236
370.00000000	0.06568008
371.00000000	0.06330714
372.00000000	0.06756282
373.00000000	0.06709889
374.00000000	0.05716166
375.00000000	0.06021949
376.00000000	0.06447133
377.00000000	0.06586694
378.00000000	0.05954443
379.00000000	0.06630243
380.00000000	0.07251568
381.00000000	0.06941083
382.00000000	0.06754084
383.00000000	0.08107145
384.00000000	0.08596515
385.00000000	0.06702652
386.00000000	0.05740030
387.00000000	0.07857772
388.00000000	0.08484015
389.00000000	0.08081252
390.00000000	0.12721543
391.00000000	0.22475760
392.00000000	0.21911646
393.00000000	0.16391653
394.00000000	0.12146795
395.00000000	0.10521650
396.00000000	0.09489141
397.00000000	0.08652343
398.00000000	0.07901030
399.00000000	0.09806757
400.00000000	0.11801687
401.00000000	0.15861299
402.00000000	0.26957759
403.00000000	0.31048718
404.00000000	0.27976822
405.00000000	0.25645789
406.00000000	0.22096708
407.00000000	0.15781668
408.00000000	0.18957889
409.00000000	0.19089429
410.00000000	0.15333819
411.00000000	0.10922984
412.00000000	0.09498576
413.00000000	0.12271096
414.00000000	0.15152199
415.00000000	0.16684344
416.00000000	0.18188398
417.00000000	0.16570506
418.00000000	0.12531763
419.00000000	0.08838373
420.00000000	0.08402402
421.00000000	0.10182505
422.00000000	0.11933934
423.00000000	0.14215901
424.00000000	0.18101499
425.00000000	0.18553851
426.00000000	0.15198007
427.00000000	0.10918374
428.00000000	0.10481097
429.00000000	0.11090267
430.00000000	0.10831122
431.00000000	0.14237322
432.00000000	0.18355711
433.00000000	0.16629838
434.00000000	0.12093994
435.00000000	0.16567326
436.00000000	0.26493666
437.00000000	0.25950835
438.00000000	0.17990059
439.00000000	0.13129346
440.00000000	0.11881841
441.00000000	0.12434430
442.00000000	0.11539131
443.00000000	0.10226884
444.00000000	0.08993162
445.00000000	0.08154981
446.00000000	0.08681708
447.00000000	0.07783920
448.00000000	0.07920853
449.00000000	0.09534181
450.00000000	0.10129997
451.00000000	0.09425876
452.00000000	0.08629723
453.00000000	0.07924434
454.00000000	0.08562124
455.00000000	0.08758435
456.00000000	0.09871773
457.00000000	0.10086985
458.00000000	0.09204855
459.00000000	0.08593365
460.00000000	0.07471236
461.00000000	0.07482608
462.00000000	0.05852223
463.00000000	0.04911269
464.00000000	0.04704801
465.00000000	0.04867382
466.00000000	0.06315824
467.00000000	0.08961322
468.00000000	0.09720288
469.00000000	0.09036251
470.00000000	0.08664882
471.00000000	0.11632791
472.00000000	0.14326250
473.00000000	0.26298554
474.00000000	0.39467071
475.00000000	0.36251480
476.00000000	0.23038830
477.00000000	0.11835556
478.00000000	0.10567627
479.00000000	0.09667610
480.00000000	0.07678104
481.00000000	0.06711534
482.00000000	0.07709990
483.00000000	0.11219409
484.00000000	0.13722735
485.00000000	0.12887888
486.00000000	0.10246154
487.00000000	0.08831243
488.00000000	0.08557683
489.00000000	0.07467733
490.00000000	0.06845778
491.00000000	0.07220097
492.00000000	0.07597644
493.00000000	0.07837534
494.00000000	0.08522463
495.00000000	0.08665389
496.00000000	0.08031479
497.00000000	0.07781353
498.00000000	0.11425263
499.00000000	0.13312703
500.00000000	0.11487160
501.00000000	0.08396839
502.00000000	0.09542709
503.00000000	0.10485999
504.00000000	0.10582180
505.00000000	0.09264156
506.00000000	0.12067948
507.00000000	0.21979383
508.00000000	0.43208667
509.00000000	0.56416430
510.00000000	0.47773692
511.00000000	0.30267333
512.00000000	0.18152332
513.00000000	0.09555464
514.00000000	0.06267864
515.00000000	0.06442185
516.00000000	0.07390884
517.00000000	0.06512749
518.00000000	0.05592156
519.00000000	0.04645455
520.00000000	0.05826130
