#LICA Lamps Spectra Database
#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2018/04/25
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.1794	0.1954	0.1649
#xyY coordinates: 0.3324	0.3621	0.1954
#sRGB: 51	51	37
#CCT Lindbloom (K):	5506
#CCT McCamy (K):	5506
#CCT Hernández-Andrés (K):	5490
#Melatonin: 0.808
#Chlorophyll a: 0.510
#Chlorophyll b: 0.805
#Beta Carotene: 0.513
#Manufacturer: Unknown
#Luminance manufacturer: Unknown
#Other data: New street lamp in Calle Ronda in Almería
#Begin Processed Spectral Data
W	S
300.00000000	0.00000572
301.00000000	0.00316636
302.00000000	0.00012528
303.00000000	0.00000000
304.00000000	0.00000000
305.00000000	0.00981514
306.00000000	0.00135212
307.00000000	0.00352303
308.00000000	0.00000003
309.00000000	0.00037694
310.00000000	0.00941155
311.00000000	0.00149583
312.00000000	0.00021264
313.00000000	0.00000000
314.00000000	0.00000000
315.00000000	0.00002790
316.00000000	0.00000000
317.00000000	0.00484294
318.00000000	0.01113992
319.00000000	0.00209968
320.00000000	0.00000000
321.00000000	0.01034460
322.00000000	0.00000000
323.00000000	0.00856520
324.00000000	0.00293531
325.00000000	0.00163649
326.00000000	0.00000000
327.00000000	0.00000000
328.00000000	0.00014372
329.00000000	0.00531089
330.00000000	0.00000000
331.00000000	0.00000000
332.00000000	0.00000000
333.00000000	0.00000000
334.00000000	0.00317521
335.00000000	0.00000000
336.00000000	0.00000000
337.00000000	0.00000000
338.00000000	0.00000000
339.00000000	0.00276187
340.00000000	0.00070014
341.00000000	0.00000048
342.00000000	0.00896963
343.00000000	0.00000000
344.00000000	0.00044274
345.00000000	0.00000000
346.00000000	0.00725401
347.00000000	0.00413924
348.00000000	0.00092901
349.00000000	0.00037814
350.00000000	0.01259794
351.00000000	0.00850453
352.00000000	0.01196564
353.00000000	0.02634087
354.00000000	0.04709531
355.00000000	0.03274102
356.00000000	0.03105074
357.00000000	0.01980276
358.00000000	0.02270156
359.00000000	0.02715593
360.00000000	0.02394861
361.00000000	0.02623499
362.00000000	0.02855668
363.00000000	0.03474409
364.00000000	0.03836736
365.00000000	0.04518631
366.00000000	0.06738334
367.00000000	0.06477893
368.00000000	0.05481659
369.00000000	0.04834279
370.00000000	0.04907876
371.00000000	0.05196014
372.00000000	0.05573413
373.00000000	0.05137583
374.00000000	0.06016405
375.00000000	0.06142288
376.00000000	0.06026397
377.00000000	0.06850395
378.00000000	0.06518466
379.00000000	0.05648977
380.00000000	0.04694782
381.00000000	0.03968420
382.00000000	0.03413091
383.00000000	0.03158269
384.00000000	0.04360270
385.00000000	0.04420074
386.00000000	0.04192860
387.00000000	0.04973574
388.00000000	0.05532811
389.00000000	0.05223355
390.00000000	0.05311804
391.00000000	0.05605265
392.00000000	0.05804352
393.00000000	0.05938128
394.00000000	0.06941985
395.00000000	0.08053563
396.00000000	0.06980843
397.00000000	0.08475530
398.00000000	0.08766867
399.00000000	0.08600225
400.00000000	0.08581499
401.00000000	0.09309720
402.00000000	0.09220572
403.00000000	0.09984352
404.00000000	0.10578972
405.00000000	0.11969076
406.00000000	0.13247056
407.00000000	0.10793561
408.00000000	0.11303419
409.00000000	0.12412225
410.00000000	0.12083377
411.00000000	0.13408074
412.00000000	0.12082542
413.00000000	0.12033769
414.00000000	0.15992026
415.00000000	0.17235613
416.00000000	0.16474148
417.00000000	0.17652976
418.00000000	0.20961437
419.00000000	0.23974609
420.00000000	0.29310250
