#LICA Lamps Spectra Database
#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2018/01/15
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.0967	0.1012	0.0984
#xyY coordinates: 0.3264	0.3415	0.1012
#sRGB: 28	26	23
#CCT Lindbloom (K):	5772
#CCT McCamy (K):	5769
#CCT Hernández-Andrés (K):	5767
#Melatonin: 0.834
#Chlorophyll a: 0.231
#Chlorophyll b: 1.090
#Beta Carotene: 0.234
#Manufacturer: Unknown
#Luminance manufacturer: Unknown
#Other data: Madrid streetlamp at Facultad de Físicas
#Begin Processed Spectral Data
W	S
300.00000000	0.00000000
301.00000000	0.00000000
302.00000000	0.00000000
303.00000000	0.00000492
304.00000000	0.00000000
305.00000000	0.00000000
306.00000000	0.00000000
307.00000000	0.00000000
308.00000000	0.00000000
309.00000000	0.00000000
310.00000000	0.00000000
311.00000000	0.00000000
312.00000000	0.00000000
313.00000000	0.00000000
314.00000000	0.00000000
315.00000000	0.00000000
316.00000000	0.00000000
317.00000000	0.00551230
318.00000000	0.00000000
319.00000000	0.00000000
320.00000000	0.00000000
321.00000000	0.00000000
322.00000000	0.00000000
323.00000000	0.00026295
324.00000000	0.00000000
325.00000000	0.00000000
326.00000000	0.00000000
327.00000000	0.00000000
328.00000000	0.00000000
329.00000000	0.00000000
330.00000000	0.00000000
331.00000000	0.00000000
332.00000000	0.00062964
333.00000000	0.00000000
334.00000000	0.00398026
335.00000000	0.00000000
336.00000000	0.00009849
337.00000000	0.00166168
338.00000000	0.00040304
339.00000000	0.00271162
340.00000000	0.00311579
341.00000000	0.00380586
342.00000000	0.00242634
343.00000000	0.00236673
344.00000000	0.00819354
345.00000000	0.00377595
346.00000000	0.00621520
347.00000000	0.00315173
348.00000000	0.00850492
349.00000000	0.01181617
350.00000000	0.02489329
351.00000000	0.05973289
352.00000000	0.16605432
353.00000000	0.18102415
354.00000000	0.10265212
355.00000000	0.04931216
356.00000000	0.03638677
357.00000000	0.03266390
358.00000000	0.03217094
359.00000000	0.03350523
360.00000000	0.03329712
361.00000000	0.03313501
362.00000000	0.03330391
363.00000000	0.03494638
364.00000000	0.06530356
365.00000000	0.17487496
366.00000000	0.17375516
367.00000000	0.08940951
368.00000000	0.04291955
369.00000000	0.03594909
370.00000000	0.03598733
371.00000000	0.04095692
372.00000000	0.03753808
373.00000000	0.03807826
374.00000000	0.04328225
375.00000000	0.04266044
376.00000000	0.06067901
377.00000000	0.12468985
378.00000000	0.23265481
379.00000000	0.21945219
380.00000000	0.14483013
381.00000000	0.08168932
382.00000000	0.05172769
383.00000000	0.04310786
384.00000000	0.03887366
385.00000000	0.04057068
386.00000000	0.03949897
387.00000000	0.03924408
388.00000000	0.04306002
389.00000000	0.03991757
390.00000000	0.04012478
391.00000000	0.04439152
392.00000000	0.04201940
393.00000000	0.04168934
394.00000000	0.04266612
395.00000000	0.04641132
396.00000000	0.04772259
397.00000000	0.04645494
398.00000000	0.04854331
399.00000000	0.04744794
400.00000000	0.04707336
401.00000000	0.05057285
402.00000000	0.04844311
403.00000000	0.05118542
404.00000000	0.08472279
405.00000000	0.12898520
406.00000000	0.08888528
407.00000000	0.04900530
408.00000000	0.05734513
409.00000000	0.07870446
410.00000000	0.23466608
411.00000000	0.34654182
412.00000000	0.26103173
413.00000000	0.15316572
414.00000000	0.09652689
415.00000000	0.06099161
416.00000000	0.04540429
417.00000000	0.04369272
418.00000000	0.04302558
419.00000000	0.04363003
420.00000000	0.04320044
421.00000000	0.04327417
422.00000000	0.04277182
423.00000000	0.04813169
424.00000000	0.04600200
425.00000000	0.04770774
426.00000000	0.04519039
427.00000000	0.05125660
428.00000000	0.05168370
429.00000000	0.05186962
430.00000000	0.05247391
431.00000000	0.05579231
432.00000000	0.05615660
433.00000000	0.05628305
434.00000000	0.06680696
435.00000000	0.11566530
436.00000000	0.24734216
437.00000000	0.20670755
438.00000000	0.12380051
439.00000000	0.09642871
440.00000000	0.09809710
441.00000000	0.10316679
442.00000000	0.10813127
443.00000000	0.11158471
444.00000000	0.11300229
445.00000000	0.10578874
446.00000000	0.08954070
447.00000000	0.07024984
448.00000000	0.06288563
449.00000000	0.05991034
450.00000000	0.10095311
451.00000000	0.45960371
452.00000000	0.69034305
453.00000000	0.53766243
454.00000000	0.32549321
455.00000000	0.19254083
456.00000000	0.10122711
457.00000000	0.05377129
458.00000000	0.03681728
459.00000000	0.03116310
460.00000000	0.02711589
461.00000000	0.02650769
462.00000000	0.02515752
463.00000000	0.02324908
464.00000000	0.02353351
465.00000000	0.02431072
466.00000000	0.02126550
467.00000000	0.02394559
468.00000000	0.02465768
469.00000000	0.02345292
470.00000000	0.02338226
471.00000000	0.02324794
472.00000000	0.02261642
473.00000000	0.02206781
474.00000000	0.02118109
475.00000000	0.02104859
476.00000000	0.02098154
477.00000000	0.02112258
478.00000000	0.02051920
479.00000000	0.01950092
480.00000000	0.02044215
481.00000000	0.01952376
482.00000000	0.02079101
483.00000000	0.01956381
484.00000000	0.01936592
485.00000000	0.02046787
486.00000000	0.02131468
487.00000000	0.02137152
488.00000000	0.02027301
489.00000000	0.02142926
490.00000000	0.02126019
491.00000000	0.02262753
492.00000000	0.02219253
493.00000000	0.02198156
494.00000000	0.02149280
495.00000000	0.02052475
496.00000000	0.02269432
497.00000000	0.02328547
498.00000000	0.02983073
499.00000000	0.03126360
500.00000000	0.02772533
501.00000000	0.02318834
502.00000000	0.02134071
503.00000000	0.02061881
504.00000000	0.02109005
505.00000000	0.02187170
506.00000000	0.02139634
507.00000000	0.02088948
508.00000000	0.01974829
509.00000000	0.02105261
510.00000000	0.02075579
511.00000000	0.02265419
512.00000000	0.02325482
513.00000000	0.02098851
514.00000000	0.02171219
515.00000000	0.02323175
516.00000000	0.02428930
517.00000000	0.02490696
518.00000000	0.02427393
519.00000000	0.02386809
520.00000000	0.02615032
521.00000000	0.02748884
522.00000000	0.02825267
523.00000000	0.02899606
524.00000000	0.02735725
525.00000000	0.02626087
526.00000000	0.02462840
527.00000000	0.02327702
528.00000000	0.02357498
529.00000000	0.02500491
530.00000000	0.02650293
531.00000000	0.02807551
532.00000000	0.03370700
533.00000000	0.04578551
534.00000000	0.11368698
535.00000000	0.74651841
536.00000000	1.00000000
537.00000000	0.76079412
538.00000000	0.49266708
539.00000000	0.31020492
540.00000000	0.20255962
541.00000000	0.12133076
542.00000000	0.06708107
543.00000000	0.04254073
544.00000000	0.03256629
545.00000000	0.04298697
546.00000000	0.27515431
547.00000000	0.25243118
548.00000000	0.16028175
549.00000000	0.06624604
550.00000000	0.03304392
551.00000000	0.02600155
552.00000000	0.02460323
553.00000000	0.02658097
554.00000000	0.02681168
555.00000000	0.02446525
556.00000000	0.02263058
557.00000000	0.02146660
558.00000000	0.02166079
559.00000000	0.02124276
560.00000000	0.02072844
561.00000000	0.02122731
562.00000000	0.02066295
563.00000000	0.01972589
564.00000000	0.02071538
565.00000000	0.02096637
566.00000000	0.02266167
