#LICA Lamps Spectra Database
#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2017/12/17
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.4779	0.4939	0.5188
#xyY coordinates: 0.3206	0.3314	0.4939
#sRGB: 135	124	121
#CCT Lindbloom (K):	6075
#CCT McCamy (K):	6076
#CCT Hernández-Andrés (K):	6078
#Melatonin: 1.039
#Chlorophyll a: 0.482
#Chlorophyll b: 0.957
#Beta Carotene: 0.488
#Manufacturer: Unknown
#Luminance manufacturer: Unknown
#Other data: Madrid, Picasso Tower facade illumination
#Begin Processed Spectral Data
W	S
300.00000000	0.00000000
301.00000000	0.00291554
302.00000000	0.00000000
303.00000000	0.00006646
304.00000000	0.00000000
305.00000000	0.00070293
306.00000000	0.00587395
307.00000000	0.00024409
308.00000000	0.00000000
309.00000000	0.00623400
310.00000000	0.00489826
311.00000000	0.00414284
312.00000000	0.00007318
313.00000000	0.00000000
314.00000000	0.00120731
315.00000000	0.00000000
316.00000000	0.00003351
317.00000000	0.00000000
318.00000000	0.00007184
319.00000000	0.00450821
320.00000000	0.00100814
321.00000000	0.00376520
322.00000000	0.00000000
323.00000000	0.00000000
324.00000000	0.00000000
325.00000000	0.00562939
326.00000000	0.00892181
327.00000000	0.00000000
328.00000000	0.00000000
329.00000000	0.00904111
330.00000000	0.00194587
331.00000000	0.00000000
332.00000000	0.00000000
333.00000000	0.00078466
334.00000000	0.00341137
335.00000000	0.00000000
336.00000000	0.00012711
337.00000000	0.00084457
338.00000000	0.00347434
339.00000000	0.00546600
340.00000000	0.00097380
341.00000000	0.00462103
342.00000000	0.00000000
343.00000000	0.00071869
344.00000000	0.00521885
345.00000000	0.00890103
346.00000000	0.00424489
347.00000000	0.00488002
348.00000000	0.00562430
349.00000000	0.00000000
350.00000000	0.00000000
351.00000000	0.00000000
352.00000000	0.00000000
353.00000000	0.00016049
354.00000000	0.00766022
355.00000000	0.00008445
356.00000000	0.00122859
357.00000000	0.00202331
358.00000000	0.01064579
359.00000000	0.00270537
360.00000000	0.00841711
361.00000000	0.01526851
362.00000000	0.01845612
363.00000000	0.02694478
364.00000000	0.04509578
