#LICA Lamps Spectra Database
#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2017/12/17
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.0565	0.0595	0.0428
#xyY coordinates: 0.3556	0.3749	0.0595
#sRGB: 18	15	9
#CCT Lindbloom (K):	4717
#CCT McCamy (K):	4723
#CCT Hernández-Andrés (K):	4713
#Melatonin: 0.607
#Chlorophyll a: 0.045
#Chlorophyll b: 0.551
#Beta Carotene: 0.048
#Manufacturer: Unknown
#Luminance manufacturer: Unknown
#Other data: Los Navalmorales streetlamp
#Begin Processed Spectral Data
W	S
300.00000000	0.00245208
301.00000000	0.00000000
302.00000000	0.00789930
303.00000000	0.00000000
304.00000000	0.00009310
305.00000000	0.00000000
306.00000000	0.00139066
307.00000000	0.00000000
308.00000000	0.00000000
309.00000000	0.00000000
310.00000000	0.00190171
311.00000000	0.00310981
312.00000000	0.00895377
313.00000000	0.02625302
314.00000000	0.00000000
315.00000000	0.00000000
316.00000000	0.00000000
317.00000000	0.00000000
318.00000000	0.00000000
319.00000000	0.00197683
320.00000000	0.00031105
321.00000000	0.00000000
322.00000000	0.00031872
323.00000000	0.00001461
324.00000000	0.00030534
325.00000000	0.00000000
326.00000000	0.00000000
327.00000000	0.00000000
328.00000000	0.00000000
329.00000000	0.00741284
330.00000000	0.00000000
331.00000000	0.00927515
332.00000000	0.00000000
333.00000000	0.00317537
334.00000000	0.00000000
335.00000000	0.00996028
336.00000000	0.00007194
337.00000000	0.00003721
338.00000000	0.00099654
339.00000000	0.00586982
340.00000000	0.00000000
341.00000000	0.00851309
342.00000000	0.00680465
343.00000000	0.00780064
344.00000000	0.00000000
345.00000000	0.01243890
346.00000000	0.00399376
347.00000000	0.01061465
348.00000000	0.00730492
349.00000000	0.00399663
350.00000000	0.01095187
351.00000000	0.00063935
352.00000000	0.00220707
353.00000000	0.00251970
354.00000000	0.01406458
355.00000000	0.00920769
356.00000000	0.00973654
357.00000000	0.00854036
358.00000000	0.00205461
359.00000000	0.01142200
360.00000000	0.01301256
361.00000000	0.01497922
362.00000000	0.00843151
363.00000000	0.03782049
364.00000000	0.25821735
365.00000000	0.92992075
366.00000000	1.00000000
367.00000000	0.49956364
368.00000000	0.14642962
369.00000000	0.04092937
370.00000000	0.02891480
371.00000000	0.01335188
372.00000000	0.01055267
373.00000000	0.00824108
374.00000000	0.01365605
375.00000000	0.00522333
376.00000000	0.00588000
377.00000000	0.00195860
378.00000000	0.00269831
379.00000000	0.00350684
380.00000000	0.00263081
381.00000000	0.00650994
382.00000000	0.00513520
383.00000000	0.00423531
384.00000000	0.00003295
385.00000000	0.00447748
386.00000000	0.00330510
387.00000000	0.00356825
388.00000000	0.00520320
389.00000000	0.00037154
390.00000000	0.00847985
391.00000000	0.00963579
392.00000000	0.01257235
393.00000000	0.00872347
394.00000000	0.00407226
395.00000000	0.00442575
396.00000000	0.00258741
397.00000000	0.00062405
398.00000000	0.00377933
399.00000000	0.00500448
400.00000000	0.00233796
401.00000000	0.00262028
402.00000000	0.00545648
403.00000000	0.01679132
404.00000000	0.15888225
405.00000000	0.40974675
406.00000000	0.27551030
407.00000000	0.10976482
408.00000000	0.08980412
409.00000000	0.05659463
410.00000000	0.02236709
411.00000000	0.01184199
412.00000000	0.00798588
413.00000000	0.00263321
414.00000000	0.00540327
415.00000000	0.00489778
416.00000000	0.00668776
417.00000000	0.00688670
418.00000000	0.00329146
419.00000000	0.00628945
420.00000000	0.00271828
421.00000000	0.00763575
422.00000000	0.00405941
423.00000000	0.00756545
424.00000000	0.00706703
425.00000000	0.00648458
426.00000000	0.00602604
427.00000000	0.00661167
428.00000000	0.01393773
429.00000000	0.01093595
430.00000000	0.00959517
431.00000000	0.00946379
432.00000000	0.01063019
433.00000000	0.02265391
434.00000000	0.05083220
435.00000000	0.22274273
436.00000000	0.75092574
437.00000000	0.66143586
438.00000000	0.29115864
439.00000000	0.10048581
440.00000000	0.04015424
441.00000000	0.02107766
442.00000000	0.01456759
443.00000000	0.01171506
444.00000000	0.00983876
445.00000000	0.00952742
446.00000000	0.00563484
447.00000000	0.00400576
448.00000000	0.00850575
449.00000000	0.00474625
450.00000000	0.00545110
451.00000000	0.00249665
452.00000000	0.00799707
453.00000000	0.00504139
454.00000000	0.00199773
455.00000000	0.00353252
456.00000000	0.00241865
457.00000000	0.00692542
458.00000000	0.00368122
459.00000000	0.00323386
460.00000000	0.00457173
461.00000000	0.00327034
462.00000000	0.00199616
463.00000000	0.00036172
464.00000000	0.00061486
465.00000000	0.00177779
466.00000000	0.00187373
467.00000000	0.00030117
468.00000000	0.00001346
469.00000000	0.00570025
470.00000000	0.00341243
471.00000000	0.00572161
472.00000000	0.00274500
473.00000000	0.00451987
474.00000000	0.00314243
475.00000000	0.00480391
476.00000000	0.00407385
477.00000000	0.00404712
478.00000000	0.00575570
479.00000000	0.00070044
480.00000000	0.00534136
481.00000000	0.00422161
482.00000000	0.00301779
483.00000000	0.00244913
484.00000000	0.00444691
485.00000000	0.00353594
486.00000000	0.00578034
487.00000000	0.00508478
488.00000000	0.00564335
489.00000000	0.00664462
490.00000000	0.00602191
491.00000000	0.00954577
492.00000000	0.01356398
493.00000000	0.01197098
494.00000000	0.00681156
495.00000000	0.00424099
496.00000000	0.00465210
497.00000000	0.00554358
498.00000000	0.00575859
499.00000000	0.00350376
500.00000000	0.00354952
501.00000000	0.00433524
502.00000000	0.00358637
503.00000000	0.00327342
504.00000000	0.00324230
505.00000000	0.00288067
506.00000000	0.00342622
507.00000000	0.00185581
508.00000000	0.00215773
509.00000000	0.00199043
510.00000000	0.00313430
511.00000000	0.00267753
512.00000000	0.00266418
513.00000000	0.00205583
514.00000000	0.00374653
515.00000000	0.00219823
516.00000000	0.00349220
517.00000000	0.00402813
518.00000000	0.00509845
519.00000000	0.00276223
520.00000000	0.00272817
521.00000000	0.00176893
522.00000000	0.00240073
523.00000000	0.00372455
524.00000000	0.00397993
525.00000000	0.00237272
526.00000000	0.00222178
527.00000000	0.00265145
528.00000000	0.00438135
529.00000000	0.00403811
530.00000000	0.00321426
531.00000000	0.00346233
532.00000000	0.00430679
533.00000000	0.00574423
534.00000000	0.00435789
535.00000000	0.00579281
536.00000000	0.00727278
537.00000000	0.00737552
538.00000000	0.00942827
539.00000000	0.01107181
540.00000000	0.01197716
541.00000000	0.01145314
542.00000000	0.00996617
543.00000000	0.01230630
544.00000000	0.01394787
545.00000000	0.05017371
546.00000000	0.65949874
547.00000000	0.95698831
548.00000000	0.55058292
549.00000000	0.30671511
550.00000000	0.13332563
551.00000000	0.05534884
552.00000000	0.02991351
553.00000000	0.02107819
554.00000000	0.01430663
555.00000000	0.01121780
556.00000000	0.00965641
557.00000000	0.00928942
558.00000000	0.00856930
559.00000000	0.00704441
560.00000000	0.00787468
561.00000000	0.00581482
562.00000000	0.00672980
563.00000000	0.00738912
564.00000000	0.00534634
565.00000000	0.00425678
566.00000000	0.00534299
567.00000000	0.00600820
568.00000000	0.00628912
569.00000000	0.00763984
570.00000000	0.00641973
571.00000000	0.00757901
572.00000000	0.00725492
573.00000000	0.00981290
574.00000000	0.01383175
575.00000000	0.02167037
576.00000000	0.08295313
577.00000000	0.35545838
578.00000000	0.40382877
579.00000000	0.50049943
580.00000000	0.49012629
581.00000000	0.28041303
582.00000000	0.15457817
583.00000000	0.07530247
584.00000000	0.03210712
585.00000000	0.02003032
586.00000000	0.01574404
587.00000000	0.01276129
588.00000000	0.01324917
589.00000000	0.01282583
590.00000000	0.01157806
591.00000000	0.01459161
592.00000000	0.01601817
593.00000000	0.02459067
594.00000000	0.03309752
595.00000000	0.03780579
596.00000000	0.03221156
597.00000000	0.02442558
598.00000000	0.01674360
599.00000000	0.01144039
600.00000000	0.00789636
601.00000000	0.00904617
602.00000000	0.00661832
603.00000000	0.00699205
604.00000000	0.00587259
605.00000000	0.00517686
606.00000000	0.00449455
607.00000000	0.00873598
608.00000000	0.00913429
609.00000000	0.01186745
610.00000000	0.01640454
611.00000000	0.01664537
