#LICA Lamps Spectra Database
#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2017/12/17
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.0788	0.0456	0.0128
#xyY coordinates: 0.5743	0.3322	0.0456
#sRGB: 46	2	2
#CCT Lindbloom (K):	0
#CCT McCamy (K):	1848
#CCT Hernández-Andrés (K):	281
#Melatonin: 0.215
#Chlorophyll a: 0.078
#Chlorophyll b: 0.458
#Beta Carotene: 0.077
#Manufacturer: Unknown
#Luminance manufacturer: Unknown
#Other data:
#Begin Processed Spectral Data
W	S
300.00000000	0.00000000
301.00000000	0.00353831
302.00000000	0.00000000
303.00000000	0.00000000
304.00000000	0.00000000
305.00000000	0.00000000
306.00000000	0.00036961
307.00000000	0.00000000
308.00000000	0.00000000
309.00000000	0.00000000
310.00000000	0.00136101
311.00000000	0.00000000
312.00000000	0.00000000
313.00000000	0.00076542
314.00000000	0.00090065
315.00000000	0.00000000
316.00000000	0.00000000
317.00000000	0.00000000
318.00000000	0.00000000
319.00000000	0.00000000
320.00000000	0.00000000
321.00000000	0.00000000
322.00000000	0.00000000
323.00000000	0.00000000
324.00000000	0.00000000
325.00000000	0.00000000
326.00000000	0.00000000
327.00000000	0.00000296
328.00000000	0.00749168
329.00000000	0.00123305
330.00000000	0.00029975
331.00000000	0.00145068
332.00000000	0.00000000
333.00000000	0.00000000
334.00000000	0.00049029
335.00000000	0.00000000
336.00000000	0.00000000
337.00000000	0.00000000
338.00000000	0.00000000
339.00000000	0.00000000
340.00000000	0.00000000
341.00000000	0.00000000
342.00000000	0.00132488
343.00000000	0.00000000
344.00000000	0.00000000
345.00000000	0.00000000
346.00000000	0.00002531
347.00000000	0.00000000
348.00000000	0.00000000
349.00000000	0.00000000
350.00000000	0.00464188
351.00000000	0.00000000
352.00000000	0.00165688
353.00000000	0.00000000
354.00000000	0.00000000
355.00000000	0.00000000
356.00000000	0.00000000
357.00000000	0.00000000
358.00000000	0.00000000
359.00000000	0.00000000
360.00000000	0.00318042
361.00000000	0.00000000
362.00000000	0.00001832
363.00000000	0.00012139
364.00000000	0.00294420
365.00000000	0.00754993
366.00000000	0.00652795
367.00000000	0.00353287
368.00000000	0.00000000
369.00000000	0.00048443
370.00000000	0.00000000
371.00000000	0.00000000
372.00000000	0.00000000
373.00000000	0.00000000
374.00000000	0.00000000
375.00000000	0.00000000
376.00000000	0.00000000
377.00000000	0.00000000
378.00000000	0.00016496
379.00000000	0.00010729
380.00000000	0.00000020
381.00000000	0.00000000
382.00000000	0.00000000
383.00000000	0.00024468
384.00000000	0.00000000
385.00000000	0.00000000
386.00000000	0.00000000
387.00000000	0.00000000
388.00000000	0.00000000
389.00000000	0.00000000
390.00000000	0.00000000
391.00000000	0.00000000
392.00000000	0.00000000
393.00000000	0.00000000
394.00000000	0.00001466
395.00000000	0.00027349
396.00000000	0.00007399
397.00000000	0.00000382
398.00000000	0.00087401
399.00000000	0.00000000
400.00000000	0.00000000
401.00000000	0.00064890
402.00000000	0.00045553
403.00000000	0.00068066
404.00000000	0.03473128
405.00000000	0.11301445
406.00000000	0.05100647
407.00000000	0.01227391
408.00000000	0.00454463
409.00000000	0.00164785
410.00000000	0.00000000
411.00000000	0.00022382
412.00000000	0.00000147
413.00000000	0.00000000
414.00000000	0.00000000
415.00000000	0.00011555
416.00000000	0.00000069
417.00000000	0.00000744
418.00000000	0.00000000
419.00000000	0.00033079
420.00000000	0.00000085
421.00000000	0.00002128
422.00000000	0.00023268
423.00000000	0.00000000
424.00000000	0.00000000
425.00000000	0.00149483
426.00000000	0.00053388
427.00000000	0.00000000
428.00000000	0.00000000
429.00000000	0.00041494
430.00000000	0.00078672
431.00000000	0.00006190
432.00000000	0.00063334
433.00000000	0.00075433
434.00000000	0.00290065
435.00000000	0.07432169
436.00000000	0.34909369
437.00000000	0.20947218
438.00000000	0.08162303
439.00000000	0.00990805
440.00000000	0.00068956
441.00000000	0.00038522
442.00000000	0.00020944
443.00000000	0.00000000
444.00000000	0.00000000
445.00000000	0.00000000
446.00000000	0.00002249
447.00000000	0.00028461
448.00000000	0.00038544
449.00000000	0.00007539
450.00000000	0.00063255
451.00000000	0.00000000
452.00000000	0.00000000
453.00000000	0.00000000
454.00000000	0.00154127
455.00000000	0.00018501
456.00000000	0.00000000
457.00000000	0.00001357
458.00000000	0.00000000
459.00000000	0.00045497
460.00000000	0.00169696
461.00000000	0.00000000
462.00000000	0.00026533
463.00000000	0.00092143
464.00000000	0.00027172
465.00000000	0.00080016
466.00000000	0.00000000
467.00000000	0.00196879
468.00000000	0.00050183
469.00000000	0.00028021
470.00000000	0.00000000
471.00000000	0.00126906
472.00000000	0.00000000
473.00000000	0.00000000
474.00000000	0.00030858
475.00000000	0.00000000
476.00000000	0.00000000
477.00000000	0.00066250
478.00000000	0.00000000
479.00000000	0.00084366
480.00000000	0.00007499
481.00000000	0.00005557
482.00000000	0.00000000
483.00000000	0.00032740
484.00000000	0.00000000
485.00000000	0.00010879
486.00000000	0.00000000
487.00000000	0.00021485
488.00000000	0.00000000
489.00000000	0.00000000
490.00000000	0.00000000
491.00000000	0.00086431
492.00000000	0.00174775
493.00000000	0.00074848
494.00000000	0.00009798
495.00000000	0.00105661
496.00000000	0.00000000
497.00000000	0.00000000
498.00000000	0.00035393
499.00000000	0.00024855
500.00000000	0.00000000
501.00000000	0.00006475
502.00000000	0.00000000
503.00000000	0.00010888
504.00000000	0.00000000
505.00000000	0.00000000
506.00000000	0.00000000
507.00000000	0.00007061
508.00000000	0.00001244
509.00000000	0.00006663
510.00000000	0.00043021
511.00000000	0.00000075
512.00000000	0.00000000
513.00000000	0.00000000
514.00000000	0.00000000
515.00000000	0.00000000
516.00000000	0.00000000
517.00000000	0.00011038
518.00000000	0.00000081
519.00000000	0.00001261
520.00000000	0.00023013
521.00000000	0.00000124
522.00000000	0.00115697
523.00000000	0.00014557
524.00000000	0.00000000
525.00000000	0.00001300
526.00000000	0.00000000
527.00000000	0.00057387
528.00000000	0.00053759
529.00000000	0.00007745
530.00000000	0.00070262
531.00000000	0.00070164
532.00000000	0.00093747
533.00000000	0.00124066
534.00000000	0.00152328
535.00000000	0.00116579
536.00000000	0.00152319
537.00000000	0.00491611
538.00000000	0.00855678
539.00000000	0.01071064
540.00000000	0.00546170
541.00000000	0.00472163
542.00000000	0.00402363
543.00000000	0.00335407
544.00000000	0.00489691
545.00000000	0.01601886
546.00000000	0.26846837
547.00000000	0.22715495
548.00000000	0.11952830
549.00000000	0.06452902
550.00000000	0.01522572
551.00000000	0.00608238
552.00000000	0.00399431
553.00000000	0.00475586
554.00000000	0.00474390
555.00000000	0.00547531
556.00000000	0.00600920
557.00000000	0.00552904
558.00000000	0.00543290
559.00000000	0.00634631
560.00000000	0.00569277
561.00000000	0.00679209
562.00000000	0.00664373
563.00000000	0.00796557
564.00000000	0.00633066
565.00000000	0.00632460
566.00000000	0.00757255
567.00000000	0.00758092
568.00000000	0.00641396
569.00000000	0.00735968
570.00000000	0.00748371
571.00000000	0.00725439
572.00000000	0.00753522
573.00000000	0.00894148
574.00000000	0.00975714
575.00000000	0.01029004
576.00000000	0.01062720
577.00000000	0.05350942
578.00000000	0.04018017
579.00000000	0.06341113
580.00000000	0.05050077
581.00000000	0.02802462
582.00000000	0.02335619
583.00000000	0.01490454
584.00000000	0.01380516
585.00000000	0.01639041
586.00000000	0.02145665
587.00000000	0.02455349
588.00000000	0.02721525
589.00000000	0.02604612
590.00000000	0.02489998
591.00000000	0.02606948
592.00000000	0.02558686
593.00000000	0.06119830
594.00000000	0.13213690
595.00000000	0.19007214
596.00000000	0.11757620
597.00000000	0.08360121
598.00000000	0.05121031
599.00000000	0.03376210
600.00000000	0.02867578
601.00000000	0.02384693
602.00000000	0.02352465
603.00000000	0.02461569
604.00000000	0.02621798
605.00000000	0.02774897
606.00000000	0.03105408
607.00000000	0.03163248
608.00000000	0.03972006
609.00000000	0.07664790
610.00000000	0.11051295
611.00000000	0.09847113
612.00000000	0.09473409
613.00000000	0.10386346
614.00000000	0.14857673
615.00000000	0.48307470
616.00000000	0.69108195
617.00000000	0.40950529
618.00000000	0.38537804
619.00000000	0.85107435
620.00000000	1.00000000
621.00000000	0.59800454
622.00000000	0.42376880
623.00000000	0.23339722
624.00000000	0.12572560
625.00000000	0.09278527
626.00000000	0.08011272
627.00000000	0.07083776
628.00000000	0.06110602
629.00000000	0.05448437
630.00000000	0.05132866
631.00000000	0.04439893
632.00000000	0.03600181
633.00000000	0.03435768
634.00000000	0.02985100
635.00000000	0.02751409
636.00000000	0.02548103
637.00000000	0.02483744
638.00000000	0.02311398
639.00000000	0.02003742
640.00000000	0.01895338
641.00000000	0.02025980
642.00000000	0.01732644
643.00000000	0.01721342
644.00000000	0.01852828
645.00000000	0.01857541
646.00000000	0.01844667
647.00000000	0.01878812
648.00000000	0.02754405
649.00000000	0.03422281
650.00000000	0.03364409
651.00000000	0.03398989
652.00000000	0.03958485
653.00000000	0.04092384
654.00000000	0.03642110
655.00000000	0.03240601
656.00000000	0.02457112
657.00000000	0.02078279
658.00000000	0.01850333
659.00000000	0.01417645
660.00000000	0.01366031
661.00000000	0.01302606
662.00000000	0.01148020
663.00000000	0.01213876
664.00000000	0.01041392
665.00000000	0.01008852
666.00000000	0.01097209
667.00000000	0.00951947
668.00000000	0.01096049
669.00000000	0.00852752
670.00000000	0.01075505
671.00000000	0.00821002
672.00000000	0.00762173
673.00000000	0.00720207
674.00000000	0.00667227
675.00000000	0.00900858
676.00000000	0.00561415
677.00000000	0.00830870
678.00000000	0.00511756
679.00000000	0.00390714
680.00000000	0.00546087
681.00000000	0.00515068
682.00000000	0.00416253
683.00000000	0.00490796
684.00000000	0.00591754
685.00000000	0.00545018
686.00000000	0.00264935
687.00000000	0.00505356
688.00000000	0.00682710
689.00000000	0.00756677
690.00000000	0.00903620
691.00000000	0.01198654
692.00000000	0.01166678
693.00000000	0.01358056
694.00000000	0.01409985
695.00000000	0.01769814
696.00000000	0.02284784
697.00000000	0.05122887
698.00000000	0.19405117
699.00000000	0.33339504
700.00000000	0.22446502
701.00000000	0.15871199
702.00000000	0.09947313
703.00000000	0.07823140
704.00000000	0.15105825
705.00000000	0.19650240
706.00000000	0.14435478
707.00000000	0.10104725
708.00000000	0.06049278
709.00000000	0.03039455
710.00000000	0.01465577
711.00000000	0.00962962
712.00000000	0.00758003
713.00000000	0.00622010
714.00000000	0.00344670
715.00000000	0.00452075
716.00000000	0.00154177
717.00000000	0.00579358
718.00000000	0.00194053
719.00000000	0.00479462
720.00000000	0.00137680
721.00000000	0.00182039
722.00000000	0.00235406
723.00000000	0.00070667
724.00000000	0.00000000
725.00000000	0.00211939
726.00000000	0.00079171
727.00000000	0.00143602
728.00000000	0.00000000
729.00000000	0.00131820
730.00000000	0.00003101
731.00000000	0.00053816
732.00000000	0.00000146
733.00000000	0.00178795
734.00000000	0.00395767
735.00000000	0.00000000
736.00000000	0.00002671
737.00000000	0.00000000
738.00000000	0.00424450
739.00000000	0.00271146
740.00000000	0.00024914
741.00000000	0.00154625
742.00000000	0.00040025
743.00000000	0.00000000
744.00000000	0.00000000
745.00000000	0.00113853
746.00000000	0.00000000
747.00000000	0.00002379
748.00000000	0.00000000
749.00000000	0.00000107
750.00000000	0.00284470
751.00000000	0.00543246
752.00000000	0.00686650
753.00000000	0.00387429
754.00000000	0.00072302
755.00000000	0.00183737
756.00000000	0.00066329
757.00000000	0.00000000
758.00000000	0.00149025
759.00000000	0.00249893
760.00000000	0.00000000
761.00000000	0.00012121
762.00000000	0.00367613
763.00000000	0.00521127
764.00000000	0.02623030
765.00000000	0.00664105
766.00000000	0.00920134
767.00000000	0.00135915
768.00000000	0.00100361
769.00000000	0.00009381
770.00000000	0.00003321
