#LICA Lamps Spectra Database
#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2017/006/28
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.4247	0.5979	0.0164
#xyY coordinates: 0.4088	0.5755	0.5979
#sRGB: 115	181	0
#CCT Lindbloom (K):	4349
#CCT McCamy (K):	4309
#CCT Hernández-Andrés (K):	4209
#Melatonin: 0.127
#Chlorophyll a: 0.091
#Chlorophyll b: 0.156
#Beta Carotene: 0.093
#Family and genus: Lampyridae
#Other data: Founded inside Áger (Catalonia - Spain).
#Begin Processed Spectral Data
#W	S
475.000000	0.000000
476.000000	0.002292
477.000000	0.025290
478.000000	0.015088
479.000000	0.000000
480.000000	0.000000
481.000000	0.000000
482.000000	0.000076
483.000000	0.008216
484.000000	0.025164
485.000000	0.009041
486.000000	0.031094
487.000000	0.007114
488.000000	0.000014
489.000000	0.007374
490.000000	0.008444
491.000000	0.018050
492.000000	0.024312
493.000000	0.026403
494.000000	0.014581
495.000000	0.040988
496.000000	0.021559
497.000000	0.029010
498.000000	0.039812
499.000000	0.036056
500.000000	0.048721
501.000000	0.048366
502.000000	0.054373
503.000000	0.062641
504.000000	0.066367
505.000000	0.088597
506.000000	0.106120
507.000000	0.113203
508.000000	0.127365
509.000000	0.146074
510.000000	0.168791
511.000000	0.180952
512.000000	0.204678
513.000000	0.226619
514.000000	0.265814
515.000000	0.280881
516.000000	0.307932
517.000000	0.371304
518.000000	0.394686
519.000000	0.392852
520.000000	0.440780
521.000000	0.476858
522.000000	0.514858
523.000000	0.563890
524.000000	0.599758
525.000000	0.649721
526.000000	0.681624
527.000000	0.727011
528.000000	0.782500
529.000000	0.818054
530.000000	0.854428
531.000000	0.894042
532.000000	0.939683
533.000000	0.996769
534.000000	1.016252
535.000000	1.094364
536.000000	1.088655
537.000000	1.109272
538.000000	1.136661
539.000000	1.202212
540.000000	1.213748
541.000000	1.253154
542.000000	1.252291
543.000000	1.258080
544.000000	1.276682
545.000000	1.306035
546.000000	1.327524
547.000000	1.302164
548.000000	1.333049
549.000000	1.312449
550.000000	1.328173
551.000000	1.332321
552.000000	1.308570
553.000000	1.303052
554.000000	1.324861
555.000000	1.307288
556.000000	1.296976
557.000000	1.302992
558.000000	1.281861
559.000000	1.266221
560.000000	1.260948
561.000000	1.257789
562.000000	1.232550
563.000000	1.222219
564.000000	1.199233
565.000000	1.180956
566.000000	1.176172
567.000000	1.151056
568.000000	1.132773
569.000000	1.145128
570.000000	1.102086
