#LICA Lamps Spectra Database
#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2018/04/28
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.0970	0.0843	0.0199
#xyY coordinates: 0.4820	0.4191	0.0843
#sRGB: 45	17	2
#CCT Lindbloom (K):	2478
#CCT McCamy (K):	2471
#CCT Hernández-Andrés (K):	2342
#Melatonin: 0.239
#Chlorophyll a: 0.073
#Chlorophyll b: 0.318
#Beta Carotene: 0.072
#Manufacturer: Westinghouse
#Luminance manufacturer: Unknown
#Other data: Micro Candle. CFL+difusser.
#Begin Processed Spectral Data
#W	S
475.000000	0.003570
476.000000	0.008617
477.000000	0.008176
478.000000	0.007784
479.000000	0.013707
480.000000	0.023616
481.000000	0.034006
482.000000	0.060997
483.000000	0.110656
484.000000	0.181531
485.000000	0.270673
486.000000	0.393651
487.000000	0.490122
488.000000	0.513555
489.000000	0.478610
490.000000	0.414043
491.000000	0.362903
492.000000	0.333245
493.000000	0.296435
494.000000	0.264622
495.000000	0.229009
496.000000	0.199757
497.000000	0.179307
498.000000	0.155087
499.000000	0.130111
500.000000	0.110779
501.000000	0.090257
502.000000	0.071079
503.000000	0.057207
504.000000	0.041873
505.000000	0.035346
506.000000	0.024635
507.000000	0.022321
508.000000	0.018514
509.000000	0.017735
510.000000	0.017294
511.000000	0.014835
512.000000	0.012069
513.000000	0.013676
514.000000	0.011024
515.000000	0.011089
516.000000	0.009647
517.000000	0.009714
518.000000	0.007777
519.000000	0.006252
520.000000	0.008447
521.000000	0.006354
522.000000	0.006928
523.000000	0.004885
524.000000	0.006264
525.000000	0.005470
526.000000	0.007405
527.000000	0.009125
528.000000	0.012173
529.000000	0.012462
530.000000	0.013910
531.000000	0.017145
532.000000	0.021131
533.000000	0.056656
534.000000	0.091407
535.000000	0.081914
536.000000	0.093850
537.000000	0.149478
538.000000	0.267645
539.000000	0.387946
540.000000	0.665445
541.000000	1.346006
542.000000	2.205685
543.000000	2.181510
544.000000	2.088944
545.000000	2.164945
546.000000	3.591320
547.000000	3.284887
548.000000	2.304481
549.000000	1.713250
550.000000	1.171645
551.000000	0.857787
552.000000	0.637717
553.000000	0.474766
554.000000	0.350967
555.000000	0.251695
556.000000	0.184058
557.000000	0.136500
558.000000	0.106474
559.000000	0.086144
560.000000	0.069222
561.000000	0.061818
562.000000	0.055567
563.000000	0.053668
564.000000	0.049257
565.000000	0.045890
566.000000	0.036805
567.000000	0.037535
568.000000	0.036986
569.000000	0.037036
570.000000	0.034077
571.000000	0.025503
572.000000	0.022070
573.000000	0.023112
574.000000	0.022804
575.000000	0.029166
576.000000	0.087092
577.000000	0.422770
578.000000	0.348036
579.000000	0.541006
580.000000	0.550289
581.000000	0.492920
582.000000	0.461917
583.000000	0.520019
584.000000	0.533421
585.000000	0.518740
586.000000	0.508747
587.000000	0.762377
588.000000	0.843492
589.000000	0.573386
590.000000	0.456215
591.000000	0.403541
592.000000	0.477195
593.000000	0.736153
594.000000	0.709653
595.000000	0.508765
596.000000	0.396426
597.000000	0.325277
598.000000	0.325139
599.000000	0.453376
600.000000	0.534838
601.000000	0.447154
602.000000	0.337683
603.000000	0.255890
604.000000	0.225890
605.000000	0.228818
606.000000	0.250988
607.000000	0.312901
608.000000	0.433457
609.000000	0.723623
610.000000	1.839321
611.000000	5.920719
612.000000	6.845940
613.000000	4.925925
614.000000	3.962286
615.000000	2.927579
616.000000	1.886085
617.000000	1.231445
618.000000	0.840253
619.000000	0.605975
620.000000	0.514888
621.000000	0.501332
622.000000	0.487101
623.000000	0.540081
624.000000	0.583753
625.000000	0.620789
626.000000	0.641693
627.000000	0.641432
628.000000	0.631630
629.000000	0.616646
630.000000	0.764737
631.000000	1.086835
632.000000	0.873761
633.000000	0.546169
634.000000	0.363541
635.000000	0.224225
636.000000	0.154374
637.000000	0.120992
638.000000	0.104457
639.000000	0.093353
640.000000	0.085439
641.000000	0.085139
642.000000	0.081861
643.000000	0.083783
644.000000	0.086893
645.000000	0.085778
646.000000	0.087449
647.000000	0.087334
648.000000	0.087182
649.000000	0.109205
650.000000	0.237098
651.000000	0.292336
652.000000	0.219899
653.000000	0.214868
654.000000	0.171153
655.000000	0.127762
656.000000	0.105975
657.000000	0.103078
658.000000	0.108372
659.000000	0.092135
660.000000	0.072159
661.000000	0.078473
662.000000	0.154405
663.000000	0.185690
664.000000	0.136554
665.000000	0.109618
666.000000	0.084050
667.000000	0.072861
668.000000	0.066582
669.000000	0.060910
670.000000	0.056649
671.000000	0.054277
672.000000	0.052532
673.000000	0.043953
674.000000	0.042909
675.000000	0.040250
676.000000	0.042294
677.000000	0.036710
678.000000	0.042070
679.000000	0.046840
680.000000	0.053235
681.000000	0.055656
682.000000	0.050384
683.000000	0.044438
684.000000	0.049164
685.000000	0.050124
686.000000	0.073679
687.000000	0.153048
688.000000	0.186358
689.000000	0.139677
690.000000	0.086205
691.000000	0.059523
692.000000	0.041345
693.000000	0.104458
694.000000	0.124435
695.000000	0.074164
696.000000	0.065420
697.000000	0.051468
698.000000	0.021188
699.000000	0.014040
700.000000	0.016481
701.000000	0.019927
702.000000	0.022925
703.000000	0.036662
704.000000	0.070642
705.000000	0.117573
706.000000	0.285301
707.000000	0.461564
708.000000	0.466375
709.000000	0.597815
710.000000	0.413603
711.000000	0.334869
712.000000	0.485984
713.000000	0.392585
714.000000	0.211372
715.000000	0.128216
716.000000	0.065994
717.000000	0.022099
718.000000	0.007340
719.000000	0.008793
720.000000	0.007344
721.000000	0.006064
722.000000	0.003574
723.000000	0.004996
724.000000	0.004492
725.000000	0.003799
