#LICA Lamps Spectra Database
#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2017/12/14
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.0955	0.0853	0.0224
#xyY coordinates: 0.4698	0.4199	0.0853
#sRGB: 43	17	3
#CCT Lindbloom (K):	2634
#CCT McCamy (K):	2634
#CCT Hernández-Andrés (K):	2531
#Melatonin: 0.272
#Chlorophyll a: 0.059
#Chlorophyll b: 0.327
#Beta Carotene: 0.058
#Manufacturer: Unknown
#Luminance manufacturer: Unknown
#Other data:
#Begin Processed Spectral Data
W	S
475.000000	0.000875
476.000000	0.009861
477.000000	0.010452
478.000000	0.010315
479.000000	0.021416
480.000000	0.028665
481.000000	0.040758
482.000000	0.070534
483.000000	0.132518
484.000000	0.215048
485.000000	0.319248
486.000000	0.444543
487.000000	0.535730
488.000000	0.542386
489.000000	0.489972
490.000000	0.418384
491.000000	0.383080
492.000000	0.352680
493.000000	0.313153
494.000000	0.263564
495.000000	0.232180
496.000000	0.206180
497.000000	0.180972
498.000000	0.159900
499.000000	0.136621
500.000000	0.112530
501.000000	0.090366
502.000000	0.070902
503.000000	0.053076
504.000000	0.045644
505.000000	0.033063
506.000000	0.024750
507.000000	0.023337
508.000000	0.016411
509.000000	0.016308
510.000000	0.017188
511.000000	0.014649
512.000000	0.011456
513.000000	0.012321
514.000000	0.015082
515.000000	0.007156
516.000000	0.006049
517.000000	0.007906
518.000000	0.009176
519.000000	0.008383
520.000000	0.004825
521.000000	0.007294
522.000000	0.005048
523.000000	0.008066
524.000000	0.004440
525.000000	0.005829
526.000000	0.003763
527.000000	0.008624
528.000000	0.009800
529.000000	0.012276
530.000000	0.014048
531.000000	0.018433
532.000000	0.025656
533.000000	0.072471
534.000000	0.102300
535.000000	0.090504
536.000000	0.109991
537.000000	0.183002
538.000000	0.299781
539.000000	0.433888
540.000000	0.721167
541.000000	1.468794
542.000000	2.343975
543.000000	2.273965
544.000000	2.110628
545.000000	2.165325
546.000000	4.275339
547.000000	3.819101
548.000000	2.450762
549.000000	1.684771
550.000000	1.135632
551.000000	0.838651
552.000000	0.611367
553.000000	0.462601
554.000000	0.349044
555.000000	0.246629
556.000000	0.183442
557.000000	0.141984
558.000000	0.108168
559.000000	0.086742
560.000000	0.070831
561.000000	0.061247
562.000000	0.053595
563.000000	0.052419
564.000000	0.049934
565.000000	0.045797
566.000000	0.036153
567.000000	0.045199
568.000000	0.038639
569.000000	0.042718
570.000000	0.032261
571.000000	0.024893
572.000000	0.020460
573.000000	0.019888
574.000000	0.025422
575.000000	0.032592
576.000000	0.093090
577.000000	0.514022
578.000000	0.417035
579.000000	0.642339
580.000000	0.649077
581.000000	0.523162
582.000000	0.474018
583.000000	0.518539
584.000000	0.535183
585.000000	0.530974
586.000000	0.511594
587.000000	0.744252
588.000000	0.840691
589.000000	0.568313
590.000000	0.438997
591.000000	0.402815
592.000000	0.471766
593.000000	0.719601
594.000000	0.712492
595.000000	0.491519
596.000000	0.386596
597.000000	0.325111
598.000000	0.319044
599.000000	0.454280
600.000000	0.527466
601.000000	0.445369
602.000000	0.334217
603.000000	0.245383
604.000000	0.229215
605.000000	0.236579
606.000000	0.263479
607.000000	0.329684
608.000000	0.451595
609.000000	0.747882
610.000000	1.705676
611.000000	5.298483
