#LICA Lamps Spectra Database
#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2018/04/28
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.1083	0.0963	0.0372
#xyY coordinates: 0.4478	0.3983	0.0963
#sRGB: 47	20	7
#CCT Lindbloom (K):	2776
#CCT McCamy (K):	2776
#CCT Hernández-Andrés (K):	2708
#Melatonin: 0.343
#Chlorophyll a: 0.087
#Chlorophyll b: 0.387
#Beta Carotene: 0.086
#Manufacturer: Philips
#Luminance manufacturer: 1220 lm
#Other data: Master PL Electronics PLE-R 20W/827. 2700K. 60 lm/W.
#Begin Processed Spectral Data
W	S
475.000000	0.010352
476.000000	0.008965
477.000000	0.008153
478.000000	0.011678
479.000000	0.016009
480.000000	0.029810
481.000000	0.042536
482.000000	0.072786
483.000000	0.123774
484.000000	0.200168
485.000000	0.298313
486.000000	0.421652
487.000000	0.503878
488.000000	0.513043
489.000000	0.482665
490.000000	0.417060
491.000000	0.373402
492.000000	0.365338
493.000000	0.312887
494.000000	0.273159
495.000000	0.239594
496.000000	0.215105
497.000000	0.187873
498.000000	0.163594
499.000000	0.139682
500.000000	0.116125
501.000000	0.094754
502.000000	0.074537
503.000000	0.058858
504.000000	0.043928
505.000000	0.035578
506.000000	0.028624
507.000000	0.021241
508.000000	0.018404
509.000000	0.019287
510.000000	0.017594
511.000000	0.014377
512.000000	0.013897
513.000000	0.014532
514.000000	0.012172
515.000000	0.011089
516.000000	0.008864
517.000000	0.007683
518.000000	0.005965
519.000000	0.005971
520.000000	0.008234
521.000000	0.006354
522.000000	0.004203
523.000000	0.004189
524.000000	0.002667
525.000000	0.004838
526.000000	0.006594
527.000000	0.008936
528.000000	0.012336
529.000000	0.012804
530.000000	0.015698
531.000000	0.017799
532.000000	0.027663
533.000000	0.071313
534.000000	0.114879
535.000000	0.100091
536.000000	0.114908
537.000000	0.177110
538.000000	0.306992
539.000000	0.430137
540.000000	0.724814
541.000000	1.466597
542.000000	2.333446
543.000000	2.267840
544.000000	2.172141
545.000000	2.263769
546.000000	3.983066
