#LICA Lamps Spectra Database
#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2017/12/15
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.3125	0.2715	0.0970
#xyY coordinates: 0.4589	0.3987	0.2715
#sRGB: 139	54	16
#CCT Lindbloom (K):	2620
#CCT McCamy (K):	2611
#CCT Hernández-Andrés (K):	2521
#Melatonin: 0.353
#Chlorophyll a: 0.380
#Chlorophyll b: 0.526
#Beta Carotene: 0.381
#Manufacturer: Unknown
#Luminance manufacturer: Unknown
#Other data:
#Begin Processed Spectral Data
W	S
475.000000	0.164976
476.000000	0.145887
477.000000	0.135585
478.000000	0.132467
479.000000	0.129106
480.000000	0.127331
481.000000	0.123832
482.000000	0.120325
483.000000	0.121180
484.000000	0.122394
485.000000	0.123374
486.000000	0.118730
487.000000	0.121977
488.000000	0.125744
489.000000	0.137278
490.000000	0.136249
491.000000	0.133885
492.000000	0.138010
493.000000	0.143213
494.000000	0.157436
495.000000	0.153311
496.000000	0.160130
497.000000	0.171977
498.000000	0.212271
499.000000	0.243893
500.000000	0.239506
501.000000	0.212188
502.000000	0.181725
503.000000	0.170197
504.000000	0.164829
505.000000	0.166626
506.000000	0.163277
507.000000	0.162485
508.000000	0.159191
509.000000	0.148910
510.000000	0.139616
511.000000	0.140848
512.000000	0.144906
513.000000	0.153329
514.000000	0.151463
515.000000	0.158600
516.000000	0.173880
517.000000	0.174751
518.000000	0.176830
519.000000	0.180407
520.000000	0.175357
521.000000	0.176548
522.000000	0.186013
523.000000	0.193666
524.000000	0.189794
525.000000	0.176987
526.000000	0.166547
527.000000	0.158717
528.000000	0.161520
529.000000	0.160415
530.000000	0.184101
531.000000	0.227318
532.000000	0.235575
533.000000	0.267301
534.000000	0.406638
535.000000	0.721759
536.000000	0.997936
537.000000	1.362600
538.000000	1.471412
539.000000	1.472619
540.000000	1.249966
541.000000	0.958114
542.000000	0.629493
543.000000	0.422184
544.000000	0.298830
545.000000	0.270514
546.000000	0.508115
547.000000	0.632194
548.000000	0.517663
549.000000	0.367520
550.000000	0.244409
551.000000	0.208516
552.000000	0.199708
553.000000	0.201791
554.000000	0.202139
555.000000	0.210348
556.000000	0.208356
557.000000	0.206388
558.000000	0.197240
559.000000	0.195961
560.000000	0.196739
561.000000	0.190780
562.000000	0.203274
563.000000	0.232406
564.000000	0.264134
565.000000	0.278273
566.000000	0.309073
567.000000	0.372359
568.000000	0.484773
569.000000	0.685129
570.000000	0.800822
571.000000	0.702575
572.000000	0.569927
573.000000	0.415353
574.000000	0.346356
575.000000	0.319140
576.000000	0.335274
577.000000	0.383615
578.000000	0.395679
579.000000	0.413858
580.000000	0.401916
581.000000	0.409542
582.000000	0.416777
583.000000	0.445140
584.000000	0.499815
585.000000	0.595980
586.000000	0.751923
587.000000	0.951575
588.000000	1.003646
589.000000	0.712263
590.000000	0.442410
591.000000	0.298808
592.000000	0.344175
593.000000	0.519006
594.000000	0.699527
595.000000	0.863069
596.000000	0.979502
597.000000	1.091369
598.000000	1.136391
599.000000	1.196573
600.000000	1.222618
601.000000	1.218692
602.000000	1.226976
603.000000	1.194423
604.000000	1.177811
605.000000	1.121691
606.000000	1.092549
607.000000	1.053162
608.000000	1.022602
609.000000	0.991243
610.000000	0.948856
611.000000	0.905486
612.000000	0.865497
613.000000	0.830103
614.000000	0.798274
615.000000	0.791447
616.000000	0.831574
617.000000	0.850326
618.000000	0.805483
619.000000	0.756506
620.000000	0.705516
621.000000	0.663440
622.000000	0.639067
623.000000	0.622292
624.000000	0.595242
625.000000	0.588290
626.000000	0.595667
627.000000	0.578011
628.000000	0.563663
629.000000	0.546696
630.000000	0.522256
631.000000	0.521003
632.000000	0.502152
633.000000	0.495579
634.000000	0.485063
635.000000	0.471711
636.000000	0.466854
637.000000	0.475935
638.000000	0.461893
639.000000	0.454400
640.000000	0.459044
641.000000	0.440752
642.000000	0.443804
643.000000	0.444792
644.000000	0.429066
645.000000	0.426534
646.000000	0.427309
647.000000	0.421619
648.000000	0.428573
649.000000	0.411628
650.000000	0.396658
651.000000	0.391934
652.000000	0.381880
653.000000	0.369977
654.000000	0.382816
655.000000	0.395398
656.000000	0.435390
657.000000	0.424764
658.000000	0.435582
659.000000	0.418071
660.000000	0.414618
661.000000	0.423040
662.000000	0.387639
663.000000	0.374520
664.000000	0.358443
665.000000	0.348989
666.000000	0.349864
667.000000	0.356720
668.000000	0.372283
669.000000	0.371701
670.000000	0.388349
671.000000	0.407506
672.000000	0.397698
673.000000	0.412111
674.000000	0.411722
675.000000	0.385448
676.000000	0.368524
677.000000	0.366196
678.000000	0.351184
679.000000	0.343763
680.000000	0.330945
681.000000	0.302561
682.000000	0.291588
683.000000	0.283064
684.000000	0.284519
685.000000	0.269711
686.000000	0.255444
687.000000	0.244716
688.000000	0.219994
689.000000	0.197253
690.000000	0.190195
691.000000	0.182030
692.000000	0.183720
693.000000	0.172335
694.000000	0.174327
695.000000	0.173273
696.000000	0.168463
697.000000	0.165597
698.000000	0.166625
699.000000	0.158700
700.000000	0.152339
701.000000	0.153697
702.000000	0.146340
703.000000	0.149656
704.000000	0.145440
705.000000	0.143571
706.000000	0.133590
707.000000	0.136955
708.000000	0.137007
709.000000	0.135624
710.000000	0.131892
711.000000	0.130130
712.000000	0.123213
713.000000	0.134023
714.000000	0.130224
715.000000	0.132809
716.000000	0.128589
717.000000	0.127382
718.000000	0.129123
719.000000	0.124445
720.000000	0.119793
721.000000	0.123442
722.000000	0.132419
723.000000	0.118165
724.000000	0.123820
725.000000	0.124862
