#LICA Lamps Spectra Database
#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2017/12/15
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.3812	0.3366	0.1179
#xyY coordinates: 0.4561	0.4028	0.3366
#sRGB: 168	68	20
#CCT Lindbloom (K):	2691
#CCT McCamy (K):	2686
#CCT Hernández-Andrés (K):	2604
#Melatonin: 0.344
#Chlorophyll a: 0.464
#Chlorophyll b: 0.539
#Beta Carotene: 0.465
#Manufacturer: Unknown
#Luminance manufacturer: Unknown
#Other data:
#Begin Processed Spectral Data
W	S
475.000000	0.162304
476.000000	0.161210
477.000000	0.146371
478.000000	0.148095
479.000000	0.141076
480.000000	0.135381
481.000000	0.128903
482.000000	0.132689
483.000000	0.133166
484.000000	0.129066
485.000000	0.124001
486.000000	0.132297
487.000000	0.132749
488.000000	0.138373
489.000000	0.135939
490.000000	0.138369
491.000000	0.137010
492.000000	0.147432
493.000000	0.153988
494.000000	0.173001
495.000000	0.164153
496.000000	0.173032
497.000000	0.194532
498.000000	0.245979
499.000000	0.280725
500.000000	0.264054
501.000000	0.229236
502.000000	0.210976
503.000000	0.193552
504.000000	0.197557
505.000000	0.185228
506.000000	0.171428
507.000000	0.166780
508.000000	0.164905
509.000000	0.160278
510.000000	0.152455
511.000000	0.153821
512.000000	0.159478
513.000000	0.168279
514.000000	0.163589
515.000000	0.189586
516.000000	0.202290
517.000000	0.196314
518.000000	0.205634
519.000000	0.207543
520.000000	0.199824
521.000000	0.196867
522.000000	0.213685
523.000000	0.215942
524.000000	0.211658
525.000000	0.188973
526.000000	0.183447
527.000000	0.179981
528.000000	0.177963
529.000000	0.179003
530.000000	0.200303
531.000000	0.212266
532.000000	0.243325
533.000000	0.318270
534.000000	0.569707
535.000000	0.651617
536.000000	0.718885
537.000000	1.023785
538.000000	1.099297
539.000000	1.138966
540.000000	1.040070
541.000000	0.808311
542.000000	0.569889
543.000000	0.421542
544.000000	0.322523
545.000000	0.300721
546.000000	0.578352
547.000000	0.503595
548.000000	0.396382
549.000000	0.330204
550.000000	0.266775
551.000000	0.240195
552.000000	0.239675
553.000000	0.246362
554.000000	0.250664
555.000000	0.257476
556.000000	0.257625
557.000000	0.252687
558.000000	0.253872
559.000000	0.270814
560.000000	0.272683
561.000000	0.266729
562.000000	0.273106
563.000000	0.274558
564.000000	0.293743
565.000000	0.320920
566.000000	0.377978
567.000000	0.473103
568.000000	0.591104
569.000000	0.879989
570.000000	0.876244
571.000000	0.732887
572.000000	0.604419
573.000000	0.488980
574.000000	0.418446
575.000000	0.382314
576.000000	0.389733
577.000000	0.419732
578.000000	0.419400
579.000000	0.450241
580.000000	0.450070
581.000000	0.466756
582.000000	0.497417
583.000000	0.533602
584.000000	0.614441
585.000000	0.720540
586.000000	0.854596
587.000000	0.883596
588.000000	0.672818
589.000000	0.377325
590.000000	0.228183
591.000000	0.179301
592.000000	0.197035
593.000000	0.276339
594.000000	0.373770
595.000000	0.462153
596.000000	0.563383
597.000000	0.655267
598.000000	0.734565
599.000000	0.785611
600.000000	0.844337
601.000000	0.874802
602.000000	0.906919
603.000000	0.933190
604.000000	0.938977
605.000000	0.936494
606.000000	0.931619
607.000000	0.915615
608.000000	0.903988
609.000000	0.883391
610.000000	0.875121
611.000000	0.847598
612.000000	0.836434
613.000000	0.832725
614.000000	0.829597
615.000000	0.830583
616.000000	0.904827
617.000000	0.879158
618.000000	0.829019
619.000000	0.794300
620.000000	0.765365
621.000000	0.721319
622.000000	0.704652
623.000000	0.688999
624.000000	0.675523
625.000000	0.672852
626.000000	0.675356
627.000000	0.651281
628.000000	0.650968
629.000000	0.635018
630.000000	0.633760
631.000000	0.627121
632.000000	0.607491
633.000000	0.583771
634.000000	0.581335
635.000000	0.573887
636.000000	0.571513
637.000000	0.566678
638.000000	0.568043
639.000000	0.551267
640.000000	0.547311
641.000000	0.539532
642.000000	0.522107
643.000000	0.517342
644.000000	0.511617
645.000000	0.499210
646.000000	0.504607
647.000000	0.512773
648.000000	0.495375
649.000000	0.488126
650.000000	0.458280
651.000000	0.442678
652.000000	0.440312
653.000000	0.432065
654.000000	0.441238
655.000000	0.458239
656.000000	0.483960
657.000000	0.469306
658.000000	0.472014
659.000000	0.443520
660.000000	0.455064
661.000000	0.455809
662.000000	0.410424
663.000000	0.425373
664.000000	0.396844
665.000000	0.374035
666.000000	0.379385
667.000000	0.391687
668.000000	0.400128
669.000000	0.407573
670.000000	0.437777
671.000000	0.442347
672.000000	0.444038
673.000000	0.436473
674.000000	0.424840
675.000000	0.423857
676.000000	0.395062
677.000000	0.384441
678.000000	0.367054
679.000000	0.355201
680.000000	0.332079
681.000000	0.321779
682.000000	0.296522
683.000000	0.303976
684.000000	0.278231
685.000000	0.266352
686.000000	0.246610
687.000000	0.240611
688.000000	0.219280
689.000000	0.218483
690.000000	0.220338
691.000000	0.210338
692.000000	0.204100
693.000000	0.198180
694.000000	0.199013
695.000000	0.194662
696.000000	0.193048
697.000000	0.182305
698.000000	0.178121
699.000000	0.178243
700.000000	0.174563
701.000000	0.175336
702.000000	0.179193
703.000000	0.170542
704.000000	0.162876
705.000000	0.163049
706.000000	0.161082
707.000000	0.163376
708.000000	0.153774
709.000000	0.158623
710.000000	0.153104
711.000000	0.153524
712.000000	0.157639
713.000000	0.152676
714.000000	0.149259
715.000000	0.158058
716.000000	0.152213
717.000000	0.150103
718.000000	0.142661
719.000000	0.137324
720.000000	0.147231
721.000000	0.152736
722.000000	0.147665
723.000000	0.145670
724.000000	0.147143
725.000000	0.140282
