#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2018/04/25
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.3198	0.2928	0.0930
#xyY coordinates: 0.4532	0.4150	0.2928
#sRGB: 138	62	14
#CCT Lindbloom (K):	2829
#CCT McCamy (K):	2831
#CCT Hernández-Andrés (K):	2756
#Melatonin: 0.321
#Chlorophyll a: 0.369
#Chlorophyll b: 0.477
#Beta Carotene: 0.370
#Manufacturer: Unknown
#Luminance manufacturer: Unknown
#Other data: New street lamps in Gregorio Marañón and Ronda streets in Almería.
#Begin Processed Spectral Data
W	S
475.000000	0.158686
476.000000	0.140358
477.000000	0.139989
478.000000	0.156557
479.000000	0.150215
480.000000	0.153159
481.000000	0.152239
482.000000	0.154770
483.000000	0.156866
484.000000	0.147188
485.000000	0.133169
486.000000	0.131731
487.000000	0.128289
488.000000	0.146953
489.000000	0.166302
490.000000	0.157394
491.000000	0.157312
492.000000	0.164970
493.000000	0.152811
494.000000	0.166896
495.000000	0.158084
496.000000	0.156597
497.000000	0.168164
498.000000	0.195761
499.000000	0.222804
500.000000	0.212283
501.000000	0.196131
502.000000	0.188768
503.000000	0.194603
504.000000	0.192982
505.000000	0.214060
506.000000	0.193408
507.000000	0.188339
508.000000	0.189917
509.000000	0.169494
510.000000	0.164015
511.000000	0.170064
512.000000	0.190331
513.000000	0.197065
514.000000	0.188194
515.000000	0.191886
516.000000	0.201071
517.000000	0.201597
518.000000	0.204372
519.000000	0.205427
520.000000	0.200243
521.000000	0.204411
522.000000	0.212316
523.000000	0.218380
524.000000	0.218081
525.000000	0.194012
526.000000	0.201228
527.000000	0.221642
528.000000	0.207031
529.000000	0.200674
530.000000	0.223667
531.000000	0.263106
532.000000	0.264326
533.000000	0.326397
534.000000	0.538093
535.000000	0.861470
536.000000	1.071837
537.000000	1.506060
538.000000	1.597470
539.000000	1.593819
540.000000	1.382933
541.000000	1.042416
542.000000	0.715667
543.000000	0.504249
544.000000	0.347637
545.000000	0.327769
546.000000	0.624216
547.000000	0.639302
548.000000	0.426744
549.000000	0.365570
550.000000	0.271762
551.000000	0.220680
552.000000	0.205757
553.000000	0.213354
554.000000	0.214514
555.000000	0.233090
556.000000	0.223340
557.000000	0.216949
558.000000	0.213912
559.000000	0.240222
560.000000	0.244024
561.000000	0.231856
