#LICA Lamps Spectra Database
#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2017/12/15
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.3205	0.2885	0.1097
#xyY coordinates: 0.4459	0.4014	0.2885
#sRGB: 138	60	19
#CCT Lindbloom (K):	2832
#CCT McCamy (K):	2833
#CCT Hernández-Andrés (K):	2769
#Melatonin: 0.361
#Chlorophyll a: 0.738
#Chlorophyll b: 0.574
#Beta Carotene: 0.737
#Manufacturer: Unknown
#Luminance manufacturer: Unknown
#Other data:
#Begin Processed Spectral Data
W	S
475.000000	0.175416
476.000000	0.162871
477.000000	0.166483
478.000000	0.185553
479.000000	0.184027
480.000000	0.184065
481.000000	0.178491
482.000000	0.187004
483.000000	0.188757
484.000000	0.174549
485.000000	0.162670
486.000000	0.160436
487.000000	0.156165
488.000000	0.177850
489.000000	0.201426
490.000000	0.193901
491.000000	0.185890
492.000000	0.192404
493.000000	0.181267
494.000000	0.186423
495.000000	0.185625
496.000000	0.190087
497.000000	0.195224
498.000000	0.217512
499.000000	0.237029
500.000000	0.234732
501.000000	0.221518
502.000000	0.213775
503.000000	0.220083
504.000000	0.228137
505.000000	0.250411
506.000000	0.225172
507.000000	0.214891
508.000000	0.211302
509.000000	0.193952
510.000000	0.186687
511.000000	0.202421
512.000000	0.222840
513.000000	0.225967
514.000000	0.216652
515.000000	0.213589
516.000000	0.230621
517.000000	0.233000
518.000000	0.227501
519.000000	0.230983
520.000000	0.224035
521.000000	0.214233
522.000000	0.223050
523.000000	0.234383
524.000000	0.230204
525.000000	0.212241
526.000000	0.237461
527.000000	0.296919
528.000000	0.276997
529.000000	0.243389
530.000000	0.249681
531.000000	0.282574
532.000000	0.285112
533.000000	0.323773
534.000000	0.481760
535.000000	0.615330
536.000000	0.544721
537.000000	0.770470
538.000000	0.870720
539.000000	0.861416
540.000000	0.779832
541.000000	0.630521
542.000000	0.468390
543.000000	0.383757
544.000000	0.295989
545.000000	0.293718
546.000000	0.442002
547.000000	0.492551
548.000000	0.334613
549.000000	0.271432
550.000000	0.258970
551.000000	0.253580
552.000000	0.247153
553.000000	0.251637
554.000000	0.260327
555.000000	0.283748
556.000000	0.268145
557.000000	0.259785
558.000000	0.266774
559.000000	0.325998
560.000000	0.369269
561.000000	0.326907
562.000000	0.295278
563.000000	0.305249
564.000000	0.344890
565.000000	0.377120
566.000000	0.380079
567.000000	0.422412
568.000000	0.496081
569.000000	0.622266
570.000000	0.683028
571.000000	0.569910
572.000000	0.465535
573.000000	0.404283
574.000000	0.381810
575.000000	0.381989
576.000000	0.392613
577.000000	0.415887
578.000000	0.407713
579.000000	0.410316
580.000000	0.419275
581.000000	0.427669
582.000000	0.436144
583.000000	0.463856
584.000000	0.497599
585.000000	0.560453
586.000000	0.638717
587.000000	0.687509
588.000000	0.567279
589.000000	0.290872
590.000000	0.138591
591.000000	0.154878
592.000000	0.236305
593.000000	0.325008
594.000000	0.417226
595.000000	0.497685
596.000000	0.566073
597.000000	0.628300
598.000000	0.666591
599.000000	0.701854
600.000000	0.729000
601.000000	0.743200
602.000000	0.753473
603.000000	0.750638
604.000000	0.735482
605.000000	0.733203
606.000000	0.733205
607.000000	0.723621
608.000000	0.708181
609.000000	0.721081
610.000000	0.706875
611.000000	0.700562
612.000000	0.696205
613.000000	0.707325
614.000000	0.673539
615.000000	0.664003
616.000000	0.727750
617.000000	0.793068
618.000000	0.718800
619.000000	0.655122
620.000000	0.620696
621.000000	0.594074
622.000000	0.588859
623.000000	0.584209
624.000000	0.575650
625.000000	0.578268
626.000000	0.621059
627.000000	0.645938
628.000000	0.609012
629.000000	0.607348
630.000000	0.609543
631.000000	0.612997
632.000000	0.583832
633.000000	0.565293
634.000000	0.574094
635.000000	0.589255
636.000000	0.597323
637.000000	0.609779
638.000000	0.619587
639.000000	0.619043
640.000000	0.600665
641.000000	0.590636
642.000000	0.556541
643.000000	0.542825
644.000000	0.575766
645.000000	0.572225
646.000000	0.589652
647.000000	0.598031
648.000000	0.582572
649.000000	0.559246
650.000000	0.543452
651.000000	0.496856
652.000000	0.466762
653.000000	0.451166
654.000000	0.460562
655.000000	0.491500
656.000000	0.523285
657.000000	0.511074
658.000000	0.515199
659.000000	0.491379
660.000000	0.455037
661.000000	0.454058
662.000000	0.441748
663.000000	0.437018
664.000000	0.427718
665.000000	0.425868
666.000000	0.430692
667.000000	0.462660
668.000000	0.448659
669.000000	0.441561
670.000000	0.439972
671.000000	0.443216
672.000000	0.457598
673.000000	0.445039
674.000000	0.434516
675.000000	0.436403
676.000000	0.432907
677.000000	0.436606
678.000000	0.420390
679.000000	0.400769
680.000000	0.382096
681.000000	0.370657
682.000000	0.364175
683.000000	0.385950
684.000000	0.417170
685.000000	0.392171
686.000000	0.398799
687.000000	0.343928
688.000000	0.321930
689.000000	0.309308
690.000000	0.315197
691.000000	0.304681
692.000000	0.291880
693.000000	0.291746
694.000000	0.286235
695.000000	0.298603
696.000000	0.312650
697.000000	0.291329
698.000000	0.276800
699.000000	0.281958
700.000000	0.291255
701.000000	0.279584
702.000000	0.278486
703.000000	0.266995
704.000000	0.258336
705.000000	0.255822
706.000000	0.243401
707.000000	0.234762
708.000000	0.232155
709.000000	0.231951
710.000000	0.229750
711.000000	0.226547
712.000000	0.221814
713.000000	0.225317
714.000000	0.227118
715.000000	0.252777
716.000000	0.242364
717.000000	0.224106
718.000000	0.214904
719.000000	0.211508
720.000000	0.213362
721.000000	0.234611
722.000000	0.217735
723.000000	0.215939
724.000000	0.209130
725.000000	0.202862
