#LICA Lamps Spectra Database
#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2017/12/15
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.2352	0.2642	0.2004
#xyY coordinates: 0.3361	0.3776	0.2642
#sRGB: 65	70	44
#CCT Lindbloom (K):	5381
#CCT McCamy (K):	5377
#CCT Hernández-Andrés (K):	5351
#Melatonin: 0.726
#Chlorophyll a: 0.404
#Chlorophyll b: 0.736
#Beta Carotene: 0.407
#Manufacturer: Unknown
#Luminance manufacturer: Unknown
#Other data:
#Begin Processed Spectral Data
W	S
475.000000	0.388373
476.000000	0.384328
477.000000	0.355295
478.000000	0.400130
479.000000	0.395724
480.000000	0.381787
481.000000	0.373937
482.000000	0.364740
483.000000	0.370042
484.000000	0.363313
485.000000	0.346704
486.000000	0.319435
487.000000	0.315123
488.000000	0.345165
489.000000	0.389555
490.000000	0.365791
491.000000	0.346860
492.000000	0.349866
493.000000	0.360176
494.000000	0.382023
495.000000	0.360453
496.000000	0.383697
497.000000	0.354647
498.000000	0.377082
499.000000	0.359083
500.000000	0.378340
501.000000	0.351804
502.000000	0.370924
503.000000	0.415376
504.000000	0.464205
505.000000	0.499737
506.000000	0.465486
507.000000	0.484860
508.000000	0.457742
509.000000	0.405538
510.000000	0.354189
511.000000	0.370810
512.000000	0.414653
513.000000	0.437608
514.000000	0.405885
515.000000	0.385745
516.000000	0.379837
517.000000	0.390436
518.000000	0.417369
519.000000	0.440736
520.000000	0.379435
521.000000	0.369211
522.000000	0.390569
523.000000	0.403595
524.000000	0.392965
525.000000	0.348508
526.000000	0.358411
527.000000	0.353405
528.000000	0.371518
529.000000	0.377519
530.000000	0.436053
531.000000	0.508962
532.000000	0.468380
533.000000	0.496959
534.000000	0.624473
535.000000	1.357943
536.000000	2.014459
537.000000	1.899299
538.000000	1.732110
539.000000	1.358800
540.000000	1.029499
541.000000	0.816913
542.000000	0.621384
543.000000	0.522647
544.000000	0.427938
545.000000	0.450224
546.000000	0.619973
547.000000	0.619307
548.000000	0.532647
549.000000	0.454810
550.000000	0.397176
551.000000	0.371345
552.000000	0.356811
553.000000	0.367334
554.000000	0.359664
555.000000	0.399673
556.000000	0.396507
557.000000	0.406132
558.000000	0.379637
559.000000	0.373030
560.000000	0.352428
561.000000	0.367179
562.000000	0.376041
563.000000	0.450561
564.000000	0.514555
565.000000	0.522785
566.000000	0.507560
567.000000	0.483755
568.000000	0.572527
569.000000	0.524469
570.000000	0.509389
571.000000	0.475440
572.000000	0.451180
573.000000	0.415646
574.000000	0.423226
575.000000	0.429091
576.000000	0.479734
577.000000	0.534364
578.000000	0.448646
579.000000	0.470972
580.000000	0.430946
581.000000	0.416278
582.000000	0.390520
583.000000	0.381816
584.000000	0.381065
585.000000	0.388662
586.000000	0.452001
587.000000	0.437557
588.000000	0.446141
589.000000	0.484817
590.000000	0.517920
591.000000	0.451423
592.000000	0.474099
593.000000	0.459546
594.000000	0.452768
595.000000	0.513810
596.000000	0.474284
597.000000	0.555390
598.000000	0.666133
599.000000	0.662628
600.000000	0.564496
601.000000	0.558754
602.000000	0.476071
603.000000	0.449782
604.000000	0.425847
605.000000	0.403217
606.000000	0.413573
607.000000	0.410653
608.000000	0.433629
609.000000	0.517114
610.000000	0.475702
611.000000	0.462699
612.000000	0.436140
613.000000	0.446965
614.000000	0.462519
615.000000	0.417510
616.000000	0.457829
617.000000	0.476327
618.000000	0.439457
619.000000	0.431847
620.000000	0.409853
621.000000	0.386171
622.000000	0.391685
623.000000	0.377507
624.000000	0.368493
625.000000	0.369494
626.000000	0.496884
627.000000	0.434330
628.000000	0.410998
629.000000	0.369221
630.000000	0.362560
631.000000	0.395842
632.000000	0.340519
633.000000	0.344783
634.000000	0.331124
635.000000	0.362888
636.000000	0.343448
637.000000	0.346587
638.000000	0.367524
639.000000	0.340817
640.000000	0.330677
641.000000	0.321688
642.000000	0.335863
643.000000	0.354511
644.000000	0.340880
645.000000	0.319532
646.000000	0.380997
647.000000	0.365020
648.000000	0.346181
649.000000	0.341059
650.000000	0.294692
651.000000	0.273030
652.000000	0.275440
653.000000	0.275023
654.000000	0.269211
655.000000	0.367475
656.000000	0.395813
657.000000	0.354153
658.000000	0.405390
659.000000	0.333265
660.000000	0.346740
661.000000	0.448808
662.000000	0.351674
663.000000	0.384907
664.000000	0.342903
665.000000	0.301201
666.000000	0.316673
667.000000	0.345669
668.000000	0.318947
669.000000	0.337105
670.000000	0.338671
671.000000	0.280934
672.000000	0.313285
673.000000	0.318307
674.000000	0.295914
675.000000	0.324663
676.000000	0.269955
677.000000	0.290187
678.000000	0.340916
679.000000	0.331339
680.000000	0.286070
681.000000	0.283193
682.000000	0.255590
683.000000	0.277955
684.000000	0.350507
685.000000	0.425663
686.000000	0.386196
687.000000	0.323743
688.000000	0.269468
689.000000	0.236683
690.000000	0.234658
691.000000	0.218619
692.000000	0.206261
693.000000	0.212721
694.000000	0.252439
695.000000	0.259023
696.000000	0.283358
697.000000	0.295535
698.000000	0.305605
699.000000	0.270723
700.000000	0.264797
701.000000	0.214609
702.000000	0.208705
703.000000	0.179158
704.000000	0.167269
705.000000	0.153319
706.000000	0.166351
707.000000	0.147801
708.000000	0.146276
709.000000	0.147716
710.000000	0.122167
711.000000	0.133743
712.000000	0.140221
713.000000	0.140242
714.000000	0.139088
715.000000	0.140730
716.000000	0.122674
717.000000	0.113859
718.000000	0.126481
719.000000	0.108354
720.000000	0.128083
721.000000	0.133430
722.000000	0.133036
723.000000	0.153958
724.000000	0.149495
725.000000	0.143735
