#LICA Lamps Spectra Database
#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2017/12/15
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.2254	0.2438	0.2558
#xyY coordinates: 0.3109	0.3363	0.2438
#sRGB: 58	64	59
#CCT Lindbloom (K):	6545
#CCT McCamy (K):	6550
#CCT Hernández-Andrés (K):	6538
#Melatonin: 0.985
#Chlorophyll a: 0.563
#Chlorophyll b: 0.949
#Beta Carotene: 0.566
#Manufacturer: Unknown
#Luminance manufacturer: Unknown
#Other data:
#Begin Processed Spectral Data
W	S
475.000000	0.452024
476.000000	0.390864
477.000000	0.452064
478.000000	0.538104
479.000000	0.558806
480.000000	0.531816
481.000000	0.532981
482.000000	0.608382
483.000000	0.618560
484.000000	0.517314
485.000000	0.456798
486.000000	0.426193
487.000000	0.425338
488.000000	0.487341
489.000000	0.515232
490.000000	0.508211
491.000000	0.479590
492.000000	0.493718
493.000000	0.439574
494.000000	0.432692
495.000000	0.435755
496.000000	0.419816
497.000000	0.383031
498.000000	0.367480
499.000000	0.379362
500.000000	0.423832
501.000000	0.435550
502.000000	0.441718
503.000000	0.481936
504.000000	0.533602
505.000000	0.585049
506.000000	0.547417
507.000000	0.497184
508.000000	0.415600
509.000000	0.358271
510.000000	0.387710
511.000000	0.463660
512.000000	0.552734
513.000000	0.530882
514.000000	0.473431
515.000000	0.457186
516.000000	0.514198
517.000000	0.506233
518.000000	0.453405
519.000000	0.432026
520.000000	0.416727
521.000000	0.387261
522.000000	0.366283
523.000000	0.401413
524.000000	0.380532
525.000000	0.322140
526.000000	0.390405
527.000000	0.453604
528.000000	0.455668
529.000000	0.394098
530.000000	0.407584
531.000000	0.446462
532.000000	0.475824
533.000000	0.464056
534.000000	0.623742
535.000000	1.437064
536.000000	2.008102
537.000000	1.642442
538.000000	1.199027
539.000000	0.968195
540.000000	0.761485
541.000000	0.583417
542.000000	0.536337
543.000000	0.476857
544.000000	0.342323
545.000000	0.333466
546.000000	0.485549
547.000000	0.461512
548.000000	0.359719
549.000000	0.310273
550.000000	0.356128
551.000000	0.364974
552.000000	0.310801
553.000000	0.321116
554.000000	0.352236
555.000000	0.384502
556.000000	0.372950
557.000000	0.355450
558.000000	0.368684
559.000000	0.351337
560.000000	0.323784
561.000000	0.359986
562.000000	0.348658
563.000000	0.322847
564.000000	0.387361
565.000000	0.430864
566.000000	0.390519
567.000000	0.363614
568.000000	0.344235
569.000000	0.331190
570.000000	0.342282
571.000000	0.372502
572.000000	0.425764
573.000000	0.410360
574.000000	0.392090
575.000000	0.422306
576.000000	0.472115
577.000000	0.447536
578.000000	0.362247
579.000000	0.357935
580.000000	0.378182
581.000000	0.402906
582.000000	0.361092
583.000000	0.326149
584.000000	0.326449
585.000000	0.338233
586.000000	0.340854
587.000000	0.336262
588.000000	0.328020
589.000000	0.348937
590.000000	0.349775
591.000000	0.340794
592.000000	0.354555
593.000000	0.371285
594.000000	0.414179
595.000000	0.430969
596.000000	0.401973
597.000000	0.463009
598.000000	0.529667
599.000000	0.571843
600.000000	0.522098
601.000000	0.538060
602.000000	0.507176
603.000000	0.470971
604.000000	0.424714
605.000000	0.397143
606.000000	0.392643
607.000000	0.384668
608.000000	0.424265
609.000000	0.528402
610.000000	0.497166
611.000000	0.475617
612.000000	0.448085
613.000000	0.440550
614.000000	0.394482
615.000000	0.403301
616.000000	0.452433
617.000000	0.522596
618.000000	0.481103
