# Ceramic Metal Halide
#
# average spectrum made of:
# CMH_Ceramic_Metal_Halide_2378K_SFH_1_Mayo_cor
# CMH_Ceramic_Metal_Halide_2586K_SFH_Panos_H_cor
# CMH_Ceramic_Metal_Halide_2620K_SFH_Panos_L_cor
# CMH_Ceramic_Metal_Halide_2691K_SFH_Police_cor
# CMH_Ceramic_Metal_Halide_2829K_Almeria_Calle_Gregorio_Maranon_cor
# CMH_Ceramic_Metal_Halide_2832K_SFH_Eugenia_cor
# CMH_Ceramic_Metal_Halide_5381K_SFH_Saramago_cor
# CMH_Ceramic_Metal_Halide_6545K_SFH_P_General_cor
#
# W	S
475.000000	0.218609
476.000000	0.202585
477.000000	0.199701
478.000000	0.219768
479.000000	0.217544
480.000000	0.210328
481.000000	0.206241
482.000000	0.215899
483.000000	0.218812
484.000000	0.202622
485.000000	0.187869
486.000000	0.182047
487.000000	0.181816
488.000000	0.201955
489.000000	0.217458
490.000000	0.210757
491.000000	0.204279
492.000000	0.211583
493.000000	0.206138
494.000000	0.220028
495.000000	0.212501
496.000000	0.216991
497.000000	0.222407
498.000000	0.257577
499.000000	0.277521
500.000000	0.274617
501.000000	0.251034
502.000000	0.240109
503.000000	0.244497
504.000000	0.258314
505.000000	0.269982
506.000000	0.249736
507.000000	0.244098
508.000000	0.230191
509.000000	0.208728
510.000000	0.200571
511.000000	0.214916
512.000000	0.239197
513.000000	0.244705
514.000000	0.229938
515.000000	0.235303
516.000000	0.252319
517.000000	0.249419
518.000000	0.249498
519.000000	0.250609
520.000000	0.235964
521.000000	0.231390
522.000000	0.240932
523.000000	0.250002
524.000000	0.242083
525.000000	0.216011
526.000000	0.225996
527.000000	0.242858
528.000000	0.238663
529.000000	0.226981
530.000000	0.251374
531.000000	0.286991
532.000000	0.293345
533.000000	0.335870
534.000000	0.525494
535.000000	0.857877
536.000000	1.108270
537.000000	1.307338
538.000000	1.300390
539.000000	1.217787
540.000000	1.025579
541.000000	0.778671
542.000000	0.553506
543.000000	0.419599
544.000000	0.314674
545.000000	0.308219
546.000000	0.553764
547.000000	0.557896
548.000000	0.408254
549.000000	0.333529
550.000000	0.278661
551.000000	0.254772
552.000000	0.241142
553.000000	0.248053
554.000000	0.254625
555.000000	0.272221
556.000000	0.266717
557.000000	0.262209
558.000000	0.258941
559.000000	0.273412
560.000000	0.274986
561.000000	0.270599
562.000000	0.269474
563.000000	0.288011
564.000000	0.326931
565.000000	0.349375
566.000000	0.367150
567.000000	0.417727
568.000000	0.520443
569.000000	0.699909
570.000000	0.714076
571.000000	0.590223
572.000000	0.497474
573.000000	0.413315
574.000000	0.372580
575.000000	0.363443
576.000000	0.387068
577.000000	0.421721
578.000000	0.400815
579.000000	0.418602
580.000000	0.415047
581.000000	0.419494
582.000000	0.422258
583.000000	0.440772
584.000000	0.483493
585.000000	0.555491
586.000000	0.671446
587.000000	0.764811
588.000000	0.705092
589.000000	0.454379
590.000000	0.318381
591.000000	0.293204
592.000000	0.351403
593.000000	0.454261
594.000000	0.564879
595.000000	0.668510
596.000000	0.736654
597.000000	0.809350
598.000000	0.871733
599.000000	0.907070
600.000000	0.908606
601.000000	0.914054
602.000000	0.900479
603.000000	0.886140
604.000000	0.867529
605.000000	0.840140
606.000000	0.830665
607.000000	0.805959
608.000000	0.796008
609.000000	0.805446
610.000000	0.775805
611.000000	0.753480
612.000000	0.731638
613.000000	0.721182
614.000000	0.697331
615.000000	0.691092
616.000000	0.756360
617.000000	0.768646
618.000000	0.706518
619.000000	0.666677
620.000000	0.635789
621.000000	0.603029
622.000000	0.587337
623.000000	0.570616
624.000000	0.557297
625.000000	0.553138
626.000000	0.610645
627.000000	0.589993
628.000000	0.558585
629.000000	0.533799
630.000000	0.528953
631.000000	0.528575
632.000000	0.504936
633.000000	0.499575
634.000000	0.495835
635.000000	0.497148
636.000000	0.489906
637.000000	0.492673
638.000000	0.500373
639.000000	0.490000
640.000000	0.478807
641.000000	0.468510
642.000000	0.463484
643.000000	0.459435
644.000000	0.458871
645.000000	0.442890
646.000000	0.460164
647.000000	0.457848
648.000000	0.445487
649.000000	0.436591
650.000000	0.411794
651.000000	0.390836
652.000000	0.380162
653.000000	0.374791
654.000000	0.382122
655.000000	0.423420
656.000000	0.447937
657.000000	0.428434
658.000000	0.449280
659.000000	0.427645
660.000000	0.417624
661.000000	0.423197
662.000000	0.377419
663.000000	0.381799
664.000000	0.362519
665.000000	0.351027
666.000000	0.369157
667.000000	0.399082
668.000000	0.386379
669.000000	0.383772
670.000000	0.402480
671.000000	0.430988
672.000000	0.419678
673.000000	0.412713
674.000000	0.397001
675.000000	0.391057
676.000000	0.372252
677.000000	0.374799
678.000000	0.361372
679.000000	0.348492
680.000000	0.324708
681.000000	0.309321
682.000000	0.295365
683.000000	0.314429
684.000000	0.326528
685.000000	0.328814
686.000000	0.315251
687.000000	0.277831
688.000000	0.245993
689.000000	0.236364
690.000000	0.233834
691.000000	0.227633
692.000000	0.218564
693.000000	0.215364
694.000000	0.220006
695.000000	0.225061
696.000000	0.230387
697.000000	0.222653
698.000000	0.221134
699.000000	0.217734
700.000000	0.222463
701.000000	0.207491
702.000000	0.202774
703.000000	0.189918
704.000000	0.182024
705.000000	0.174812
706.000000	0.173481
707.000000	0.166592
708.000000	0.164785
709.000000	0.164514
710.000000	0.158033
711.000000	0.155743
712.000000	0.156922
713.000000	0.160504
714.000000	0.158561
715.000000	0.162836
716.000000	0.158315
717.000000	0.155325
718.000000	0.149881
719.000000	0.145245
720.000000	0.148813
721.000000	0.161177
722.000000	0.157994
723.000000	0.159322
724.000000	0.153292
725.000000	0.151432
