#LICA Lamps Spectra Database
#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2017/12/15
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.1250	0.1264	0.0725
#xyY coordinates: 0.3859	0.3904	0.1264
#sRGB: 44	30	15
#CCT Lindbloom (K):	3952
#CCT McCamy (K):	3961
#CCT Hernández-Andrés (K):	3948
#Melatonin: 0.471
#Chlorophyll a: 0.050
#Chlorophyll b: 0.513
#Beta Carotene: 0.050
#Manufacturer: Unknown
#Luminance manufacturer: Unknown
#Other data:
#Begin Processed Spectral Data
W	S
475.000000	0.138888
476.000000	0.139958
477.000000	0.120158
478.000000	0.126945
479.000000	0.133923
480.000000	0.137591
481.000000	0.171477
482.000000	0.180575
483.000000	0.254906
484.000000	0.364466
485.000000	0.480471
486.000000	0.631182
487.000000	0.733368
488.000000	0.746667
489.000000	0.689466
490.000000	0.637477
491.000000	0.558416
492.000000	0.528487
493.000000	0.474559
494.000000	0.415919
495.000000	0.377564
496.000000	0.345439
497.000000	0.302861
498.000000	0.268003
499.000000	0.232671
500.000000	0.204594
501.000000	0.169146
502.000000	0.136806
503.000000	0.111409
504.000000	0.101403
505.000000	0.084198
506.000000	0.070405
507.000000	0.055011
508.000000	0.045649
509.000000	0.059164
510.000000	0.059552
511.000000	0.043975
512.000000	0.044151
513.000000	0.038326
514.000000	0.049093
515.000000	0.048329
516.000000	0.036386
517.000000	0.040032
518.000000	0.032259
519.000000	0.029543
520.000000	0.028926
521.000000	0.031012
522.000000	0.020579
523.000000	0.019407
524.000000	0.024560
525.000000	0.026196
526.000000	0.027720
527.000000	0.031379
528.000000	0.028512
529.000000	0.041569
530.000000	0.032939
531.000000	0.041643
532.000000	0.046251
533.000000	0.083391
534.000000	0.127689
535.000000	0.119688
536.000000	0.138447
537.000000	0.211954
538.000000	0.348978
539.000000	0.505865
540.000000	0.832037
541.000000	1.567096
542.000000	2.604866
543.000000	2.757261
544.000000	2.801844
545.000000	2.896600
546.000000	5.024461
547.000000	4.598359
548.000000	3.049392
549.000000	2.381793
550.000000	1.566555
551.000000	1.128923
552.000000	0.862786
553.000000	0.649980
554.000000	0.488019
555.000000	0.365189
556.000000	0.269898
557.000000	0.194240
558.000000	0.157212
559.000000	0.113684
560.000000	0.107556
561.000000	0.092344
562.000000	0.081257
563.000000	0.071085
564.000000	0.057865
565.000000	0.058219
566.000000	0.055453
567.000000	0.051392
568.000000	0.050261
569.000000	0.056502
570.000000	0.046149
571.000000	0.043160
572.000000	0.043293
573.000000	0.029112
574.000000	0.045663
575.000000	0.047323
576.000000	0.100471
577.000000	0.539710
578.000000	0.477567
579.000000	0.709587
580.000000	0.760127
581.000000	0.549874
582.000000	0.549411
583.000000	0.594713
584.000000	0.650700
585.000000	0.637117
586.000000	0.616980
587.000000	0.733362
588.000000	0.800242
589.000000	0.603971
590.000000	0.520008
591.000000	0.461767
592.000000	0.452767
593.000000	0.583738
594.000000	0.585412
595.000000	0.447044
596.000000	0.377354
597.000000	0.299714
598.000000	0.293230
599.000000	0.344055
600.000000	0.395227
601.000000	0.334723
602.000000	0.272502
603.000000	0.223826
604.000000	0.184100
605.000000	0.180825
606.000000	0.200218
607.000000	0.253267
608.000000	0.318012
609.000000	0.511823
610.000000	1.041810
611.000000	3.014261
612.000000	4.475691
613.000000	3.258417
614.000000	2.771425
615.000000	2.239409
616.000000	1.519083
617.000000	1.045499
618.000000	0.766024
619.000000	0.603474
620.000000	0.529557
621.000000	0.518698
622.000000	0.526225
623.000000	0.541425
624.000000	0.563211
625.000000	0.569551
626.000000	0.571922
627.000000	0.567269
628.000000	0.530189
629.000000	0.476848
630.000000	0.513305
631.000000	0.705153
632.000000	0.637422
633.000000	0.444698
634.000000	0.309242
635.000000	0.206668
636.000000	0.152411
637.000000	0.120235
638.000000	0.101595
639.000000	0.083229
640.000000	0.074529
641.000000	0.075871
642.000000	0.068340
643.000000	0.085354
644.000000	0.084022
645.000000	0.084946
646.000000	0.071317
647.000000	0.079365
648.000000	0.076692
649.000000	0.105374
650.000000	0.135454
651.000000	0.199314
652.000000	0.164093
653.000000	0.159365
654.000000	0.140585
655.000000	0.120105
656.000000	0.105176
657.000000	0.106100
658.000000	0.105781
659.000000	0.092105
660.000000	0.065690
661.000000	0.073940
662.000000	0.098741
663.000000	0.132303
664.000000	0.114268
665.000000	0.090126
666.000000	0.078098
667.000000	0.063247
668.000000	0.062622
669.000000	0.053641
670.000000	0.068611
671.000000	0.066775
672.000000	0.053752
673.000000	0.057295
674.000000	0.059964
675.000000	0.034043
676.000000	0.042657
677.000000	0.038745
678.000000	0.053450
679.000000	0.059095
680.000000	0.034808
681.000000	0.060741
682.000000	0.022456
683.000000	0.050907
684.000000	0.034949
685.000000	0.035676
686.000000	0.064864
687.000000	0.070964
688.000000	0.118658
689.000000	0.111022
690.000000	0.076368
691.000000	0.060851
692.000000	0.040491
693.000000	0.050482
694.000000	0.098184
695.000000	0.065932
696.000000	0.002855
697.000000	0.046865
698.000000	0.010086
699.000000	0.018941
700.000000	0.000000
701.000000	0.028335
702.000000	0.010210
703.000000	0.010516
704.000000	0.046445
705.000000	0.039542
706.000000	0.101881
707.000000	0.226050
708.000000	0.271445
709.000000	0.329122
710.000000	0.355470
711.000000	0.219192
712.000000	0.270410
713.000000	0.302780
714.000000	0.174417
715.000000	0.108915
716.000000	0.051077
717.000000	0.043339
718.000000	0.027879
719.000000	0.013263
720.000000	0.010571
721.000000	0.019600
722.000000	0.003694
723.000000	0.021570
724.000000	0.003221
725.000000	0.003322
