#LICA Lamps Spectra Database
#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2017/12/15
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.1430	0.1552	0.1343
#xyY coordinates: 0.3306	0.3589	0.1552
#sRGB: 40	40	30
#CCT Lindbloom (K):	5576
#CCT McCamy (K):	5574
#CCT Hernández-Andrés (K):	5560
#Melatonin: 0.696
#Chlorophyll a: 0.084
#Chlorophyll b: 0.700
#Beta Carotene: 0.086
#Manufacturer: Unknown
#Luminance manufacturer: Unknown
#Other data:
#Begin Processed Spectral Data
W	S
475.000000	0.470164
476.000000	0.469141
477.000000	0.481320
478.000000	0.473015
479.000000	0.475266
480.000000	0.469701
481.000000	0.472571
482.000000	0.484747
483.000000	0.486675
484.000000	0.478615
485.000000	0.481759
486.000000	0.490237
487.000000	0.485908
488.000000	0.485960
489.000000	0.482769
490.000000	0.483571
491.000000	0.491173
492.000000	0.494463
493.000000	0.495796
494.000000	0.486271
495.000000	0.473348
496.000000	0.475191
497.000000	0.478669
498.000000	0.474647
499.000000	0.473326
500.000000	0.477338
501.000000	0.471341
502.000000	0.471088
503.000000	0.470294
504.000000	0.474934
505.000000	0.467007
506.000000	0.461696
507.000000	0.454647
508.000000	0.460924
509.000000	0.460965
510.000000	0.456511
511.000000	0.464500
512.000000	0.464713
513.000000	0.445258
514.000000	0.458878
515.000000	0.448618
516.000000	0.452418
517.000000	0.438994
518.000000	0.438398
519.000000	0.442488
520.000000	0.444895
521.000000	0.448055
522.000000	0.438229
523.000000	0.445699
524.000000	0.447307
525.000000	0.442487
526.000000	0.448572
527.000000	0.440377
528.000000	0.442742
529.000000	0.446847
530.000000	0.453788
531.000000	0.440505
532.000000	0.444567
533.000000	0.446650
534.000000	0.451681
535.000000	0.448976
536.000000	0.452852
537.000000	0.461531
538.000000	0.460303
539.000000	0.467973
540.000000	0.474368
541.000000	0.474600
542.000000	0.498888
543.000000	0.504795
544.000000	0.521802
545.000000	0.762374
546.000000	2.689305
547.000000	2.333489
548.000000	1.585796
549.000000	1.167482
550.000000	0.668953
551.000000	0.573052
552.000000	0.550225
553.000000	0.560022
554.000000	0.559557
555.000000	0.561744
556.000000	0.571848
557.000000	0.567623
558.000000	0.578608
559.000000	0.595577
560.000000	0.605815
561.000000	0.609690
562.000000	0.615242
563.000000	0.625020
564.000000	0.621819
565.000000	0.625499
566.000000	0.641565
567.000000	0.635839
568.000000	0.652483
569.000000	0.664303
570.000000	0.643335
571.000000	0.653134
572.000000	0.664913
573.000000	0.662616
574.000000	0.663391
575.000000	0.676846
576.000000	0.715683
577.000000	1.000408
578.000000	0.902332
579.000000	1.091673
580.000000	1.007656
581.000000	0.834525
582.000000	0.778085
583.000000	0.706691
584.000000	0.679709
585.000000	0.677832
586.000000	0.670897
587.000000	0.671735
588.000000	0.681496
589.000000	0.648412
590.000000	0.664644
591.000000	0.651354
592.000000	0.652204
593.000000	0.647299
594.000000	0.625656
595.000000	0.619228
596.000000	0.623394
597.000000	0.605167
598.000000	0.598694
599.000000	0.602362
600.000000	0.586315
601.000000	0.572093
602.000000	0.569625
603.000000	0.574481
604.000000	0.551097
605.000000	0.539918
606.000000	0.530349
607.000000	0.528083
608.000000	0.514194
609.000000	0.502676
610.000000	0.492252
611.000000	0.490435
612.000000	0.478046
613.000000	0.478340
614.000000	0.459612
615.000000	0.454771
616.000000	0.460491
617.000000	0.444103
618.000000	0.431255
619.000000	0.423184
620.000000	0.415741
621.000000	0.407743
622.000000	0.406943
623.000000	0.400818
624.000000	0.381225
625.000000	0.366903
626.000000	0.367115
627.000000	0.354320
628.000000	0.347100
629.000000	0.336325
630.000000	0.334403
631.000000	0.322918
632.000000	0.309651
633.000000	0.311708
634.000000	0.296196
635.000000	0.283252
636.000000	0.283828
637.000000	0.274612
638.000000	0.262863
639.000000	0.262592
640.000000	0.253353
641.000000	0.240464
642.000000	0.242589
643.000000	0.238831
644.000000	0.229414
645.000000	0.214995
646.000000	0.212805
647.000000	0.213189
648.000000	0.202198
649.000000	0.191425
650.000000	0.194278
651.000000	0.195427
652.000000	0.183825
653.000000	0.181661
654.000000	0.172173
655.000000	0.163283
656.000000	0.167178
657.000000	0.167212
658.000000	0.158170
659.000000	0.157284
660.000000	0.139421
661.000000	0.149199
662.000000	0.142751
663.000000	0.136550
664.000000	0.131531
665.000000	0.123110
666.000000	0.123770
667.000000	0.118006
668.000000	0.121103
669.000000	0.116156
670.000000	0.108647
671.000000	0.107027
672.000000	0.102175
673.000000	0.103544
674.000000	0.091794
675.000000	0.098310
676.000000	0.091003
677.000000	0.086101
678.000000	0.086046
679.000000	0.086157
680.000000	0.085668
681.000000	0.088466
682.000000	0.081681
683.000000	0.080699
684.000000	0.078172
685.000000	0.073771
686.000000	0.079208
687.000000	0.083631
688.000000	0.069767
689.000000	0.061958
690.000000	0.075441
691.000000	0.086808
692.000000	0.063072
693.000000	0.066667
694.000000	0.064839
695.000000	0.067527
696.000000	0.055186
697.000000	0.062084
698.000000	0.066128
699.000000	0.065389
700.000000	0.052406
701.000000	0.051201
702.000000	0.054253
703.000000	0.058017
704.000000	0.057206
705.000000	0.048852
706.000000	0.043134
707.000000	0.041509
708.000000	0.051434
709.000000	0.055311
710.000000	0.049685
711.000000	0.042034
712.000000	0.031286
713.000000	0.051644
714.000000	0.045715
715.000000	0.045949
716.000000	0.044584
717.000000	0.049735
718.000000	0.038359
719.000000	0.040069
720.000000	0.035357
721.000000	0.033912
722.000000	0.035101
723.000000	0.030889
724.000000	0.034940
725.000000	0.037006
