# Fluorescent Lamp
#
# average spectrum made of:
# FL_Fluorescent_Lamp_3952K_SFH_Huerta_cor
# FL_Fluorescent_Lamp_5576K_F_Farmacia_cor
#
# W	S
475.000000	0.321482
476.000000	0.321399
477.000000	0.319225
478.000000	0.317694
479.000000	0.322066
480.000000	0.320645
481.000000	0.337436
482.000000	0.348230
483.000000	0.382654
484.000000	0.427383
485.000000	0.481181
486.000000	0.553495
487.000000	0.596972
488.000000	0.602969
489.000000	0.575538
490.000000	0.552646
491.000000	0.521353
492.000000	0.509733
493.000000	0.486264
494.000000	0.454696
495.000000	0.430359
496.000000	0.416956
497.000000	0.399764
498.000000	0.381902
499.000000	0.365316
500.000000	0.354926
501.000000	0.335712
502.000000	0.321057
503.000000	0.309221
504.000000	0.307287
505.000000	0.295197
506.000000	0.286079
507.000000	0.275284
508.000000	0.274542
509.000000	0.280631
510.000000	0.278350
511.000000	0.275762
512.000000	0.275959
513.000000	0.262621
514.000000	0.274960
515.000000	0.268962
516.000000	0.265697
517.000000	0.259934
518.000000	0.256117
519.000000	0.257152
520.000000	0.258202
521.000000	0.260880
522.000000	0.250781
523.000000	0.254373
524.000000	0.257572
525.000000	0.255650
526.000000	0.259687
527.000000	0.256813
528.000000	0.256829
529.000000	0.264952
530.000000	0.264904
531.000000	0.261490
532.000000	0.265797
533.000000	0.283614
534.000000	0.306269
535.000000	0.301186
536.000000	0.311742
537.000000	0.349517
538.000000	0.410339
539.000000	0.484980
540.000000	0.634895
541.000000	0.964928
542.000000	1.444083
543.000000	1.515736
544.000000	1.545119
545.000000	1.720247
546.000000	3.737358
547.000000	3.349997
548.000000	2.242680
549.000000	1.712483
550.000000	1.071810
551.000000	0.822535
552.000000	0.690507
553.000000	0.600397
554.000000	0.527450
555.000000	0.473527
556.000000	0.436329
557.000000	0.400043
558.000000	0.389479
559.000000	0.379296
560.000000	0.382189
561.000000	0.377497
562.000000	0.375581
563.000000	0.376406
564.000000	0.368708
565.000000	0.370895
566.000000	0.378509
567.000000	0.373530
568.000000	0.382197
569.000000	0.391513
570.000000	0.375309
571.000000	0.379369
572.000000	0.385920
573.000000	0.378290
574.000000	0.386145
575.000000	0.394307
576.000000	0.439567
577.000000	0.793640
578.000000	0.711691
579.000000	0.920187
580.000000	0.896561
581.000000	0.706769
582.000000	0.675453
583.000000	0.656433
584.000000	0.666689
585.000000	0.659558
586.000000	0.646698
587.000000	0.699394
588.000000	0.734791
589.000000	0.628467
590.000000	0.599729
591.000000	0.566264
592.000000	0.562694
593.000000	0.618772
594.000000	0.607594
595.000000	0.541949
596.000000	0.512967
597.000000	0.468075
598.000000	0.461597
599.000000	0.486430
600.000000	0.500552
601.000000	0.465558
602.000000	0.436272
603.000000	0.417102
604.000000	0.386383
605.000000	0.378752
606.000000	0.382181
607.000000	0.404742
608.000000	0.426145
609.000000	0.506782
610.000000	0.738902
611.000000	1.623166
612.000000	2.272249
613.000000	1.726081
614.000000	1.497189
615.000000	1.255743
616.000000	0.935603
617.000000	0.714018
618.000000	0.581505
619.000000	0.504101
620.000000	0.466823
621.000000	0.457541
622.000000	0.460479
623.000000	0.463924
624.000000	0.462903
625.000000	0.457854
626.000000	0.459035
627.000000	0.449894
628.000000	0.429273
629.000000	0.399394
630.000000	0.414697
631.000000	0.494471
632.000000	0.456760
633.000000	0.371396
634.000000	0.302051
635.000000	0.248880
636.000000	0.224846
637.000000	0.205325
638.000000	0.190483
639.000000	0.182091
640.000000	0.173094
641.000000	0.166592
642.000000	0.164383
643.000000	0.169948
644.000000	0.164160
645.000000	0.156627
646.000000	0.149303
647.000000	0.153127
648.000000	0.145869
649.000000	0.152804
650.000000	0.167877
651.000000	0.197172
652.000000	0.174969
653.000000	0.171654
654.000000	0.157996
655.000000	0.143904
656.000000	0.139351
657.000000	0.139784
658.000000	0.134657
659.000000	0.128031
660.000000	0.106329
661.000000	0.115422
662.000000	0.122999
663.000000	0.134644
664.000000	0.123783
665.000000	0.108306
666.000000	0.103272
667.000000	0.093430
668.000000	0.094856
669.000000	0.088099
670.000000	0.090678
671.000000	0.088962
672.000000	0.080442
673.000000	0.082787
674.000000	0.077508
675.000000	0.069466
676.000000	0.069305
677.000000	0.064847
678.000000	0.071417
679.000000	0.074011
680.000000	0.062841
681.000000	0.076023
682.000000	0.055100
683.000000	0.067328
684.000000	0.058773
685.000000	0.056673
686.000000	0.072770
687.000000	0.077946
688.000000	0.091710
689.000000	0.083979
690.000000	0.075857
691.000000	0.075158
692.000000	0.052938
693.000000	0.059403
694.000000	0.079805
695.000000	0.066811
696.000000	0.031699
697.000000	0.055254
698.000000	0.040975
699.000000	0.044542
700.000000	0.028885
701.000000	0.040938
702.000000	0.034486
703.000000	0.036698
704.000000	0.052376
705.000000	0.044674
706.000000	0.069501
707.000000	0.124334
708.000000	0.150178
709.000000	0.178202
710.000000	0.186926
711.000000	0.121545
712.000000	0.138609
713.000000	0.164358
714.000000	0.103478
715.000000	0.074209
716.000000	0.047498
717.000000	0.046864
718.000000	0.033655
719.000000	0.028038
720.000000	0.024232
721.000000	0.027488
722.000000	0.021005
723.000000	0.026707
724.000000	0.020704
725.000000	0.021888
