#LICA Lamps Spectra Database
#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2018/04/15
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.1636	0.1332	0.0250
#xyY coordinates: 0.5083	0.4141	0.1332
#sRGB: 80	24	2
#CCT Lindbloom (K):	2165
#CCT McCamy (K):	2146
#CCT Hernández-Andrés (K):	1933
#Melatonin: 0.221
#Chlorophyll a: 5.783
#Chlorophyll b: 0.559
#Beta Carotene: 5.757
#Manufacturer: Umknowm
#Luminance manufacturer: Unknown
#Other data: Propane lighter
#Begin Processed Spectral Data
W	S
475.000000	0.062824
476.000000	0.062814
477.000000	0.065022
478.000000	0.065311
479.000000	0.065981
480.000000	0.068746
481.000000	0.069149
482.000000	0.070571
483.000000	0.070768
484.000000	0.073145
485.000000	0.074021
486.000000	0.075763
487.000000	0.076021
488.000000	0.077085
489.000000	0.079799
490.000000	0.080795
491.000000	0.082335
492.000000	0.082622
493.000000	0.082965
494.000000	0.085400
495.000000	0.086712
496.000000	0.088846
497.000000	0.090728
498.000000	0.091157
499.000000	0.093487
500.000000	0.094441
501.000000	0.096678
502.000000	0.097530
503.000000	0.099947
504.000000	0.100377
505.000000	0.104649
506.000000	0.104895
507.000000	0.106651
508.000000	0.108943
509.000000	0.110373
510.000000	0.113235
511.000000	0.115106
512.000000	0.118243
513.000000	0.118627
514.000000	0.122540
515.000000	0.123603
516.000000	0.125559
517.000000	0.126394
518.000000	0.127439
519.000000	0.128970
520.000000	0.129974
521.000000	0.130766
522.000000	0.134193
523.000000	0.137446
524.000000	0.137863
525.000000	0.139839
526.000000	0.142402
527.000000	0.143966
528.000000	0.148031
529.000000	0.149918
530.000000	0.150561
531.000000	0.152961
532.000000	0.154547
533.000000	0.156921
534.000000	0.156362
535.000000	0.162284
536.000000	0.163796
537.000000	0.165253
538.000000	0.167386
539.000000	0.169558
540.000000	0.170773
541.000000	0.174734
542.000000	0.178291
543.000000	0.180997
544.000000	0.181668
545.000000	0.183955
546.000000	0.187619
547.000000	0.189291
548.000000	0.192372
549.000000	0.194837
550.000000	0.196518
551.000000	0.199929
552.000000	0.202592
553.000000	0.205422
554.000000	0.207975
555.000000	0.211337
556.000000	0.214478
557.000000	0.218650
558.000000	0.220239
559.000000	0.224564
560.000000	0.226479
561.000000	0.229479
562.000000	0.231828
563.000000	0.235026
564.000000	0.236172
565.000000	0.238583
566.000000	0.241305
567.000000	0.247172
568.000000	0.246597
569.000000	0.250816
570.000000	0.249645
571.000000	0.254722
572.000000	0.258365
573.000000	0.262445
574.000000	0.263722
575.000000	0.265425
576.000000	0.269217
577.000000	0.272512
578.000000	0.275771
579.000000	0.278437
580.000000	0.279929
581.000000	0.281588
582.000000	0.287949
583.000000	0.292049
584.000000	0.293460
585.000000	0.299495
586.000000	0.303974
587.000000	0.308874
588.000000	0.309427
589.000000	0.312975
590.000000	0.315598
591.000000	0.316515
592.000000	0.324668
593.000000	0.324556
594.000000	0.328537
595.000000	0.331319
596.000000	0.335725
597.000000	0.338825
598.000000	0.342563
599.000000	0.345748
600.000000	0.349602
601.000000	0.354691
602.000000	0.359912
603.000000	0.363753
604.000000	0.366035
605.000000	0.369842
606.000000	0.370440
607.000000	0.371517
608.000000	0.376762
609.000000	0.378179
610.000000	0.383420
611.000000	0.385793
612.000000	0.390421
613.000000	0.394385
614.000000	0.397623
615.000000	0.404990
616.000000	0.410140
617.000000	0.415473
618.000000	0.422234
619.000000	0.423732
620.000000	0.429913
621.000000	0.430110
622.000000	0.434086
623.000000	0.438179
624.000000	0.441121
625.000000	0.448639
626.000000	0.451641
627.000000	0.455924
628.000000	0.460218
629.000000	0.465080
630.000000	0.468429
631.000000	0.472916
632.000000	0.473343
633.000000	0.479983
634.000000	0.484780
635.000000	0.486410
636.000000	0.490662
637.000000	0.498775
638.000000	0.501520
639.000000	0.504818
640.000000	0.509460
641.000000	0.510831
642.000000	0.517981
643.000000	0.521748
644.000000	0.521387
645.000000	0.523814
646.000000	0.532822
647.000000	0.540272
648.000000	0.544301
649.000000	0.548001
650.000000	0.552992
651.000000	0.557763
652.000000	0.562972
653.000000	0.562961
654.000000	0.570886
655.000000	0.572404
656.000000	0.577682
657.000000	0.579565
658.000000	0.585694
659.000000	0.595187
660.000000	0.593106
661.000000	0.600160
662.000000	0.605242
663.000000	0.607447
664.000000	0.613368
665.000000	0.614613
666.000000	0.622604
667.000000	0.626278
668.000000	0.628442
669.000000	0.636131
670.000000	0.643729
671.000000	0.650731
672.000000	0.648768
673.000000	0.655145
674.000000	0.660024
675.000000	0.665330
676.000000	0.670735
677.000000	0.674442
678.000000	0.679321
679.000000	0.686020
680.000000	0.688253
681.000000	0.696079
682.000000	0.701814
683.000000	0.707273
684.000000	0.705747
685.000000	0.716066
686.000000	0.716885
687.000000	0.723974
688.000000	0.725201
689.000000	0.731197
690.000000	0.734733
691.000000	0.741014
692.000000	0.750237
693.000000	0.756626
694.000000	0.759975
695.000000	0.770890
696.000000	0.772117
697.000000	0.772425
698.000000	0.780883
699.000000	0.788021
700.000000	0.792979
701.000000	0.801294
702.000000	0.816512
703.000000	0.821484
704.000000	0.823748
705.000000	0.824254
706.000000	0.829819
707.000000	0.832098
708.000000	0.832254
709.000000	0.848963
710.000000	0.856341
711.000000	0.866315
712.000000	0.862187
713.000000	0.870956
714.000000	0.874776
715.000000	0.878745
716.000000	0.886283
717.000000	0.891901
718.000000	0.894412
719.000000	0.901920
720.000000	0.917249
721.000000	0.920802
722.000000	0.924749
723.000000	0.932654
724.000000	0.936475
725.000000	0.945897
