#LICA Lamps Spectra Database
#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2017/12/15
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.1610	0.1161	0.0161
#xyY coordinates: 0.5491	0.3961	0.1161
#sRGB: 85	16	1
#CCT Lindbloom (K):	1732
#CCT McCamy (K):	1739
#CCT Hernández-Andrés (K):	1270
#Melatonin: 0.128
#Chlorophyll a: 0.233
#Chlorophyll b: 0.373
#Beta Carotene: 0.234
#Manufacturer: Unknown
#Luminance manufacturer: Unknown
#Other data:
#Begin Processed Spectral Data
W	S
475.000000	0.074627
476.000000	0.075335
477.000000	0.045233
478.000000	0.026368
479.000000	0.014774
480.000000	0.012194
481.000000	0.007397
482.000000	0.008846
483.000000	0.011079
484.000000	0.023617
485.000000	0.008225
486.000000	0.019189
487.000000	0.011235
488.000000	0.016493
489.000000	0.018399
490.000000	0.023914
491.000000	0.031670
492.000000	0.049598
493.000000	0.037918
494.000000	0.037580
495.000000	0.060346
496.000000	0.098739
497.000000	0.228688
498.000000	0.570398
499.000000	0.715022
500.000000	0.451314
501.000000	0.217495
502.000000	0.113276
503.000000	0.061748
504.000000	0.044705
505.000000	0.034224
506.000000	0.029256
507.000000	0.025186
508.000000	0.022686
509.000000	0.028522
510.000000	0.018495
511.000000	0.015326
512.000000	0.018700
513.000000	0.017437
514.000000	0.039575
515.000000	0.140383
516.000000	0.201561
517.000000	0.101382
518.000000	0.047112
519.000000	0.022492
520.000000	0.020567
521.000000	0.017194
522.000000	0.014777
523.000000	0.017196
524.000000	0.016585
525.000000	0.014740
526.000000	0.016595
527.000000	0.013443
528.000000	0.019994
529.000000	0.018293
530.000000	0.017738
531.000000	0.014761
532.000000	0.019189
533.000000	0.030276
534.000000	0.026879
535.000000	0.026916
536.000000	0.021919
537.000000	0.018969
538.000000	0.021296
539.000000	0.030300
540.000000	0.023389
541.000000	0.026029
542.000000	0.026114
543.000000	0.027289
544.000000	0.024843
545.000000	0.035186
546.000000	0.129826
547.000000	0.135699
548.000000	0.076525
549.000000	0.057546
550.000000	0.085251
551.000000	0.095059
552.000000	0.094774
553.000000	0.105231
554.000000	0.120997
555.000000	0.109359
556.000000	0.108723
557.000000	0.107983
558.000000	0.119470
559.000000	0.132156
560.000000	0.144779
561.000000	0.159063
