#LICA Lamps Spectra Database
#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2017/12/26
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.1707	0.1300	0.0126
#xyY coordinates: 0.5449	0.4150	0.1300
#sRGB: 89	20	0
#CCT Lindbloom (K):	1869
#CCT McCamy (K):	1864
#CCT Hernández-Andrés (K):	1503
#Melatonin: 0.101
#Chlorophyll a: 0.184
#Chlorophyll b: 0.310
#Beta Carotene: 0.185
#Manufacturer: Unknown
#Luminance manufacturer: Unknown
#Other data: Riba-Roja de Turia streetlamps. Near river Turia.
#Begin Processed Spectral Data
W	S
475.000000	0.046111
476.000000	0.064691
477.000000	0.045483
478.000000	0.031186
479.000000	0.022123
480.000000	0.012556
481.000000	0.010566
482.000000	0.009519
483.000000	0.011436
484.000000	0.011842
485.000000	0.011087
486.000000	0.014993
487.000000	0.013660
488.000000	0.013298
489.000000	0.013414
490.000000	0.017581
491.000000	0.022091
492.000000	0.030498
493.000000	0.030566
494.000000	0.029751
495.000000	0.035711
496.000000	0.052313
497.000000	0.114578
498.000000	0.325764
499.000000	0.576146
500.000000	0.481165
501.000000	0.331744
502.000000	0.196107
503.000000	0.096484
504.000000	0.051729
505.000000	0.034765
506.000000	0.026797
507.000000	0.021427
508.000000	0.019837
509.000000	0.018482
510.000000	0.018725
511.000000	0.016116
512.000000	0.017347
513.000000	0.017791
514.000000	0.021241
515.000000	0.065618
516.000000	0.151734
517.000000	0.106228
518.000000	0.074638
519.000000	0.046037
520.000000	0.026149
521.000000	0.018519
522.000000	0.017278
523.000000	0.017589
524.000000	0.017373
525.000000	0.017685
526.000000	0.017306
527.000000	0.017510
528.000000	0.019942
529.000000	0.018350
530.000000	0.017114
531.000000	0.019494
532.000000	0.018821
533.000000	0.019392
534.000000	0.019787
535.000000	0.021858
536.000000	0.019880
537.000000	0.020565
538.000000	0.020271
539.000000	0.023183
540.000000	0.022088
541.000000	0.024768
542.000000	0.023464
543.000000	0.026254
544.000000	0.027885
545.000000	0.030186
546.000000	0.043249
547.000000	0.054376
548.000000	0.055573
549.000000	0.061507
550.000000	0.083734
551.000000	0.105982
552.000000	0.128020
553.000000	0.146436
554.000000	0.158042
555.000000	0.169202
556.000000	0.190877
557.000000	0.226964
558.000000	0.277830
559.000000	0.337995
560.000000	0.396089
561.000000	0.444652
562.000000	0.472650
563.000000	0.481724
564.000000	0.483631
565.000000	0.501081
566.000000	0.551152
567.000000	0.712543
568.000000	1.163223
569.000000	2.265625
570.000000	2.381642
571.000000	1.747281
572.000000	1.419847
573.000000	1.027095
574.000000	0.778285
575.000000	0.702834
576.000000	0.711417
577.000000	0.756209
578.000000	0.812326
579.000000	0.884447
580.000000	0.989263
581.000000	1.109237
582.000000	1.268867
583.000000	1.457095
584.000000	1.665198
585.000000	1.926509
586.000000	2.132326
587.000000	2.037295
588.000000	1.464211
589.000000	0.865558
590.000000	0.515620
591.000000	0.308877
592.000000	0.476167
593.000000	1.048350
594.000000	1.594416
595.000000	1.996817
596.000000	2.187205
597.000000	2.216902
598.000000	2.157380
599.000000	2.063455
600.000000	1.936987
601.000000	1.803909
602.000000	1.682125
603.000000	1.562667
604.000000	1.451968
605.000000	1.344076
606.000000	1.261180
607.000000	1.159306
608.000000	1.088917
609.000000	1.013502
610.000000	0.948411
611.000000	0.906565
612.000000	0.842885
613.000000	0.792756
614.000000	0.769303
615.000000	0.809951
616.000000	1.106628
617.000000	1.154850
618.000000	0.911013
619.000000	0.830236
620.000000	0.716775
621.000000	0.602117
622.000000	0.552490
623.000000	0.530118
624.000000	0.506019
625.000000	0.491065
626.000000	0.472246
627.000000	0.459394
628.000000	0.443302
629.000000	0.429456
630.000000	0.410396
631.000000	0.398656
632.000000	0.388313
633.000000	0.376263
634.000000	0.365831
635.000000	0.360108
636.000000	0.344674
637.000000	0.340379
638.000000	0.328117
639.000000	0.324558
640.000000	0.310788
641.000000	0.304724
642.000000	0.298840
643.000000	0.294916
644.000000	0.284558
645.000000	0.276745
646.000000	0.278899
647.000000	0.270333
648.000000	0.269239
649.000000	0.261871
650.000000	0.253125
651.000000	0.248817
652.000000	0.242619
653.000000	0.235703
654.000000	0.235729
655.000000	0.234258
656.000000	0.233954
657.000000	0.230897
658.000000	0.229061
659.000000	0.224985
660.000000	0.224500
661.000000	0.214163
662.000000	0.206659
663.000000	0.201414
664.000000	0.193913
665.000000	0.195414
666.000000	0.195194
667.000000	0.202167
668.000000	0.200436
669.000000	0.205394
670.000000	0.213353
671.000000	0.212456
672.000000	0.217255
673.000000	0.213757
674.000000	0.213870
675.000000	0.205430
676.000000	0.202999
677.000000	0.199959
678.000000	0.192273
679.000000	0.180590
680.000000	0.180667
681.000000	0.163634
682.000000	0.156776
683.000000	0.144560
684.000000	0.140308
685.000000	0.128757
686.000000	0.123318
687.000000	0.120310
688.000000	0.113481
689.000000	0.113564
690.000000	0.105261
691.000000	0.102035
692.000000	0.101597
693.000000	0.101157
694.000000	0.093269
695.000000	0.097205
696.000000	0.090018
697.000000	0.094820
698.000000	0.088502
699.000000	0.094547
700.000000	0.089486
701.000000	0.087597
702.000000	0.088736
703.000000	0.096395
704.000000	0.085864
705.000000	0.082026
706.000000	0.085783
707.000000	0.084938
708.000000	0.083247
709.000000	0.082201
710.000000	0.084082
711.000000	0.077361
712.000000	0.071660
713.000000	0.073280
714.000000	0.074343
715.000000	0.075364
716.000000	0.075002
717.000000	0.069229
718.000000	0.071786
719.000000	0.074885
720.000000	0.073156
721.000000	0.071161
722.000000	0.073825
723.000000	0.070550
724.000000	0.066058
725.000000	0.069024
