#LICA Lamps Spectra Database
#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2017/06/28
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.1728	0.1320	0.0160
#xyY coordinates: 0.5387	0.4114	01320
#sRGB: 89	21	0
#CCT Lindbloom (K):	1895
#CCT McCamy (K):	1882
#CCT Hernández-Andrés (K):	1538
#Melatonin: 0.122
#Chlorophyll a: 0.232
#Chlorophyll b: 0.350
#Beta Carotene: 0.233
#Manufacturer: Unknown
#Luminance manufacturer: Unknown
#Other data: Áger streetlamps.
#Begin Processed Spectral Data
W	S
475.000000	0.053382
476.000000	0.077847
477.000000	0.055563
478.000000	0.037507
479.000000	0.024630
480.000000	0.013626
481.000000	0.018698
482.000000	0.012488
483.000000	0.022137
484.000000	0.018145
485.000000	0.016990
486.000000	0.014678
487.000000	0.014072
488.000000	0.016908
489.000000	0.017580
490.000000	0.023177
491.000000	0.030196
492.000000	0.039063
493.000000	0.032712
494.000000	0.032437
495.000000	0.046213
496.000000	0.058387
497.000000	0.127334
498.000000	0.348900
499.000000	0.635646
500.000000	0.492431
501.000000	0.253831
502.000000	0.137279
503.000000	0.075960
504.000000	0.049171
505.000000	0.033453
506.000000	0.028686
507.000000	0.024895
508.000000	0.028711
509.000000	0.019273
510.000000	0.023153
511.000000	0.017745
512.000000	0.026660
513.000000	0.022012
514.000000	0.028828
515.000000	0.070197
516.000000	0.190990
517.000000	0.115056
518.000000	0.057057
519.000000	0.037975
520.000000	0.028927
521.000000	0.024151
522.000000	0.021458
523.000000	0.023823
524.000000	0.019703
525.000000	0.020277
526.000000	0.025594
527.000000	0.026960
528.000000	0.024546
529.000000	0.022237
530.000000	0.022665
531.000000	0.030236
532.000000	0.026429
533.000000	0.025380
534.000000	0.031682
535.000000	0.029781
536.000000	0.028206
537.000000	0.029166
538.000000	0.030654
539.000000	0.031655
540.000000	0.031599
541.000000	0.031005
542.000000	0.031761
543.000000	0.031643
544.000000	0.034377
545.000000	0.039730
546.000000	0.057462
547.000000	0.071245
548.000000	0.068000
549.000000	0.091653
550.000000	0.116286
551.000000	0.158555
552.000000	0.171206
553.000000	0.188634
554.000000	0.208293
555.000000	0.208822
556.000000	0.234764
557.000000	0.271320
558.000000	0.310952
559.000000	0.394304
560.000000	0.455235
561.000000	0.491274
562.000000	0.510682
563.000000	0.524683
564.000000	0.526037
565.000000	0.546159
