#LICA Lamps Spectra Database
#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2017/12/15
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.1583	0.1220	0.0141
#xyY coordinates: 0.5378	0.4143	0.1220
#sRGB: 81	19	0
#CCT Lindbloom (K):	1920
#CCT McCamy (K):	1906
#CCT Hernández-Andrés (K):	1576
#Melatonin: 0.116
#Chlorophyll a: 0.115
#Chlorophyll b: 0.311
#Beta Carotene: 0.117
#Manufacturer: Unknown
#Luminance manufacturer: Unknown
#Other data:
#Begin Processed Spectral Data
W	S
475.000000	0.074647
476.000000	0.076546
477.000000	0.037122
478.000000	0.021196
479.000000	0.010422
480.000000	0.007260
481.000000	0.007139
482.000000	0.011017
483.000000	0.006571
484.000000	0.009144
485.000000	0.010539
486.000000	0.009226
487.000000	0.010799
488.000000	0.011546
489.000000	0.015159
490.000000	0.019867
491.000000	0.030901
492.000000	0.033455
493.000000	0.029521
494.000000	0.034042
495.000000	0.046919
496.000000	0.097373
497.000000	0.250548
498.000000	0.678456
499.000000	0.814277
500.000000	0.449225
501.000000	0.222170
502.000000	0.108945
503.000000	0.058034
504.000000	0.035631
505.000000	0.027456
506.000000	0.019251
507.000000	0.018365
508.000000	0.016642
509.000000	0.013655
510.000000	0.016608
511.000000	0.014885
512.000000	0.015454
513.000000	0.016724
514.000000	0.027509
515.000000	0.153560
516.000000	0.208246
517.000000	0.080358
518.000000	0.042105
519.000000	0.020831
520.000000	0.013772
521.000000	0.012436
522.000000	0.012683
523.000000	0.014405
524.000000	0.012348
525.000000	0.010957
526.000000	0.010515
527.000000	0.015374
528.000000	0.013206
529.000000	0.013488
530.000000	0.014575
531.000000	0.011708
532.000000	0.012727
533.000000	0.015896
534.000000	0.015604
535.000000	0.015050
536.000000	0.014103
537.000000	0.016560
538.000000	0.015061
539.000000	0.017208
540.000000	0.014020
541.000000	0.015760
542.000000	0.017090
543.000000	0.020650
544.000000	0.020876
545.000000	0.025716
546.000000	0.079577
547.000000	0.071807
548.000000	0.049350
549.000000	0.054871
550.000000	0.066068
551.000000	0.086543
552.000000	0.101095
553.000000	0.115804
554.000000	0.127566
555.000000	0.134329
556.000000	0.166491
557.000000	0.210984
558.000000	0.272686
559.000000	0.343749
560.000000	0.401642
561.000000	0.429515
562.000000	0.442880
563.000000	0.442202
564.000000	0.448138
565.000000	0.480156
566.000000	0.584606
567.000000	0.886936
568.000000	1.839839
569.000000	3.610243
570.000000	2.618381
571.000000	1.425220
572.000000	0.959602
573.000000	0.700281
