#LICA Lamps Spectra Database
#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2017/12/15
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.1610	0.1279	0.0122
#xyY coordinates: 0.5347	0.4248	0.1279
#sRGB: 81	22	0
#CCT Lindbloom (K):	2005
#CCT McCamy (K):	1995
#CCT Hernández-Andrés (K):	1709
#Melatonin: 0.105
#Chlorophyll a: 0.175
#Chlorophyll b: 0.296
#Beta Carotene: 0.177
#Manufacturer: Unknown
#Luminance manufacturer: Unknown
#Other data: Madrid streetlamp at Facultad de Físicas
#Begin Processed Spectral Data
W	S
475.000000	0.058814
476.000000	0.068169
477.000000	0.038417
478.000000	0.024700
479.000000	0.013625
480.000000	0.014307
481.000000	0.011448
482.000000	0.011816
483.000000	0.013506
484.000000	0.010650
485.000000	0.016300
486.000000	0.012950
487.000000	0.016205
488.000000	0.014174
489.000000	0.017400
490.000000	0.019406
491.000000	0.026518
492.000000	0.030683
493.000000	0.031663
494.000000	0.029994
495.000000	0.039192
496.000000	0.073004
497.000000	0.197248
498.000000	0.570213
499.000000	0.743066
500.000000	0.465297
501.000000	0.205675
502.000000	0.090225
503.000000	0.047382
504.000000	0.033790
505.000000	0.028810
506.000000	0.024966
507.000000	0.022122
508.000000	0.023825
509.000000	0.021126
510.000000	0.022409
511.000000	0.021470
512.000000	0.022792
513.000000	0.022834
514.000000	0.029503
515.000000	0.132921
516.000000	0.195650
517.000000	0.106542
518.000000	0.043113
519.000000	0.028378
520.000000	0.020431
521.000000	0.020892
522.000000	0.018913
523.000000	0.019751
524.000000	0.019573
525.000000	0.023021
526.000000	0.019837
527.000000	0.020913
528.000000	0.021451
529.000000	0.022366
530.000000	0.023682
531.000000	0.022088
532.000000	0.019437
533.000000	0.023187
534.000000	0.025051
535.000000	0.024590
536.000000	0.026561
537.000000	0.025221
538.000000	0.026197
539.000000	0.025265
540.000000	0.027399
541.000000	0.028912
542.000000	0.033088
543.000000	0.030213
544.000000	0.034939
545.000000	0.040575
546.000000	0.049633
547.000000	0.059590
