#LICA Lamps Spectra Database
#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2017/12/26
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.1630	0.1320	0.0071
#xyY coordinates: 0.5395	0.4369	0.1320
#sRGB: 82	23	0
#CCT Lindbloom (K):	2038
#CCT McCamy (K):	2036
#CCT Hernández-Andrés (K):	1762
#Melatonin: 0.074
#Chlorophyll a: 0.171
#Chlorophyll b: 0.246
#Beta Carotene: 0.171
#Manufacturer: Unknown
#Luminance manufacturer: Unknown
#Other data: Riba-Roja de Turia streetlamps. Plaça de l'Ajuntament
#Begin Processed Spectral Data
W	S
475.000000	0.044035
476.000000	0.048072
477.000000	0.027184
478.000000	0.020474
479.000000	0.016186
480.000000	0.015322
481.000000	0.014812
482.000000	0.013698
483.000000	0.015040
484.000000	0.016251
485.000000	0.017349
486.000000	0.018136
487.000000	0.017985
488.000000	0.018461
489.000000	0.018476
490.000000	0.021077
491.000000	0.023571
492.000000	0.026672
493.000000	0.025961
494.000000	0.026203
495.000000	0.030061
496.000000	0.043737
497.000000	0.129233
498.000000	0.470750
499.000000	0.569839
500.000000	0.275011
501.000000	0.172783
502.000000	0.092420
503.000000	0.048346
504.000000	0.033931
505.000000	0.030329
506.000000	0.026931
507.000000	0.024177
508.000000	0.027594
509.000000	0.023831
510.000000	0.025735
511.000000	0.025979
512.000000	0.024047
513.000000	0.026230
514.000000	0.035345
515.000000	0.116968
516.000000	0.145815
517.000000	0.068435
518.000000	0.053890
519.000000	0.038890
520.000000	0.029951
521.000000	0.027354
522.000000	0.027690
523.000000	0.028300
524.000000	0.030360
525.000000	0.029321
526.000000	0.029582
527.000000	0.028824
528.000000	0.028199
529.000000	0.029601
530.000000	0.030013
531.000000	0.032236
532.000000	0.031233
533.000000	0.032333
534.000000	0.030321
535.000000	0.032022
536.000000	0.032145
537.000000	0.035384
538.000000	0.035709
539.000000	0.035906
540.000000	0.038117
541.000000	0.038028
542.000000	0.041188
543.000000	0.041358
544.000000	0.042216
545.000000	0.048703
546.000000	0.056493
547.000000	0.066787
548.000000	0.085422
549.000000	0.115935
550.000000	0.165683
551.000000	0.205260
552.000000	0.232521
553.000000	0.250468
554.000000	0.256871
555.000000	0.270743
556.000000	0.296863
557.000000	0.342307
558.000000	0.402424
559.000000	0.464165
560.000000	0.521922
561.000000	0.561272
562.000000	0.568496
563.000000	0.573956
564.000000	0.581910
565.000000	0.597511
566.000000	0.645776
567.000000	0.803564
568.000000	1.630268
569.000000	2.742639
570.000000	1.780131
571.000000	1.287804
572.000000	1.143992
573.000000	0.964928
574.000000	0.905263
575.000000	0.939814
576.000000	1.012705
577.000000	1.116359
578.000000	1.234606
579.000000	1.377683
580.000000	1.542447
581.000000	1.747709
582.000000	2.000355
583.000000	2.262672
584.000000	2.504073
585.000000	2.693192
586.000000	2.542687
587.000000	1.799569
588.000000	0.933341
589.000000	0.513306
590.000000	0.303163
591.000000	0.342439
592.000000	1.062048
593.000000	1.999947
594.000000	2.500511
595.000000	2.667693
596.000000	2.625442
597.000000	2.456251
598.000000	2.245812
599.000000	2.021386
600.000000	1.810837
601.000000	1.619490
602.000000	1.459044
603.000000	1.322904
604.000000	1.200545
605.000000	1.086342
606.000000	0.994563
607.000000	0.916989
608.000000	0.846162
609.000000	0.785446
610.000000	0.730294
611.000000	0.685001
612.000000	0.639898
613.000000	0.606842
614.000000	0.575369
615.000000	0.724950
616.000000	1.073465
617.000000	0.794132
618.000000	0.607124
619.000000	0.551862
620.000000	0.481323
621.000000	0.420457
622.000000	0.386425
623.000000	0.374909
624.000000	0.362019
625.000000	0.344984
626.000000	0.333717
627.000000	0.319628
628.000000	0.312744
629.000000	0.303203
630.000000	0.292563
631.000000	0.281456
632.000000	0.269231
633.000000	0.267165
634.000000	0.258945
635.000000	0.251171
636.000000	0.241954
637.000000	0.234431
638.000000	0.233640
639.000000	0.224139
640.000000	0.218078
641.000000	0.211441
642.000000	0.210810
