#LICA Lamps Spectra Database
#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2017/12/26
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.1832	0.1533	0.0126
#xyY coordinates: 0.5248	0.4392	0.1533
#sRGB: 90	28	0
#CCT Lindbloom (K):	2176
#CCT McCamy (K):	2172
#CCT Hernández-Andrés (K):	1951
#Melatonin: 0.104
#Chlorophyll a: 0.369
#Chlorophyll b: 0.289
#Beta Carotene: 0.369
#Manufacturer: Unknown
#Luminance manufacturer: Unknown
#Other data: Riba-Roja de Turia streetlamps. Yellowish.
#Begin Processed Spectral Data
W	S
475.000000	0.057521
476.000000	0.065574
477.000000	0.041645
478.000000	0.034904
479.000000	0.031282
480.000000	0.029526
481.000000	0.029732
482.000000	0.029297
483.000000	0.032009
484.000000	0.031554
485.000000	0.033765
486.000000	0.034138
487.000000	0.034864
488.000000	0.034740
489.000000	0.038602
490.000000	0.039128
491.000000	0.045057
492.000000	0.049327
493.000000	0.046432
494.000000	0.048466
495.000000	0.054327
496.000000	0.077977
497.000000	0.167419
498.000000	0.449109
499.000000	0.539931
500.000000	0.309210
501.000000	0.200106
502.000000	0.125543
503.000000	0.078894
504.000000	0.058573
505.000000	0.053946
506.000000	0.050825
507.000000	0.048110
508.000000	0.049059
509.000000	0.049941
510.000000	0.049747
511.000000	0.048920
512.000000	0.049383
513.000000	0.051789
514.000000	0.060904
515.000000	0.141537
516.000000	0.177744
517.000000	0.094183
518.000000	0.079869
519.000000	0.066469
520.000000	0.058475
521.000000	0.054064
522.000000	0.053544
523.000000	0.055255
524.000000	0.056818
525.000000	0.057499
526.000000	0.057437
527.000000	0.056630
528.000000	0.057965
529.000000	0.059112
530.000000	0.058952
531.000000	0.061290
532.000000	0.062005
533.000000	0.062405
534.000000	0.063865
535.000000	0.064806
536.000000	0.065732
537.000000	0.068977
538.000000	0.068778
539.000000	0.070761
540.000000	0.074871
541.000000	0.076758
542.000000	0.081176
543.000000	0.083412
544.000000	0.089180
545.000000	0.099534
546.000000	0.111726
547.000000	0.132875
548.000000	0.172800
549.000000	0.236234
550.000000	0.316516
551.000000	0.392644
552.000000	0.434686
553.000000	0.460912
554.000000	0.466029
555.000000	0.472214
556.000000	0.498037
557.000000	0.527491
558.000000	0.578557
559.000000	0.624510
560.000000	0.670690
561.000000	0.708160
562.000000	0.725725
563.000000	0.736988
564.000000	0.759123
565.000000	0.785890
566.000000	0.859357
567.000000	1.039529
568.000000	1.551401
569.000000	2.203801
570.000000	1.732306
571.000000	1.382880
572.000000	1.288836
573.000000	1.180208
574.000000	1.149259
575.000000	1.186321
576.000000	1.246294
577.000000	1.313872
578.000000	1.380104
579.000000	1.438692
580.000000	1.492136
581.000000	1.503751
582.000000	1.463378
583.000000	1.327736
584.000000	1.071516
585.000000	0.748875
586.000000	0.439528
587.000000	0.232597
588.000000	0.125004
589.000000	0.063576
590.000000	0.040236
591.000000	0.040792
592.000000	0.069388
593.000000	0.202319
594.000000	0.479942
595.000000	0.823245
596.000000	1.130134
597.000000	1.368548
598.000000	1.510708
599.000000	1.595414
600.000000	1.618386
601.000000	1.591849
602.000000	1.546662
603.000000	1.499713
604.000000	1.422033
605.000000	1.337515
606.000000	1.274184
607.000000	1.198941
608.000000	1.131724
609.000000	1.073938
610.000000	1.016129
611.000000	0.969320
612.000000	0.919769
613.000000	0.870418
614.000000	0.843976
615.000000	0.971155
616.000000	1.241426
617.000000	1.006415
618.000000	0.828467
619.000000	0.771812
620.000000	0.698106
621.000000	0.634537
622.000000	0.601578
623.000000	0.573914
624.000000	0.554645
625.000000	0.535906
626.000000	0.517687
627.000000	0.504240
628.000000	0.489133
629.000000	0.470104
630.000000	0.455687
631.000000	0.442259
632.000000	0.429316
633.000000	0.416476
634.000000	0.407436
635.000000	0.394810
636.000000	0.388675
637.000000	0.373526
638.000000	0.365102
639.000000	0.355164
640.000000	0.352636
641.000000	0.340861
642.000000	0.333431
643.000000	0.326672
644.000000	0.321007
645.000000	0.310678
646.000000	0.308429
647.000000	0.298950
648.000000	0.289727
649.000000	0.287716
650.000000	0.284841
651.000000	0.280775
652.000000	0.272580
653.000000	0.265208
654.000000	0.262315
655.000000	0.253787
656.000000	0.250129
657.000000	0.251100
658.000000	0.245212
659.000000	0.242425
660.000000	0.238142
661.000000	0.236201
662.000000	0.233422
663.000000	0.228921
664.000000	0.224143
665.000000	0.221811
666.000000	0.220054
667.000000	0.214193
668.000000	0.210342
669.000000	0.214355
670.000000	0.207096
671.000000	0.208644
672.000000	0.204981
673.000000	0.203889
674.000000	0.199521
675.000000	0.200321
676.000000	0.199882
677.000000	0.191608
678.000000	0.190239
679.000000	0.186575
680.000000	0.191707
681.000000	0.186587
682.000000	0.185967
683.000000	0.182496
684.000000	0.178353
685.000000	0.177798
686.000000	0.174995
687.000000	0.170091
688.000000	0.167595
689.000000	0.170045
690.000000	0.167623
691.000000	0.170142
692.000000	0.171170
693.000000	0.168347
694.000000	0.165733
695.000000	0.164783
696.000000	0.164215
697.000000	0.160560
698.000000	0.159941
699.000000	0.158489
700.000000	0.158696
701.000000	0.157501
702.000000	0.158897
703.000000	0.159873
704.000000	0.151997
705.000000	0.152163
706.000000	0.151546
707.000000	0.152757
708.000000	0.145703
709.000000	0.146931
710.000000	0.146244
711.000000	0.145836
712.000000	0.148013
713.000000	0.143034
714.000000	0.139263
715.000000	0.140649
716.000000	0.141400
717.000000	0.139787
718.000000	0.134376
719.000000	0.137077
720.000000	0.137206
721.000000	0.141641
722.000000	0.134820
723.000000	0.138078
724.000000	0.132568
725.000000	0.134481
