#LICA Lamps Spectra Database
#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2017/12/15
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.2155	0.1786	0.0379
#xyY coordinates: 0.4989	0.4134	0.1786
#sRGB: 103	33	4
#CCT Lindbloom (K):	2255
#CCT McCamy (K):	2236
#CCT Hernández-Andrés (K):	2053
#Melatonin: 0.209
#Chlorophyll a: 0.500
#Chlorophyll b: 0.379
#Beta Carotene: 0.499
#Manufacturer: Unknown
#Luminance manufacturer: Unknown
#Other data: Madrid streetlamp at Paraninfo Universidad Complutense
#Begin Processed Spectral Data
W	S
475.000000	0.133662
476.000000	0.131088
477.000000	0.111405
478.000000	0.095712
479.000000	0.083095
480.000000	0.087777
481.000000	0.083413
482.000000	0.090104
483.000000	0.089839
484.000000	0.094625
485.000000	0.092393
486.000000	0.091466
487.000000	0.083315
488.000000	0.088704
489.000000	0.092017
490.000000	0.098430
491.000000	0.107263
492.000000	0.110776
493.000000	0.108838
494.000000	0.110801
495.000000	0.121118
496.000000	0.153702
497.000000	0.277126
498.000000	0.652439
499.000000	0.739944
500.000000	0.488171
501.000000	0.279162
502.000000	0.162273
503.000000	0.118389
504.000000	0.106819
505.000000	0.096257
506.000000	0.097297
507.000000	0.096603
508.000000	0.095801
509.000000	0.095417
510.000000	0.095757
511.000000	0.100017
512.000000	0.102631
513.000000	0.096390
514.000000	0.107040
515.000000	0.222114
516.000000	0.254849
517.000000	0.171349
518.000000	0.119011
519.000000	0.097276
520.000000	0.097279
521.000000	0.097520
522.000000	0.096837
523.000000	0.092766
524.000000	0.097513
525.000000	0.099116
526.000000	0.092136
527.000000	0.086663
528.000000	0.089561
529.000000	0.089790
530.000000	0.097386
531.000000	0.094267
532.000000	0.092283
