# High Pressure Sodium
#
# average spectrum made of:
# HPS_High_Pressure_Sodium_1732K_SFH_Toledo_cor
# HPS_High_Pressure_Sodium_1819K_Riba_Roja_Plaza_Ajuntament_cor
# HPS_High_Pressure_Sodium_1869K_Riba_Roja_cor
# HPS_High_Pressure_Sodium_1895K_Ager_cor
# HPS_High_Pressure_Sodium_1920K_SFH_Alix_cor
# HPS_High_Pressure_Sodium_2005K_F_Fisicas_cor
# HPS_High_Pressure_Sodium_2038K_Riba_Roja_Plaza_Ajuntament_cor
# HPS_High_Pressure_Sodium_2176K_Riba_Roja_cor
# HPS_High_Pressure_Sodium_2255K_Paraninfo_UCM_cor
#
# W	S
475.000000	0.072039
476.000000	0.079129
477.000000	0.053451
478.000000	0.038970
479.000000	0.029502
480.000000	0.026674
481.000000	0.025327
482.000000	0.025899
483.000000	0.027631
484.000000	0.029341
485.000000	0.028160
486.000000	0.029290
487.000000	0.027549
488.000000	0.029135
489.000000	0.031630
490.000000	0.035366
491.000000	0.042985
492.000000	0.048857
493.000000	0.045956
494.000000	0.046848
495.000000	0.057533
496.000000	0.086030
497.000000	0.193150
498.000000	0.515808
499.000000	0.673039
500.000000	0.437209
501.000000	0.244311
502.000000	0.134202
503.000000	0.077420
504.000000	0.055172
505.000000	0.045247
506.000000	0.040777
507.000000	0.037986
508.000000	0.038057
509.000000	0.036288
510.000000	0.036403
511.000000	0.035390
512.000000	0.037360
513.000000	0.036653
514.000000	0.046736
515.000000	0.135095
516.000000	0.193268
517.000000	0.109129
518.000000	0.068032
519.000000	0.047569
520.000000	0.039707
521.000000	0.036681
522.000000	0.035603
523.000000	0.036139
524.000000	0.036295
525.000000	0.037047
526.000000	0.036203
527.000000	0.035585
528.000000	0.036681
529.000000	0.036545
530.000000	0.038091
531.000000	0.038243
532.000000	0.037880
533.000000	0.039163
534.000000	0.040342
535.000000	0.041537
536.000000	0.041811
537.000000	0.042704
538.000000	0.042325
539.000000	0.045042
540.000000	0.043711
541.000000	0.045631
542.000000	0.046664
543.000000	0.047650
544.000000	0.050374
545.000000	0.056267
546.000000	0.083023
547.000000	0.092243
548.000000	0.093913
549.000000	0.114274
550.000000	0.151179
551.000000	0.186513
552.000000	0.208790
553.000000	0.226161
554.000000	0.236743
555.000000	0.240128
556.000000	0.260623
557.000000	0.290071
558.000000	0.333654
559.000000	0.384254
560.000000	0.427978
561.000000	0.459096
562.000000	0.472056
563.000000	0.482832
564.000000	0.494321
565.000000	0.521897
566.000000	0.604927
567.000000	0.830609
568.000000	1.491806
569.000000	2.625193
570.000000	2.216394
571.000000	1.448409
572.000000	1.071661
573.000000	0.846168
574.000000	0.760035
575.000000	0.759542
576.000000	0.800274
577.000000	0.857947
578.000000	0.929174
579.000000	1.010958
580.000000	1.117197
581.000000	1.228208
582.000000	1.365713
583.000000	1.503484
584.000000	1.629766
585.000000	1.740890
586.000000	1.731494
587.000000	1.450206
588.000000	0.876423
589.000000	0.410628
590.000000	0.218614
591.000000	0.216627
592.000000	0.524505
593.000000	1.044589
594.000000	1.481245
595.000000	1.774629
596.000000	1.917554
597.000000	1.943193
598.000000	1.905034
599.000000	1.839685
600.000000	1.747119
601.000000	1.649825
602.000000	1.549486
603.000000	1.463439
604.000000	1.367920
605.000000	1.273425
606.000000	1.198881
607.000000	1.123404
608.000000	1.052565
609.000000	0.987946
610.000000	0.928281
611.000000	0.885005
612.000000	0.832327
613.000000	0.797126
614.000000	0.766015
615.000000	0.874873
616.000000	1.227293
617.000000	1.097575
618.000000	0.838104
619.000000	0.722037
620.000000	0.638456
621.000000	0.579616
622.000000	0.549774
623.000000	0.528766
624.000000	0.506444
625.000000	0.489685
626.000000	0.474945
627.000000	0.461086
628.000000	0.444089
629.000000	0.430728
630.000000	0.416268
631.000000	0.405135
632.000000	0.396320
633.000000	0.385155
634.000000	0.376776
635.000000	0.368177
636.000000	0.359680
637.000000	0.349791
638.000000	0.343954
639.000000	0.335779
640.000000	0.326311
641.000000	0.320880
642.000000	0.318326
643.000000	0.310533
644.000000	0.302994
645.000000	0.298604
646.000000	0.294655
647.000000	0.289370
648.000000	0.282363
649.000000	0.278788
650.000000	0.272756
651.000000	0.263667
652.000000	0.257226
653.000000	0.255225
654.000000	0.254369
655.000000	0.254512
656.000000	0.249319
657.000000	0.249597
658.000000	0.246601
659.000000	0.244667
660.000000	0.245054
661.000000	0.234500
662.000000	0.226681
663.000000	0.220827
664.000000	0.216438
665.000000	0.215323
666.000000	0.218905
667.000000	0.223553
668.000000	0.224503
669.000000	0.229638
670.000000	0.235635
671.000000	0.239488
672.000000	0.239119
673.000000	0.234666
674.000000	0.236624
675.000000	0.227510
676.000000	0.226302
677.000000	0.221916
678.000000	0.209976
679.000000	0.202018
680.000000	0.192054
681.000000	0.183562
682.000000	0.180441
683.000000	0.171330
