#LICA Lamps Spectra Database
#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2017/02/07
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.1625	0.1284	0.0182
#xyY coordinates: 0.5257	0.4155	0.1284
#sRGB: 82	21	1
#CCT Lindbloom (K):	2021
#CCT McCamy (K):	2004
#CCT Hernández-Andrés (K):	1730
#Melatonin: 0.180
#Chlorophyll a: 6.214
#Chlorophyll b: 0.552
#Beta Carotene: 6.186
#Manufacturer: Amberline
#Luminance manufacturer: 140 lm
#Other data: Amberline carbon filament lamp. Squirrel Cage filament design.
#Begin Processed Spectral Data
W	S
475.000000	0.046697
476.000000	0.048029
477.000000	0.049343
478.000000	0.050559
479.000000	0.051072
480.000000	0.052255
481.000000	0.053248
482.000000	0.054172
483.000000	0.055493
484.000000	0.056422
485.000000	0.058038
486.000000	0.059117
487.000000	0.060383
488.000000	0.061706
489.000000	0.062549
490.000000	0.063484
491.000000	0.064550
492.000000	0.065773
493.000000	0.067549
494.000000	0.068047
495.000000	0.069999
496.000000	0.070931
497.000000	0.073029
498.000000	0.075034
499.000000	0.075633
500.000000	0.077207
501.000000	0.078557
502.000000	0.080238
503.000000	0.082195
504.000000	0.083175
505.000000	0.084716
506.000000	0.086454
507.000000	0.088157
508.000000	0.089821
509.000000	0.091711
510.000000	0.093231
511.000000	0.095046
512.000000	0.097569
513.000000	0.097912
514.000000	0.101168
515.000000	0.103316
516.000000	0.104761
517.000000	0.106460
518.000000	0.108024
519.000000	0.110246
520.000000	0.111544
521.000000	0.113154
522.000000	0.114597
523.000000	0.117039
524.000000	0.120085
525.000000	0.121679
526.000000	0.125177
527.000000	0.125678
528.000000	0.128789
529.000000	0.130975
530.000000	0.132376
531.000000	0.135015
532.000000	0.135997
533.000000	0.137935
534.000000	0.139721
535.000000	0.143341
536.000000	0.146008
537.000000	0.147028
538.000000	0.149785
