#LICA Lamps Spectra Database
#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2017/02/07
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.4022	0.3634	0.1264
#xyY coordinates: 0.4508	0.4074	0.3634
#sRGB: 174	76	21
#CCT Lindbloom (K):	2805
#CCT McCamy (K):	2806
#CCT Hernández-Andrés (K):	2734
#Melatonin: 0.363
#Chlorophyll a: 3.288
#Chlorophyll b: 0.582
#Beta Carotene: 3.274
#Manufacturer: Philips
#Luminance manufacturer: Unknown
#Other data: 40W
#Begin Processed Spectral Data
W	S
475.000000	0.135918
476.000000	0.137481
477.000000	0.139434
478.000000	0.139775
479.000000	0.142322
480.000000	0.142709
481.000000	0.145014
482.000000	0.146847
483.000000	0.149228
484.000000	0.149728
485.000000	0.151979
486.000000	0.154694
487.000000	0.156157
488.000000	0.157000
489.000000	0.158557
490.000000	0.160684
491.000000	0.161899
492.000000	0.163183
493.000000	0.165985
494.000000	0.167941
495.000000	0.169253
496.000000	0.171791
497.000000	0.174023
498.000000	0.174750
499.000000	0.176832
500.000000	0.178727
501.000000	0.181192
502.000000	0.183289
503.000000	0.185585
504.000000	0.186536
505.000000	0.187622
506.000000	0.189376
507.000000	0.192727
508.000000	0.193761
509.000000	0.195322
510.000000	0.198370
511.000000	0.201776
512.000000	0.203874
513.000000	0.203943
514.000000	0.206269
515.000000	0.209747
516.000000	0.211632
517.000000	0.212426
518.000000	0.213902
519.000000	0.215404
520.000000	0.217433
521.000000	0.219241
522.000000	0.221851
523.000000	0.224685
524.000000	0.227345
525.000000	0.228565
526.000000	0.231617
527.000000	0.233165
528.000000	0.235970
529.000000	0.238191
530.000000	0.238767
531.000000	0.240758
532.000000	0.242723
533.000000	0.244057
534.000000	0.246899
535.000000	0.246627
536.000000	0.250910
537.000000	0.250956
