#LICA Lamps Spectra Database
#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2018/04/18
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.0343	0.0160	0.0012
#xyY coordinates: 0.6658	0.3100	0.0160
#sRGB: 22	0	0
#CCT Lindbloom (K):	---
#CCT McCamy (K):	3930
#CCT Hernández-Andrés (K):	---
#Melatonin: 0.089
#Chlorophyll a: 54.509
#Chlorophyll b: 1.399
#Beta Carotene: 54.254
#Manufacturer: Leuci
#Luminance manufacturer: Unknown
#Other data: 25W Special red
#Begin Processed Spectral Data
W	S
475.000000	0.003612
476.000000	0.003919
477.000000	0.004432
478.000000	0.003606
479.000000	0.004207
480.000000	0.003860
481.000000	0.004857
482.000000	0.004804
483.000000	0.004274
484.000000	0.004758
485.000000	0.004176
486.000000	0.004481
487.000000	0.004348
488.000000	0.003720
489.000000	0.004819
490.000000	0.004282
491.000000	0.004771
492.000000	0.004198
493.000000	0.004777
494.000000	0.004524
495.000000	0.004475
496.000000	0.004879
497.000000	0.004709
498.000000	0.004495
499.000000	0.004161
500.000000	0.005626
501.000000	0.005319
502.000000	0.004854
503.000000	0.005275
504.000000	0.004689
505.000000	0.004475
506.000000	0.004722
507.000000	0.004880
508.000000	0.004742
509.000000	0.004726
510.000000	0.004950
511.000000	0.005156
512.000000	0.004898
513.000000	0.004423
514.000000	0.005985
515.000000	0.004592
516.000000	0.005398
517.000000	0.005065
518.000000	0.005977
519.000000	0.005356
520.000000	0.006333
521.000000	0.004667
522.000000	0.005914
523.000000	0.005343
524.000000	0.005458
525.000000	0.005452
526.000000	0.005837
527.000000	0.005556
528.000000	0.005351
529.000000	0.005782
530.000000	0.006105
531.000000	0.006595
532.000000	0.005719
533.000000	0.005896
534.000000	0.005592
535.000000	0.006207
536.000000	0.006979
537.000000	0.005562
538.000000	0.006740
539.000000	0.006375
540.000000	0.005944
541.000000	0.006746
542.000000	0.006578
543.000000	0.006650
544.000000	0.006899
545.000000	0.006638
546.000000	0.006967
547.000000	0.006309
548.000000	0.007088
549.000000	0.006814
550.000000	0.007777
551.000000	0.007919
552.000000	0.007473
553.000000	0.007499
554.000000	0.007612
555.000000	0.008242
556.000000	0.008298
557.000000	0.008656
558.000000	0.009007
559.000000	0.008503
560.000000	0.007795
561.000000	0.008568
562.000000	0.009126
563.000000	0.008891
564.000000	0.008864
565.000000	0.009761
566.000000	0.010047
567.000000	0.010406
568.000000	0.009279
569.000000	0.010715
570.000000	0.010767
571.000000	0.012059
572.000000	0.011605
573.000000	0.012479
574.000000	0.012045
575.000000	0.012341
576.000000	0.013858
577.000000	0.014726
578.000000	0.015334
579.000000	0.015853
580.000000	0.018206
581.000000	0.018102
582.000000	0.020927
583.000000	0.020638
584.000000	0.023611
585.000000	0.023490
586.000000	0.026299
587.000000	0.027936
588.000000	0.029502
589.000000	0.031425
590.000000	0.033475
591.000000	0.035272
592.000000	0.038423
593.000000	0.041322
594.000000	0.044633
595.000000	0.048329
596.000000	0.050781
597.000000	0.054176
598.000000	0.060731
599.000000	0.063585
600.000000	0.069485
601.000000	0.073096
602.000000	0.077426
603.000000	0.081676
604.000000	0.088466
605.000000	0.094502
606.000000	0.099375
607.000000	0.102768
608.000000	0.111017
609.000000	0.113901
610.000000	0.121270
611.000000	0.126168
612.000000	0.136432
613.000000	0.144968
614.000000	0.148708
615.000000	0.158217
616.000000	0.168538
617.000000	0.173035
618.000000	0.182655
619.000000	0.189229
620.000000	0.200142
621.000000	0.210720
622.000000	0.217914
623.000000	0.219698
624.000000	0.232446
625.000000	0.243618
626.000000	0.250829
627.000000	0.258920
628.000000	0.271687
629.000000	0.277182
630.000000	0.284015
631.000000	0.295938
632.000000	0.303217
633.000000	0.316413
634.000000	0.325685
635.000000	0.331474
636.000000	0.342308
637.000000	0.356019
638.000000	0.363676
639.000000	0.376722
640.000000	0.386754
641.000000	0.395704
642.000000	0.407527
643.000000	0.415780
644.000000	0.426811
645.000000	0.438016
646.000000	0.450841
647.000000	0.463868
648.000000	0.473603
649.000000	0.488363
650.000000	0.497530
651.000000	0.507519
652.000000	0.526040
653.000000	0.528371
654.000000	0.544853
655.000000	0.564817
656.000000	0.564076
657.000000	0.584267
658.000000	0.594877
659.000000	0.609218
660.000000	0.628295
661.000000	0.643541
662.000000	0.657763
663.000000	0.668684
664.000000	0.678927
665.000000	0.699897
666.000000	0.714988
667.000000	0.729455
668.000000	0.740686
669.000000	0.756213
670.000000	0.779098
671.000000	0.798934
672.000000	0.807422
673.000000	0.831742
674.000000	0.845135
675.000000	0.862625
676.000000	0.884532
677.000000	0.905468
678.000000	0.914606
679.000000	0.936886
680.000000	0.962622
681.000000	0.976647
682.000000	0.983541
683.000000	1.012653
684.000000	1.032135
685.000000	1.047923
686.000000	1.065953
687.000000	1.081636
688.000000	1.096669
689.000000	1.119532
690.000000	1.141421
691.000000	1.176339
692.000000	1.189920
693.000000	1.218174
694.000000	1.235215
695.000000	1.252439
696.000000	1.276336
697.000000	1.292604
698.000000	1.322666
699.000000	1.345561
700.000000	1.373719
701.000000	1.405294
702.000000	1.424699
703.000000	1.465340
704.000000	1.476397
705.000000	1.479673
706.000000	1.501823
707.000000	1.519897
708.000000	1.554497
709.000000	1.589399
710.000000	1.612133
711.000000	1.642865
712.000000	1.656064
713.000000	1.657522
714.000000	1.698276
715.000000	1.714076
716.000000	1.736852
717.000000	1.759386
718.000000	1.785918
719.000000	1.807359
720.000000	1.844180
721.000000	1.854104
722.000000	1.892524
723.000000	1.909140
724.000000	1.930141
725.000000	1.953081
