#LICA Lamps Spectra Database
#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2018/05/04
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.6477	0.4921	0.0253
#xyY coordinates: 0.5559	0.4224	0.4921
#sRGB: 255	57	0
#CCT Lindbloom (K):	1833
#CCT McCamy (K):	1839
#CCT Hernández-Andrés (K):	1454
#Melatonin: 0.062
#Chlorophyll a: 0.153
#Chlorophyll b: 0.368
#Beta Carotene: 0.155
#Manufacturer: Wetalux
#Luminance manufacturer: Unknown
#Other data: LED Ambar 5W Opal
#Begin Processed Spectral Data
W	S
475.000000	0.011658
476.000000	0.010852
477.000000	0.010040
478.000000	0.009944
479.000000	0.009679
480.000000	0.009255
481.000000	0.008730
482.000000	0.008694
483.000000	0.008298
484.000000	0.008099
485.000000	0.007909
486.000000	0.007686
487.000000	0.007083
488.000000	0.007255
489.000000	0.006945
490.000000	0.006996
491.000000	0.006795
492.000000	0.006780
493.000000	0.006958
494.000000	0.007193
495.000000	0.007426
496.000000	0.007763
497.000000	0.007994
498.000000	0.008324
499.000000	0.008678
500.000000	0.009197
501.000000	0.009542
502.000000	0.009943
503.000000	0.010563
504.000000	0.011030
505.000000	0.011734
506.000000	0.012680
507.000000	0.013253
508.000000	0.013971
509.000000	0.015205
510.000000	0.016130
511.000000	0.017017
512.000000	0.018207
513.000000	0.019186
514.000000	0.020694
515.000000	0.022283
516.000000	0.023447
517.000000	0.024913
518.000000	0.026382
519.000000	0.028341
520.000000	0.030098
521.000000	0.032353
522.000000	0.034579
523.000000	0.037245
524.000000	0.039781
525.000000	0.042587
526.000000	0.045505
527.000000	0.049453
528.000000	0.052871
529.000000	0.057084
530.000000	0.061606
531.000000	0.065909
532.000000	0.071466
533.000000	0.076591
534.000000	0.082501
535.000000	0.090045
536.000000	0.097204
537.000000	0.104459
538.000000	0.113056
539.000000	0.122676
540.000000	0.131972
541.000000	0.144681
542.000000	0.155898
543.000000	0.168647
544.000000	0.181246
545.000000	0.196084
546.000000	0.210911
547.000000	0.226756
548.000000	0.245821
549.000000	0.262080
550.000000	0.281630
551.000000	0.303988
552.000000	0.324213
553.000000	0.347835
554.000000	0.369905
555.000000	0.392506
556.000000	0.421548
557.000000	0.447428
558.000000	0.475356
559.000000	0.502068
560.000000	0.530400
561.000000	0.558948
562.000000	0.583655
563.000000	0.607163
564.000000	0.632687
565.000000	0.657080
566.000000	0.685747
567.000000	0.711504
568.000000	0.733524
569.000000	0.758545
570.000000	0.778408
571.000000	0.800292
572.000000	0.826157
573.000000	0.843343
574.000000	0.861354
575.000000	0.879700
576.000000	0.895520
577.000000	0.917098
578.000000	0.932926
579.000000	0.945851
580.000000	0.957905
581.000000	0.974177
582.000000	0.988615
583.000000	1.004957
584.000000	1.018939
585.000000	1.033899
586.000000	1.044124
587.000000	1.050741
588.000000	1.056806
589.000000	1.059341
590.000000	1.068578
591.000000	1.073649
592.000000	1.075171
593.000000	1.081167
594.000000	1.080181
595.000000	1.084168
596.000000	1.082009
597.000000	1.081003
598.000000	1.083366
599.000000	1.085514
600.000000	1.087050
601.000000	1.081030
602.000000	1.082212
603.000000	1.079360
604.000000	1.073881
605.000000	1.060218
606.000000	1.053262
607.000000	1.041064
608.000000	1.028647
609.000000	1.017066
610.000000	1.006693
611.000000	1.000984
612.000000	0.985929
613.000000	0.974014
614.000000	0.967605
615.000000	0.961198
616.000000	0.949388
617.000000	0.941913
618.000000	0.938510
619.000000	0.921972
620.000000	0.914185
621.000000	0.892392
622.000000	0.874376
623.000000	0.864548
624.000000	0.845689
625.000000	0.833932
626.000000	0.818935
627.000000	0.803096
628.000000	0.789433
629.000000	0.769684
630.000000	0.753159
631.000000	0.738926
632.000000	0.722318
633.000000	0.706388
634.000000	0.692948
635.000000	0.677136
636.000000	0.661552
637.000000	0.649485
638.000000	0.635996
639.000000	0.618608
640.000000	0.604693
641.000000	0.592588
642.000000	0.580399
643.000000	0.565728
644.000000	0.555262
645.000000	0.539994
646.000000	0.528970
647.000000	0.518019
648.000000	0.506929
649.000000	0.497835
650.000000	0.481581
651.000000	0.470627
652.000000	0.460386
653.000000	0.447105
654.000000	0.436765
655.000000	0.423932
656.000000	0.412709
657.000000	0.402067
658.000000	0.392894
659.000000	0.382500
660.000000	0.371149
661.000000	0.362892
662.000000	0.353986
663.000000	0.343432
664.000000	0.333044
665.000000	0.325271
666.000000	0.315906
667.000000	0.306225
668.000000	0.296385
669.000000	0.289643
670.000000	0.281766
671.000000	0.273957
672.000000	0.267346
673.000000	0.258610
674.000000	0.250486
675.000000	0.244067
676.000000	0.235901
677.000000	0.229274
678.000000	0.222091
679.000000	0.215192
680.000000	0.208443
681.000000	0.203357
682.000000	0.196375
683.000000	0.191035
684.000000	0.184572
685.000000	0.180463
686.000000	0.173821
687.000000	0.166890
688.000000	0.162447
689.000000	0.156354
690.000000	0.152697
691.000000	0.148287
692.000000	0.144968
693.000000	0.139436
694.000000	0.135377
695.000000	0.131033
696.000000	0.127445
697.000000	0.122829
698.000000	0.117749
699.000000	0.115390
700.000000	0.112580
701.000000	0.110022
702.000000	0.105845
703.000000	0.102550
704.000000	0.099961
705.000000	0.095919
706.000000	0.093745
707.000000	0.088416
708.000000	0.086174
709.000000	0.084013
710.000000	0.081685
711.000000	0.079085
712.000000	0.074860
713.000000	0.074138
714.000000	0.071467
715.000000	0.069701
716.000000	0.067585
717.000000	0.064710
718.000000	0.063390
719.000000	0.060727
720.000000	0.059273
721.000000	0.058280
722.000000	0.056493
723.000000	0.053740
724.000000	0.052219
725.000000	0.050591
