#LICA Lamps Spectra Database
#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2018/04/15
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.6820	0.5481	0.0789
#xyY coordinates: 0.5210	0.4187	0.5481
#sRGB: 255	71	2
#CCT Lindbloom (K):	2082
#CCT McCamy (K):	2065
#CCT Hernández-Andrés (K):	1816
#Melatonin: 0.155
#Chlorophyll a: 0.649
#Chlorophyll b: 0.514
#Beta Carotene: 0.647
#Manufacturer: MM Electric
#Luminance manufacturer: 120lm 
#Other data: Gold Curve. Vintage LED - Mini Edison 2200K
#Begin Processed Spectral Data
W	S
475.000000	0.042355
476.000000	0.040594
477.000000	0.039296
478.000000	0.037235
479.000000	0.035742
480.000000	0.033560
481.000000	0.033619
482.000000	0.032515
483.000000	0.031738
484.000000	0.031530
485.000000	0.030969
486.000000	0.031975
487.000000	0.032238
488.000000	0.032752
489.000000	0.032706
490.000000	0.034239
491.000000	0.034812
492.000000	0.035869
493.000000	0.037466
494.000000	0.038819
495.000000	0.041516
496.000000	0.043111
497.000000	0.045366
498.000000	0.048871
499.000000	0.051062
500.000000	0.054300
501.000000	0.058987
502.000000	0.062343
503.000000	0.067459
504.000000	0.071025
505.000000	0.076217
506.000000	0.081102
507.000000	0.087714
508.000000	0.091269
509.000000	0.098170
510.000000	0.104695
511.000000	0.110100
512.000000	0.117597
513.000000	0.122871
514.000000	0.130096
515.000000	0.135048
516.000000	0.141938
517.000000	0.147290
518.000000	0.151427
519.000000	0.158253
520.000000	0.163849
521.000000	0.170674
522.000000	0.175368
523.000000	0.182802
524.000000	0.190184
525.000000	0.194660
526.000000	0.201123
527.000000	0.207366
528.000000	0.213069
529.000000	0.219315
530.000000	0.226150
531.000000	0.229157
532.000000	0.234922
533.000000	0.237882
534.000000	0.242121
535.000000	0.247771
536.000000	0.254612
537.000000	0.257306
538.000000	0.263550
539.000000	0.268226
540.000000	0.274123
541.000000	0.280382
542.000000	0.283988
543.000000	0.290088
544.000000	0.292773
545.000000	0.298682
546.000000	0.303472
547.000000	0.306140
548.000000	0.312059
549.000000	0.315782
550.000000	0.322164
551.000000	0.326607
552.000000	0.332943
553.000000	0.337491
554.000000	0.342854
555.000000	0.349007
556.000000	0.356356
557.000000	0.362702
558.000000	0.364776
559.000000	0.372988
560.000000	0.379246
561.000000	0.383842
562.000000	0.389972
563.000000	0.393446
564.000000	0.397901
565.000000	0.404066
566.000000	0.409554
567.000000	0.418094
568.000000	0.422756
569.000000	0.428893
570.000000	0.431844
571.000000	0.436440
572.000000	0.445494
573.000000	0.449573
574.000000	0.458321
575.000000	0.461893
576.000000	0.468914
577.000000	0.475306
578.000000	0.484796
579.000000	0.488542
580.000000	0.497791
581.000000	0.506586
582.000000	0.510879
583.000000	0.521638
584.000000	0.531178
585.000000	0.539368
586.000000	0.544375
587.000000	0.549564
588.000000	0.557918
589.000000	0.563859
590.000000	0.573007
591.000000	0.580578
592.000000	0.585682
593.000000	0.594745
594.000000	0.602452
595.000000	0.607945
596.000000	0.617954
597.000000	0.622417
598.000000	0.630659
599.000000	0.640763
600.000000	0.649466
601.000000	0.648349
602.000000	0.660908
603.000000	0.670680
604.000000	0.673493
605.000000	0.675683
606.000000	0.684595
607.000000	0.681227
608.000000	0.686835
609.000000	0.692924
610.000000	0.694767
611.000000	0.704418
612.000000	0.702673
613.000000	0.707418
614.000000	0.711329
615.000000	0.722686
616.000000	0.726613
617.000000	0.736419
618.000000	0.742255
619.000000	0.747832
620.000000	0.747007
621.000000	0.746392
622.000000	0.750212
623.000000	0.750041
624.000000	0.749141
625.000000	0.755610
626.000000	0.754459
627.000000	0.757630
628.000000	0.753894
629.000000	0.752125
630.000000	0.749084
631.000000	0.752398
632.000000	0.751241
633.000000	0.748163
634.000000	0.749836
635.000000	0.745192
636.000000	0.743825
637.000000	0.740915
638.000000	0.737231
639.000000	0.732769
640.000000	0.730896
641.000000	0.726661
642.000000	0.727987
643.000000	0.716543
644.000000	0.716421
645.000000	0.706821
646.000000	0.702631
647.000000	0.696192
648.000000	0.695718
649.000000	0.694954
650.000000	0.683056
651.000000	0.676167
652.000000	0.667060
653.000000	0.661593
654.000000	0.650678
655.000000	0.645105
656.000000	0.637390
657.000000	0.627501
658.000000	0.618932
659.000000	0.615722
660.000000	0.602101
661.000000	0.600662
662.000000	0.591991
663.000000	0.582828
664.000000	0.571846
665.000000	0.566096
666.000000	0.554651
667.000000	0.548171
668.000000	0.535039
669.000000	0.532005
670.000000	0.522185
671.000000	0.520305
672.000000	0.513160
673.000000	0.502814
674.000000	0.487528
675.000000	0.482044
676.000000	0.475265
677.000000	0.465198
678.000000	0.456062
679.000000	0.452040
680.000000	0.442177
681.000000	0.433496
682.000000	0.423271
683.000000	0.417586
684.000000	0.406095
685.000000	0.405605
686.000000	0.394741
687.000000	0.385554
688.000000	0.377646
689.000000	0.368444
690.000000	0.365135
691.000000	0.356983
692.000000	0.352417
693.000000	0.342989
694.000000	0.339922
695.000000	0.330735
696.000000	0.320781
697.000000	0.314857
698.000000	0.305462
699.000000	0.299341
700.000000	0.296242
701.000000	0.289681
702.000000	0.282470
703.000000	0.280763
704.000000	0.269976
705.000000	0.264861
706.000000	0.256361
707.000000	0.247167
708.000000	0.244075
709.000000	0.238909
710.000000	0.235145
711.000000	0.228188
712.000000	0.225929
713.000000	0.218788
714.000000	0.214231
715.000000	0.206518
716.000000	0.203225
717.000000	0.200338
718.000000	0.195018
719.000000	0.189838
720.000000	0.190013
721.000000	0.187754
722.000000	0.181431
723.000000	0.175600
724.000000	0.172706
725.000000	0.166749
