#LICA Lamps Spectra Database
#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2017/12/17
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.6673	0.5449	0.1462
#xyY coordinates: 0.4912	0.4011	0.5449
#sRGB: 255	78	16
#CCT Lindbloom (K):	2248
#CCT McCamy (K):	2220
#CCT Hernández-Andrés (K):	2043
#Melatonin: 0.249
#Chlorophyll a: 0.709
#Chlorophyll b: 0.592
#Beta Carotene: 0.707
#Manufacturer: MM Electric
#Luminance manufacturer: 120lm 
#Other data: Gold Curve. Vintage LED - Mini Edison 2200K
#Begin Processed Spectral Data
W	S
475.000000	0.146630
476.000000	0.143376
477.000000	0.140109
478.000000	0.132631
479.000000	0.129745
480.000000	0.124545
481.000000	0.122032
482.000000	0.118243
483.000000	0.115087
484.000000	0.112944
485.000000	0.111905
486.000000	0.112477
487.000000	0.112027
488.000000	0.112402
489.000000	0.114192
490.000000	0.115714
491.000000	0.117324
492.000000	0.117862
493.000000	0.120135
494.000000	0.122041
495.000000	0.123062
496.000000	0.126714
497.000000	0.127583
498.000000	0.130627
499.000000	0.132603
500.000000	0.134639
501.000000	0.139030
502.000000	0.141483
503.000000	0.145496
504.000000	0.148574
505.000000	0.151458
506.000000	0.154352
507.000000	0.158661
508.000000	0.162573
509.000000	0.164794
510.000000	0.168910
511.000000	0.174166
512.000000	0.176848
513.000000	0.176460
514.000000	0.182682
515.000000	0.187950
516.000000	0.190333
517.000000	0.192905
518.000000	0.194278
519.000000	0.197641
520.000000	0.200193
521.000000	0.202006
522.000000	0.205003
523.000000	0.208662
524.000000	0.212253
525.000000	0.215271
526.000000	0.218603
527.000000	0.220258
528.000000	0.223999
529.000000	0.227625
530.000000	0.230338
531.000000	0.233105
532.000000	0.234856
533.000000	0.236217
534.000000	0.239387
535.000000	0.241332
536.000000	0.244217
537.000000	0.247014
538.000000	0.249153
539.000000	0.254912
540.000000	0.256139
541.000000	0.261718
542.000000	0.263175
543.000000	0.267827
544.000000	0.270418
545.000000	0.272370
546.000000	0.274839
547.000000	0.279290
548.000000	0.282878
549.000000	0.285666
550.000000	0.290265
551.000000	0.296357
552.000000	0.297749
553.000000	0.303534
554.000000	0.308642
555.000000	0.313023
556.000000	0.320578
557.000000	0.323975
558.000000	0.330101
559.000000	0.333832
560.000000	0.337495
561.000000	0.341510
562.000000	0.344682
563.000000	0.347529
564.000000	0.353623
565.000000	0.356436
566.000000	0.361439
567.000000	0.368150
568.000000	0.369893
569.000000	0.374806
570.000000	0.378809
571.000000	0.384222
572.000000	0.389286
573.000000	0.394672
574.000000	0.400394
575.000000	0.406222
576.000000	0.412278
577.000000	0.417244
578.000000	0.423993
579.000000	0.426419
580.000000	0.433373
581.000000	0.439383
582.000000	0.444915
583.000000	0.455186
584.000000	0.466406
585.000000	0.474587
586.000000	0.479145
587.000000	0.487773
588.000000	0.491402
589.000000	0.497538
590.000000	0.505497
591.000000	0.512380
592.000000	0.517123
593.000000	0.527566
594.000000	0.534845
595.000000	0.540431
596.000000	0.548210
597.000000	0.554244
598.000000	0.563009
599.000000	0.568241
600.000000	0.580748
601.000000	0.584022
602.000000	0.593877
603.000000	0.600139
604.000000	0.605537
605.000000	0.610109
606.000000	0.613367
607.000000	0.613855
608.000000	0.621139
609.000000	0.621814
610.000000	0.633532
611.000000	0.637768
612.000000	0.638874
613.000000	0.649006
614.000000	0.658043
615.000000	0.666903
616.000000	0.676090
617.000000	0.684062
618.000000	0.695567
619.000000	0.700003
620.000000	0.703852
621.000000	0.704124
622.000000	0.706169
623.000000	0.710193
624.000000	0.709872
625.000000	0.713541
626.000000	0.713937
627.000000	0.712987
628.000000	0.721482
629.000000	0.719812
630.000000	0.719355
631.000000	0.723499
632.000000	0.718947
633.000000	0.722498
634.000000	0.721065
635.000000	0.722866
636.000000	0.720682
637.000000	0.719904
638.000000	0.716241
639.000000	0.717339
640.000000	0.712486
641.000000	0.711758
642.000000	0.712147
643.000000	0.708578
644.000000	0.705064
645.000000	0.706875
646.000000	0.701387
647.000000	0.697865
648.000000	0.693352
