# LED 1833K-2877K
# average spectrum 
# W	S
475.000000	0.824047
476.000000	0.782255
477.000000	0.751271
478.000000	0.709051
479.000000	0.671826
480.000000	0.644860
481.000000	0.619674
482.000000	0.594337
483.000000	0.573778
484.000000	0.550086
485.000000	0.537382
486.000000	0.518970
487.000000	0.503514
488.000000	0.488223
489.000000	0.475409
490.000000	0.465585
491.000000	0.465505
492.000000	0.453950
493.000000	0.456244
494.000000	0.448813
495.000000	0.448594
496.000000	0.449444
497.000000	0.451577
498.000000	0.454738
499.000000	0.458473
500.000000	0.460354
501.000000	0.465232
502.000000	0.473854
503.000000	0.479269
504.000000	0.482783
505.000000	0.489740
506.000000	0.499875
507.000000	0.508666
508.000000	0.518260
509.000000	0.526563
510.000000	0.534815
511.000000	0.550083
512.000000	0.560680
513.000000	0.556053
514.000000	0.573206
515.000000	0.583302
516.000000	0.589687
517.000000	0.596008
518.000000	0.598943
519.000000	0.608083
520.000000	0.612119
521.000000	0.620824
522.000000	0.625532
523.000000	0.629712
524.000000	0.642827
525.000000	0.645949
526.000000	0.649981
527.000000	0.660070
528.000000	0.665858
529.000000	0.669877
530.000000	0.670698
531.000000	0.674599
532.000000	0.672964
533.000000	0.674643
534.000000	0.674950
535.000000	0.677078
536.000000	0.685211
537.000000	0.686638
538.000000	0.686984
539.000000	0.692510
540.000000	0.686646
541.000000	0.691128
542.000000	0.690335
543.000000	0.694611
544.000000	0.688899
545.000000	0.692622
546.000000	0.685653
547.000000	0.691089
548.000000	0.689046
549.000000	0.689619
550.000000	0.685126
551.000000	0.685141
552.000000	0.683132
553.000000	0.682430
554.000000	0.685235
555.000000	0.680435
556.000000	0.683677
557.000000	0.687262
558.000000	0.684350
559.000000	0.680955
560.000000	0.685110
561.000000	0.683222
562.000000	0.671976
563.000000	0.671405
564.000000	0.659808
565.000000	0.665185
566.000000	0.661907
567.000000	0.660460
568.000000	0.649008
569.000000	0.648497
570.000000	0.637741
571.000000	0.637030
572.000000	0.632398
573.000000	0.630372
574.000000	0.622940
575.000000	0.618527
576.000000	0.611353
577.000000	0.609644
578.000000	0.602001
579.000000	0.598568
580.000000	0.596458
581.000000	0.589534
582.000000	0.587568
583.000000	0.581951
584.000000	0.580132
585.000000	0.579197
586.000000	0.565466
587.000000	0.559788
588.000000	0.555934
589.000000	0.549353
590.000000	0.540267
591.000000	0.538900
592.000000	0.531366
593.000000	0.527990
594.000000	0.520817
595.000000	0.513232
596.000000	0.512003
597.000000	0.498086
598.000000	0.497949
599.000000	0.494659
600.000000	0.494601
601.000000	0.480973
602.000000	0.477288
603.000000	0.468434
604.000000	0.467955
605.000000	0.454264
606.000000	0.450898
607.000000	0.439384
608.000000	0.437345
609.000000	0.430476
610.000000	0.422779
611.000000	0.418081
612.000000	0.409836
613.000000	0.406399
614.000000	0.406304
615.000000	0.398985
616.000000	0.394002
617.000000	0.392946
618.000000	0.388364
619.000000	0.383288
620.000000	0.375579
621.000000	0.368399
622.000000	0.363286
623.000000	0.357111
624.000000	0.347294
625.000000	0.345704
626.000000	0.339056
627.000000	0.332239
628.000000	0.327532
629.000000	0.324257
630.000000	0.317789
631.000000	0.309826
632.000000	0.305907
633.000000	0.296201
634.000000	0.291364
635.000000	0.289218
636.000000	0.282266
637.000000	0.276741
638.000000	0.265759
639.000000	0.265959
640.000000	0.260331
641.000000	0.257277
642.000000	0.249721
643.000000	0.244299
644.000000	0.243959
645.000000	0.236956
646.000000	0.230005
647.000000	0.225778
648.000000	0.222346
649.000000	0.217453
650.000000	0.212967
651.000000	0.212442
652.000000	0.201812
653.000000	0.198564
654.000000	0.196880
655.000000	0.193828
656.000000	0.188920
657.000000	0.184057
658.000000	0.178769
659.000000	0.176667
660.000000	0.170656
661.000000	0.170200
662.000000	0.166480
663.000000	0.159995
664.000000	0.157892
665.000000	0.157665
666.000000	0.152464
667.000000	0.148071
668.000000	0.146069
669.000000	0.141938
670.000000	0.137092
671.000000	0.133938
672.000000	0.131761
673.000000	0.126666
674.000000	0.126327
675.000000	0.124167
676.000000	0.123692
677.000000	0.119978
678.000000	0.113586
679.000000	0.116630
680.000000	0.114853
681.000000	0.109903
682.000000	0.100851
683.000000	0.104116
684.000000	0.101924
685.000000	0.097063
686.000000	0.093701
687.000000	0.092655
688.000000	0.093984
689.000000	0.085885
690.000000	0.088105
691.000000	0.085782
692.000000	0.083686
693.000000	0.080980
694.000000	0.078939
695.000000	0.074274
696.000000	0.074230
697.000000	0.070892
698.000000	0.070667
699.000000	0.071376
700.000000	0.069441
701.000000	0.068035
702.000000	0.061926
703.000000	0.060547
704.000000	0.060391
705.000000	0.061140
706.000000	0.059496
707.000000	0.059293
708.000000	0.057249
709.000000	0.052250
710.000000	0.051220
711.000000	0.050634
712.000000	0.051876
713.000000	0.044347
714.000000	0.050332
715.000000	0.044603
716.000000	0.043603
717.000000	0.044791
718.000000	0.042022
719.000000	0.038222
720.000000	0.041770
721.000000	0.040817
722.000000	0.039861
723.000000	0.039092
724.000000	0.038397
725.000000	0.034290
