#LICA Lamps Spectra Database
#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2017/12/26
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.7289	0.6370	0.1950
#xyY coordinates: 0.4670	0.4081	0.6370
#sRGB: 255	99	23
#CCT Lindbloom (K):	2584
#CCT McCamy (K):	2576
#CCT Hernández-Andrés (K):	2474
#Melatonin: 0.273
#Chlorophyll a: 0.178
#Chlorophyll b: 0.538
#Beta Carotene: 0.179
#Manufacturer: Unknown
#Luminance manufacturer: Unknown
#Other data: Riba-Roja de Turia streetlamps
#Begin Processed Spectral Data
W	S
475.000000	0.119862
476.000000	0.114497
477.000000	0.115675
478.000000	0.110650
479.000000	0.113487
480.000000	0.114811
481.000000	0.115437
482.000000	0.114312
483.000000	0.116693
484.000000	0.121069
485.000000	0.123282
486.000000	0.124783
487.000000	0.127584
488.000000	0.132404
489.000000	0.133127
490.000000	0.136372
491.000000	0.141716
492.000000	0.147155
493.000000	0.150074
494.000000	0.157894
495.000000	0.161921
496.000000	0.164688
497.000000	0.173081
498.000000	0.180894
499.000000	0.188080
500.000000	0.190536
501.000000	0.199857
502.000000	0.202787
503.000000	0.208245
504.000000	0.216179
505.000000	0.221582
506.000000	0.225573
507.000000	0.230132
508.000000	0.235402
509.000000	0.242937
510.000000	0.245637
511.000000	0.251794
512.000000	0.259750
513.000000	0.260877
514.000000	0.266555
515.000000	0.272501
516.000000	0.276346
517.000000	0.276614
518.000000	0.280513
519.000000	0.282645
520.000000	0.285883
521.000000	0.287530
522.000000	0.294317
523.000000	0.295433
524.000000	0.302237
525.000000	0.304244
526.000000	0.311426
527.000000	0.311077
528.000000	0.316298
529.000000	0.321767
530.000000	0.317728
531.000000	0.320949
532.000000	0.325933
533.000000	0.327612
534.000000	0.329990
535.000000	0.336056
536.000000	0.335638
537.000000	0.339015
538.000000	0.344264
539.000000	0.343774
540.000000	0.353180
541.000000	0.359447
542.000000	0.357839
543.000000	0.366084
544.000000	0.367932
545.000000	0.371363
546.000000	0.374800
547.000000	0.380596
548.000000	0.387468
549.000000	0.391227
550.000000	0.396735
551.000000	0.406639
552.000000	0.414380
553.000000	0.417452
554.000000	0.420620
555.000000	0.427559
556.000000	0.438846
557.000000	0.448876
558.000000	0.461174
559.000000	0.461803
560.000000	0.476700
561.000000	0.482178
562.000000	0.490886
563.000000	0.496083
564.000000	0.503903
565.000000	0.508468
566.000000	0.519653
567.000000	0.528969
568.000000	0.537484
569.000000	0.551872
570.000000	0.552664
571.000000	0.564603
572.000000	0.572869
573.000000	0.583971
574.000000	0.588897
575.000000	0.595838
576.000000	0.604434
577.000000	0.616300
578.000000	0.624553
579.000000	0.632966
580.000000	0.642149
581.000000	0.655528
582.000000	0.665726
583.000000	0.673394
584.000000	0.691067
585.000000	0.700061
586.000000	0.713765
587.000000	0.718750
588.000000	0.725773
589.000000	0.733797
590.000000	0.739110
591.000000	0.751175
592.000000	0.758606
593.000000	0.759437
594.000000	0.771899
595.000000	0.772176
596.000000	0.775637
597.000000	0.780607
598.000000	0.786482
599.000000	0.792831
600.000000	0.798331
601.000000	0.806199
602.000000	0.808556
603.000000	0.807893
604.000000	0.814416
605.000000	0.807965
606.000000	0.811255
607.000000	0.806632
608.000000	0.806574
609.000000	0.806788
610.000000	0.801117
611.000000	0.800719
612.000000	0.802415
613.000000	0.790780
614.000000	0.796376
615.000000	0.793363
616.000000	0.790424
617.000000	0.788483
618.000000	0.795150
619.000000	0.790524
620.000000	0.784698
621.000000	0.770152
622.000000	0.758858
623.000000	0.759014
624.000000	0.747990
625.000000	0.743838
626.000000	0.736769
627.000000	0.729668
628.000000	0.716789
629.000000	0.710533
630.000000	0.697812
631.000000	0.689611
632.000000	0.680269
633.000000	0.665479
634.000000	0.657797
635.000000	0.644515
636.000000	0.632079
637.000000	0.630539
638.000000	0.621208
639.000000	0.605282
640.000000	0.598912
641.000000	0.577177
642.000000	0.574076
643.000000	0.559457
644.000000	0.553652
645.000000	0.539500
646.000000	0.532851
647.000000	0.517009
648.000000	0.508617
649.000000	0.504405
650.000000	0.484732
651.000000	0.473520
652.000000	0.473008
653.000000	0.454977
654.000000	0.453400
655.000000	0.439903
656.000000	0.426447
657.000000	0.415699
658.000000	0.412719
659.000000	0.400294
660.000000	0.391466
661.000000	0.375858
662.000000	0.374935
663.000000	0.357306
664.000000	0.349677
665.000000	0.345501
666.000000	0.337513
667.000000	0.326763
668.000000	0.315310
669.000000	0.308910
670.000000	0.301106
671.000000	0.293087
672.000000	0.285528
673.000000	0.276421
674.000000	0.267157
675.000000	0.265134
676.000000	0.256979
677.000000	0.246623
678.000000	0.244892
679.000000	0.236706
680.000000	0.229236
681.000000	0.221342
682.000000	0.215727
683.000000	0.207496
684.000000	0.200374
685.000000	0.199236
686.000000	0.190191
687.000000	0.192320
688.000000	0.180956
689.000000	0.178400
690.000000	0.166736
691.000000	0.165622
692.000000	0.157966
693.000000	0.156562
694.000000	0.154566
695.000000	0.146532
696.000000	0.144660
697.000000	0.139874
698.000000	0.136583
699.000000	0.127191
700.000000	0.124682
701.000000	0.127035
702.000000	0.119318
703.000000	0.118464
704.000000	0.114596
705.000000	0.103740
706.000000	0.101702
707.000000	0.102464
708.000000	0.099882
709.000000	0.098326
710.000000	0.093844
711.000000	0.088128
