#LICA Lamps Spectra Database
#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2018/04/18
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.7352	0.6522	0.1799
#xyY coordinates: 0.4691	0.4161	0.6522
#sRGB: 255	102	19
#CCT Lindbloom (K):	2618
#CCT McCamy (K):	2613
#CCT Hernández-Andrés (K):	2510
#Melatonin: 0.263
#Chlorophyll a: 0.218
#Chlorophyll b: 0.509
#Beta Carotene: 0.218
#Manufacturer: Ryet Ikea
#Luminance manufacturer: 200lm
#Other data: Ryet LED. 2700K. 2.2W
#Begin Processed Spectral Data
W	S
475.000000	0.142631
476.000000	0.137402
477.000000	0.134904
478.000000	0.133349
479.000000	0.133942
480.000000	0.135040
481.000000	0.136249
482.000000	0.136875
483.000000	0.139189
484.000000	0.141659
485.000000	0.146135
486.000000	0.149290
487.000000	0.151429
488.000000	0.154708
489.000000	0.158724
490.000000	0.161184
491.000000	0.164735
492.000000	0.169422
493.000000	0.174178
494.000000	0.178598
495.000000	0.182203
496.000000	0.188625
497.000000	0.195454
498.000000	0.199962
499.000000	0.205340
500.000000	0.210720
501.000000	0.216169
502.000000	0.221331
503.000000	0.228191
504.000000	0.231596
505.000000	0.235595
506.000000	0.240812
507.000000	0.244825
508.000000	0.249494
509.000000	0.254335
510.000000	0.258858
511.000000	0.264524
512.000000	0.268799
513.000000	0.272732
514.000000	0.276632
515.000000	0.281682
516.000000	0.283652
517.000000	0.285858
518.000000	0.288411
519.000000	0.290796
520.000000	0.293913
521.000000	0.296073
522.000000	0.300211
523.000000	0.303581
524.000000	0.307728
525.000000	0.309674
526.000000	0.314015
527.000000	0.316985
528.000000	0.320656
529.000000	0.323177
530.000000	0.325632
531.000000	0.326599
532.000000	0.330352
533.000000	0.332118
534.000000	0.334586
535.000000	0.338834
536.000000	0.341315
537.000000	0.343384
538.000000	0.347240
539.000000	0.350997
540.000000	0.353313
541.000000	0.360203
542.000000	0.362670
543.000000	0.366764
544.000000	0.367463
545.000000	0.373137
546.000000	0.375419
547.000000	0.379555
548.000000	0.385316
549.000000	0.386947
550.000000	0.392108
551.000000	0.399622
552.000000	0.404456
553.000000	0.409128
554.000000	0.413788
555.000000	0.418647
556.000000	0.426676
557.000000	0.433411
558.000000	0.442734
559.000000	0.448022
560.000000	0.454545
561.000000	0.463749
562.000000	0.467392
563.000000	0.473435
564.000000	0.479381
565.000000	0.487367
566.000000	0.495590
567.000000	0.503515
568.000000	0.508637
569.000000	0.517865
570.000000	0.521061
571.000000	0.530176
572.000000	0.539792
573.000000	0.544863
574.000000	0.551320
575.000000	0.559714
576.000000	0.567922
577.000000	0.576218
578.000000	0.586220
579.000000	0.593264
580.000000	0.600590
581.000000	0.611292
582.000000	0.619091
583.000000	0.630265
584.000000	0.641573
585.000000	0.652229
586.000000	0.660697
587.000000	0.669596
588.000000	0.676280
589.000000	0.683033
590.000000	0.690193
591.000000	0.698414
592.000000	0.705621
593.000000	0.711737
594.000000	0.716329
595.000000	0.724875
596.000000	0.729644
597.000000	0.734372
598.000000	0.740061
599.000000	0.747991
600.000000	0.756493
601.000000	0.759341
602.000000	0.764688
603.000000	0.770710
604.000000	0.773337
605.000000	0.768904
606.000000	0.770706
607.000000	0.768699
608.000000	0.769191
609.000000	0.765658
610.000000	0.767251
611.000000	0.768211
612.000000	0.764536
613.000000	0.763631
614.000000	0.766496
615.000000	0.769620
616.000000	0.765903
617.000000	0.767662
618.000000	0.772338
619.000000	0.768535
620.000000	0.765320
621.000000	0.756507
622.000000	0.749647
623.000000	0.746161
624.000000	0.741106
625.000000	0.734702
626.000000	0.729396
627.000000	0.721866
628.000000	0.717123
629.000000	0.705126
630.000000	0.695816
631.000000	0.688058
632.000000	0.675925
633.000000	0.667458
634.000000	0.663242
635.000000	0.654174
636.000000	0.643013
637.000000	0.632118
638.000000	0.625557
639.000000	0.612831
640.000000	0.602189
641.000000	0.595774
642.000000	0.585714
643.000000	0.575437
644.000000	0.566845
645.000000	0.554924
646.000000	0.546934
647.000000	0.534408
648.000000	0.527463
649.000000	0.520021
650.000000	0.506327
651.000000	0.498523
652.000000	0.489859
653.000000	0.477655
654.000000	0.467524
655.000000	0.459358
656.000000	0.446132
657.000000	0.438200
658.000000	0.428011
