#LICA Lamps Spectra Database
#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2018/04/28
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.7774	0.6975	0.2047
#xyY coordinates: 0.4629	0.4153	0.6975
#sRGB: 255	107	22
#CCT Lindbloom (K):	2695
#CCT McCamy (K):	2692
#CCT Hernández-Andrés (K):	2600
#Melatonin: 0.272
#Chlorophyll a: 0.308
#Chlorophyll b: 0.546
#Beta Carotene: 0.308
#Manufacturer: Radium
#Luminance manufacturer: 470 lm
#Other data: RL-D 2700K.
#Begin Processed Spectral Data
W	S
475.000000	0.090260
476.000000	0.086877
477.000000	0.086739
478.000000	0.084436
479.000000	0.085074
480.000000	0.085746
481.000000	0.087807
482.000000	0.088363
483.000000	0.090533
484.000000	0.091904
485.000000	0.094973
486.000000	0.098221
487.000000	0.100024
488.000000	0.102806
489.000000	0.106531
490.000000	0.110439
491.000000	0.114852
492.000000	0.119101
493.000000	0.123985
494.000000	0.130655
495.000000	0.135883
496.000000	0.143007
497.000000	0.150547
498.000000	0.156581
499.000000	0.163027
500.000000	0.169900
501.000000	0.177524
502.000000	0.184865
503.000000	0.192649
504.000000	0.198978
505.000000	0.206540
506.000000	0.213132
507.000000	0.220480
508.000000	0.226668
509.000000	0.234482
510.000000	0.242325
511.000000	0.250454
512.000000	0.257667
513.000000	0.262093
514.000000	0.269357
515.000000	0.276030
516.000000	0.280790
517.000000	0.285260
518.000000	0.290988
519.000000	0.296049
520.000000	0.300462
521.000000	0.304591
522.000000	0.309796
523.000000	0.315080
524.000000	0.322044
525.000000	0.324036
526.000000	0.329045
527.000000	0.333320
528.000000	0.338144
529.000000	0.342648
530.000000	0.345783
531.000000	0.349045
532.000000	0.352344
533.000000	0.354428
534.000000	0.357077
535.000000	0.362930
536.000000	0.364644
537.000000	0.368356
538.000000	0.372460
539.000000	0.375498
540.000000	0.378933
