#LICA Lamps Spectra Database
#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2018/04/30
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.7458	0.6657	0.2113
#xyY coordinates: 0.4596	0.4102	0.6657
#sRGB: 255	106	26
#CCT Lindbloom (K):	2701
#CCT McCamy (K):	2698
#CCT Hernández-Andrés (K):	2611
#Melatonin: 0.286
#Chlorophyll a: 0.203
#Chlorophyll b: 0.532
#Beta Carotene: 0.203
#Manufacturer: Attralux
#Luminance manufacturer: 470 lm
#Other data: Attralux warm white 5.5 watt 2700K.
#Begin Processed Spectral Data
W	S
475.000000	0.169386
476.000000	0.163191
477.000000	0.161551
478.000000	0.154745
479.000000	0.154490
480.000000	0.151099
481.000000	0.152164
482.000000	0.150427
483.000000	0.150640
484.000000	0.152149
485.000000	0.152851
486.000000	0.154239
487.000000	0.158780
488.000000	0.159284
489.000000	0.159160
490.000000	0.163713
491.000000	0.167346
492.000000	0.171924
493.000000	0.173969
494.000000	0.177789
495.000000	0.182444
496.000000	0.186069
497.000000	0.193670
498.000000	0.196040
499.000000	0.202775
500.000000	0.207416
501.000000	0.209628
502.000000	0.215109
503.000000	0.225231
504.000000	0.224000
505.000000	0.233422
506.000000	0.237764
507.000000	0.239509
508.000000	0.246017
509.000000	0.251204
510.000000	0.255442
511.000000	0.261707
512.000000	0.265401
513.000000	0.271902
514.000000	0.274587
515.000000	0.281534
516.000000	0.282655
517.000000	0.285847
518.000000	0.291260
519.000000	0.292578
520.000000	0.296866
521.000000	0.294437
522.000000	0.302196
523.000000	0.307082
524.000000	0.310660
525.000000	0.313013
526.000000	0.316336
527.000000	0.319525
528.000000	0.325228
529.000000	0.328947
530.000000	0.332000
531.000000	0.333091
532.000000	0.337163
533.000000	0.338632
534.000000	0.344235
535.000000	0.343741
536.000000	0.350623
537.000000	0.351975
538.000000	0.355521
539.000000	0.360533
540.000000	0.364922
541.000000	0.375288
542.000000	0.376886
543.000000	0.383258
544.000000	0.383304
545.000000	0.392152
546.000000	0.391141
547.000000	0.399120
548.000000	0.403121
549.000000	0.406841
550.000000	0.407510
551.000000	0.417145
552.000000	0.425614
553.000000	0.429367
554.000000	0.432769
555.000000	0.437366
556.000000	0.449145
557.000000	0.453747
558.000000	0.466633
559.000000	0.470166
560.000000	0.477326
561.000000	0.487784
562.000000	0.492027
563.000000	0.497358
564.000000	0.506461
565.000000	0.512499
566.000000	0.519843
567.000000	0.526507
568.000000	0.530771
569.000000	0.546277
570.000000	0.548661
571.000000	0.553026
572.000000	0.568222
573.000000	0.572980
574.000000	0.581822
575.000000	0.586393
576.000000	0.594739
577.000000	0.604309
578.000000	0.616694
579.000000	0.622496
580.000000	0.624484
581.000000	0.636761
582.000000	0.646343
583.000000	0.655600
584.000000	0.666009
585.000000	0.678450
586.000000	0.684842
587.000000	0.690509
588.000000	0.701120
589.000000	0.705405
590.000000	0.714227
591.000000	0.719294
592.000000	0.725789
593.000000	0.729482
594.000000	0.733952
595.000000	0.743808
