#LICA Lamps Spectra Database
#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2017/12/17
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.7627	0.6831	0.2431
#xyY coordinates: 0.4516	0.4045	0.6831
#sRGB: 255	108	31
#CCT Lindbloom (K):	2771
#CCT McCamy (K):	2770
#CCT Hernández-Andrés (K):	2696
#Melatonin: 0.306
#Chlorophyll a: 0.208
#Chlorophyll b: 0.574
#Beta Carotene: 0.209
#Manufacturer: Philips
#Luminance manufacturer: 470lm
#Other data: Manufacturer 2700K. 5.5W
#Begin Processed Spectral Data
W	S
475.000000	0.108367
476.000000	0.103436
477.000000	0.101908
478.000000	0.099498
479.000000	0.099399
480.000000	0.099146
481.000000	0.100256
482.000000	0.099493
483.000000	0.103091
484.000000	0.102839
485.000000	0.107288
486.000000	0.109904
487.000000	0.112799
488.000000	0.117281
489.000000	0.118886
490.000000	0.123878
491.000000	0.127272
492.000000	0.135778
493.000000	0.140880
494.000000	0.148815
495.000000	0.155485
496.000000	0.159840
497.000000	0.169022
498.000000	0.174296
499.000000	0.179422
500.000000	0.187640
501.000000	0.198902
502.000000	0.207061
503.000000	0.214576
504.000000	0.219306
505.000000	0.226056
506.000000	0.232815
507.000000	0.241112
508.000000	0.248132
509.000000	0.253244
510.000000	0.260464
511.000000	0.271343
512.000000	0.277822
513.000000	0.278701
514.000000	0.288188
515.000000	0.295186
516.000000	0.301443
517.000000	0.305128
518.000000	0.308216
519.000000	0.311288
520.000000	0.317965
521.000000	0.319774
522.000000	0.323871
523.000000	0.328981
524.000000	0.335507
525.000000	0.332687
526.000000	0.342920
527.000000	0.345747
528.000000	0.347716
