#LICA Lamps Spectra Database
#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2017/12/26
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.8008	0.7186	0.2605
#xyY coordinates: 0.4499	0.4037	0.7186
#sRGB: 255	109	33
#CCT Lindbloom (K):	2790
#CCT McCamy (K):	2790
#CCT Hernández-Andrés (K):	2719
#Melatonin: 0.307
#Chlorophyll a: 0.328
#Chlorophyll b: 0.599
#Beta Carotene: 0.328
#Manufacturer: Unknown
#Luminance manufacturer: Unknown
#Other data: Riba-Roja de Turia streetlamps. Plaça de la Torre.
#Begin Processed Spectral Data
W	S
475.000000	0.145193
476.000000	0.135957
477.000000	0.131678
478.000000	0.123795
479.000000	0.121402
480.000000	0.118595
481.000000	0.116321
482.000000	0.113992
483.000000	0.114544
484.000000	0.115285
485.000000	0.115054
486.000000	0.118428
487.000000	0.119237
488.000000	0.120186
489.000000	0.123001
490.000000	0.126456
491.000000	0.129149
492.000000	0.132436
493.000000	0.136699
494.000000	0.140831
495.000000	0.145392
496.000000	0.148672
497.000000	0.156338
498.000000	0.162240
499.000000	0.167106
500.000000	0.173665
501.000000	0.179492
502.000000	0.188580
503.000000	0.195127
504.000000	0.199583
505.000000	0.205690
506.000000	0.212265
507.000000	0.218683
508.000000	0.225793
509.000000	0.233118
510.000000	0.238796
511.000000	0.246459
512.000000	0.251272
513.000000	0.257085
514.000000	0.263233
515.000000	0.268684
516.000000	0.273034
517.000000	0.278518
518.000000	0.283093
519.000000	0.286044
520.000000	0.291521
521.000000	0.295006
522.000000	0.299388
523.000000	0.304743
524.000000	0.311962
525.000000	0.313764
526.000000	0.316641
527.000000	0.322580
528.000000	0.327544
529.000000	0.330478
530.000000	0.335734
531.000000	0.338635
532.000000	0.342132
533.000000	0.345871
534.000000	0.348453
535.000000	0.353972
536.000000	0.356069
537.000000	0.360853
538.000000	0.365202
539.000000	0.370098
540.000000	0.374095
541.000000	0.380609
542.000000	0.384086
543.000000	0.389279
544.000000	0.392827
545.000000	0.397396
546.000000	0.401509
547.000000	0.405481
548.000000	0.412394
549.000000	0.415327
550.000000	0.421109
551.000000	0.426833
552.000000	0.432409
553.000000	0.438919
554.000000	0.443833
555.000000	0.446667
556.000000	0.456913
557.000000	0.462052
558.000000	0.469388
559.000000	0.475237
560.000000	0.480870
561.000000	0.487902
562.000000	0.491960
563.000000	0.498961
564.000000	0.501093
565.000000	0.507600
566.000000	0.516998
567.000000	0.522290
568.000000	0.527611
569.000000	0.533463
570.000000	0.536207
571.000000	0.544117
572.000000	0.550163
573.000000	0.553516
574.000000	0.558765
575.000000	0.564428
576.000000	0.567563
577.000000	0.573448
578.000000	0.579125
579.000000	0.587526
580.000000	0.593089
581.000000	0.596457
582.000000	0.605604
