#LICA Lamps Spectra Database
#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2017/12/17
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.7618	0.6875	0.2381
#xyY coordinates: 0.4515	0.4074	0.6875
#sRGB: 255	111	30
#CCT Lindbloom (K):	2796
#CCT McCamy (K):	2796
#CCT Hernández-Andrés (K):	2723
#Melatonin: 0.305
#Chlorophyll a: 0.239
#Chlorophyll b: 0.554
#Beta Carotene: 0.239
#Manufacturer: LAES
#Luminance manufacturer: 470lm
#Other data: Manufacturer 2700K
#Begin Processed Spectral Data
W	S
475.000000	0.168588
476.000000	0.161329
477.000000	0.158999
478.000000	0.154420
479.000000	0.151576
480.000000	0.146789
481.000000	0.146813
482.000000	0.145328
483.000000	0.150384
484.000000	0.149574
485.000000	0.150622
486.000000	0.153743
487.000000	0.153670
488.000000	0.155467
489.000000	0.159636
490.000000	0.159595
491.000000	0.164931
492.000000	0.164995
493.000000	0.169296
494.000000	0.174848
495.000000	0.180140
496.000000	0.184491
497.000000	0.188252
498.000000	0.193223
499.000000	0.196312
500.000000	0.202044
501.000000	0.210519
502.000000	0.216230
503.000000	0.219777
504.000000	0.230292
505.000000	0.232608
506.000000	0.234567
507.000000	0.242719
508.000000	0.251010
509.000000	0.256123
510.000000	0.258560
511.000000	0.268540
512.000000	0.271156
513.000000	0.273593
514.000000	0.282114
515.000000	0.284701
516.000000	0.293979
517.000000	0.294710
518.000000	0.298694
519.000000	0.301767
520.000000	0.306374
521.000000	0.307484
522.000000	0.311471
523.000000	0.317648
524.000000	0.321811
525.000000	0.325388
526.000000	0.327139
527.000000	0.333794
528.000000	0.337550
529.000000	0.344143
530.000000	0.345813
531.000000	0.349172
532.000000	0.349384
533.000000	0.351717
534.000000	0.355152
535.000000	0.357559
536.000000	0.362313
537.000000	0.366370
538.000000	0.368376
539.000000	0.372138
540.000000	0.377147
541.000000	0.385913
542.000000	0.388091
543.000000	0.393497
544.000000	0.393415
545.000000	0.397494
546.000000	0.400634
547.000000	0.408284
548.000000	0.412164
549.000000	0.415893
550.000000	0.421758
551.000000	0.428178
552.000000	0.431710
553.000000	0.440938
554.000000	0.448590
555.000000	0.451137
556.000000	0.461576
557.000000	0.464027
558.000000	0.473009
559.000000	0.481568
560.000000	0.486066
561.000000	0.496529
562.000000	0.497270
563.000000	0.503846
564.000000	0.508322
565.000000	0.515765
566.000000	0.523479
567.000000	0.531642
568.000000	0.537255
569.000000	0.541895
570.000000	0.548306
571.000000	0.557695
572.000000	0.564360
573.000000	0.568110
574.000000	0.578842
575.000000	0.588434
576.000000	0.594906
577.000000	0.597286
578.000000	0.601915
579.000000	0.608772
580.000000	0.617870
581.000000	0.627721
582.000000	0.633460
583.000000	0.646975
584.000000	0.653467
585.000000	0.661179
586.000000	0.666647
587.000000	0.673177
588.000000	0.683146
589.000000	0.682621
590.000000	0.686596
591.000000	0.694910
592.000000	0.702079
593.000000	0.709598
594.000000	0.709319
595.000000	0.713410
596.000000	0.717322
597.000000	0.718256
598.000000	0.725557
599.000000	0.731271
600.000000	0.735833
601.000000	0.735755
602.000000	0.741581
603.000000	0.738859
604.000000	0.746378
605.000000	0.741277
606.000000	0.738261
607.000000	0.730929
608.000000	0.727286
609.000000	0.731479
610.000000	0.729287
611.000000	0.722321
612.000000	0.723911
613.000000	0.719900
614.000000	0.719476
615.000000	0.728662
616.000000	0.728242
617.000000	0.726826
618.000000	0.726280
619.000000	0.724286
620.000000	0.717956
621.000000	0.704958
622.000000	0.706378
623.000000	0.699735
624.000000	0.693548
625.000000	0.687954
626.000000	0.679014
627.000000	0.675566
628.000000	0.668917
629.000000	0.661515
630.000000	0.653859
631.000000	0.646027
632.000000	0.632153
633.000000	0.630504
634.000000	0.624107
635.000000	0.623430
636.000000	0.601340
637.000000	0.599779
638.000000	0.588462
639.000000	0.576243
640.000000	0.573744
641.000000	0.566597
642.000000	0.559730
643.000000	0.545500
644.000000	0.541728
645.000000	0.528483
646.000000	0.521648
647.000000	0.519167
648.000000	0.500986
649.000000	0.496158
650.000000	0.491445
651.000000	0.478944
652.000000	0.468087
653.000000	0.465878
654.000000	0.449628
655.000000	0.443177
656.000000	0.435650
657.000000	0.422917
658.000000	0.412425
659.000000	0.407854
660.000000	0.398923
661.000000	0.392737
662.000000	0.385565
663.000000	0.380714
664.000000	0.367177
665.000000	0.358563
666.000000	0.349045
667.000000	0.348026
668.000000	0.336703
669.000000	0.329041
670.000000	0.324845
671.000000	0.316375
672.000000	0.311104
673.000000	0.306057
674.000000	0.295083
675.000000	0.291096
676.000000	0.282085
677.000000	0.276090
678.000000	0.266784
679.000000	0.263282
680.000000	0.256920
681.000000	0.248625
682.000000	0.241220
683.000000	0.238018
684.000000	0.231104
685.000000	0.221768
686.000000	0.219290
687.000000	0.212517
688.000000	0.206715
689.000000	0.202645
690.000000	0.196469
691.000000	0.194248
692.000000	0.188386
693.000000	0.183816
694.000000	0.177480
695.000000	0.174813
696.000000	0.171036
697.000000	0.166209
698.000000	0.159575
699.000000	0.154617
700.000000	0.152427
701.000000	0.152541
702.000000	0.145585
703.000000	0.142228
704.000000	0.139598
705.000000	0.133019
706.000000	0.126786
707.000000	0.123729
708.000000	0.128596
709.000000	0.120238
710.000000	0.114122
711.000000	0.109736
712.000000	0.108937
713.000000	0.107214
714.000000	0.104912
715.000000	0.102702
716.000000	0.096798
717.000000	0.095046
718.000000	0.095776
719.000000	0.089153
720.000000	0.087109
721.000000	0.086886
722.000000	0.083281
723.000000	0.080532
724.000000	0.079934
725.000000	0.073609
