#LICA Lamps Spectra Database
#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2017/12/17
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.7443	0.6797	0.2128
#xyY coordinates: 0.4547	0.4153	0.6797
#sRGB: 255	114	26
#CCT Lindbloom (K):	2810
#CCT McCamy (K):	2811
#CCT Hernández-Andrés (K):	2733
#Melatonin: 0.289
#Chlorophyll a: 0.161
#Chlorophyll b: 0.499
#Beta Carotene: 0.162
#Manufacturer: VEL Light
#Luminance manufacturer: 
#Other data: 2700K
#Begin Processed Spectral Data
W	S
475.000000	0.220542
476.000000	0.216220
477.000000	0.211941
478.000000	0.205313
479.000000	0.202230
480.000000	0.195661
481.000000	0.192462
482.000000	0.189283
483.000000	0.187714
484.000000	0.186903
485.000000	0.187674
486.000000	0.187467
487.000000	0.186640
488.000000	0.187515
489.000000	0.187687
490.000000	0.191007
491.000000	0.193668
492.000000	0.194163
493.000000	0.198076
494.000000	0.199754
495.000000	0.205267
496.000000	0.210069
497.000000	0.214232
498.000000	0.213935
499.000000	0.219580
500.000000	0.223299
501.000000	0.228267
502.000000	0.232303
503.000000	0.238841
504.000000	0.244965
505.000000	0.247695
506.000000	0.251198
507.000000	0.259749
508.000000	0.261755
509.000000	0.268524
510.000000	0.271254
511.000000	0.280065
512.000000	0.281881
513.000000	0.284367
514.000000	0.294673
515.000000	0.298305
516.000000	0.302340
517.000000	0.304037
518.000000	0.307755
519.000000	0.309872
520.000000	0.313357
521.000000	0.314957
522.000000	0.319245
523.000000	0.324940
524.000000	0.328637
525.000000	0.331104
526.000000	0.336457
527.000000	0.339313
528.000000	0.343907
529.000000	0.349343
530.000000	0.350518
531.000000	0.352879
532.000000	0.354648
533.000000	0.357094
534.000000	0.359903
535.000000	0.362616
536.000000	0.367278
537.000000	0.370757
538.000000	0.373199
539.000000	0.379207
540.000000	0.382046
541.000000	0.387308
542.000000	0.391896
543.000000	0.393532
544.000000	0.400530
545.000000	0.406485
546.000000	0.407481
547.000000	0.412560
548.000000	0.418856
549.000000	0.421328
550.000000	0.429319
551.000000	0.431777
552.000000	0.439267
553.000000	0.445524
554.000000	0.453621
555.000000	0.459705
556.000000	0.467972
557.000000	0.476757
558.000000	0.484963
559.000000	0.491308
560.000000	0.500580
561.000000	0.504657
562.000000	0.512466
563.000000	0.516482
564.000000	0.522756
565.000000	0.532326
566.000000	0.537789
