#LICA Lamps Spectra Database
#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2017/12/15
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.7242	0.6832	0.1649
#xyY coordinates: 0.4606	0.4345	0.6832
#sRGB: 255	123	16
#CCT Lindbloom (K):	2870
#CCT McCamy (K):	2873
#CCT Hernández-Andrés (K):	2788
#Melatonin: 0.217
#Chlorophyll a: 0.109
#Chlorophyll b: 0.438
#Beta Carotene: 0.110
#Manufacturer: Unknown
#Luminance manufacturer: Unknown
#Other data:
#Begin Processed Spectral Data
W	S
475.000000	0.064783
476.000000	0.060901
477.000000	0.058319
478.000000	0.054670
479.000000	0.055727
480.000000	0.053452
481.000000	0.054449
482.000000	0.052667
483.000000	0.054633
484.000000	0.052970
485.000000	0.054217
486.000000	0.053603
487.000000	0.053985
488.000000	0.054416
489.000000	0.058139
490.000000	0.058064
491.000000	0.059498
492.000000	0.063191
493.000000	0.063736
494.000000	0.068892
495.000000	0.070072
496.000000	0.075985
497.000000	0.079471
498.000000	0.084698
499.000000	0.088261
500.000000	0.097105
501.000000	0.104644
502.000000	0.108993
503.000000	0.116726
504.000000	0.121680
505.000000	0.128258
506.000000	0.135776
507.000000	0.144841
508.000000	0.152459
509.000000	0.158292
510.000000	0.171295
511.000000	0.177032
512.000000	0.187988
513.000000	0.195474
514.000000	0.205058
515.000000	0.215414
516.000000	0.222654
517.000000	0.233335
518.000000	0.240864
519.000000	0.248322
520.000000	0.261584
521.000000	0.268648
522.000000	0.278261
523.000000	0.286119
524.000000	0.297495
525.000000	0.311602
526.000000	0.317131
527.000000	0.327952
528.000000	0.340507
529.000000	0.354682
530.000000	0.365948
531.000000	0.377405
532.000000	0.382768
533.000000	0.394460
534.000000	0.400730
535.000000	0.412999
536.000000	0.428045
537.000000	0.436897
538.000000	0.451277
539.000000	0.460314
540.000000	0.466094
541.000000	0.481241
542.000000	0.495263
543.000000	0.506781
544.000000	0.520046
545.000000	0.529638
546.000000	0.539100
547.000000	0.553880
548.000000	0.562821
549.000000	0.575529
550.000000	0.594108
551.000000	0.609846
552.000000	0.619629
553.000000	0.635519
554.000000	0.646402
555.000000	0.667593
556.000000	0.679194
557.000000	0.691739
558.000000	0.699022
559.000000	0.703279
560.000000	0.714469
561.000000	0.733531
562.000000	0.744156
563.000000	0.753720
564.000000	0.764876
565.000000	0.778054
566.000000	0.790497
567.000000	0.805782
568.000000	0.813137
569.000000	0.813590
570.000000	0.823935
571.000000	0.821830
572.000000	0.831230
573.000000	0.839728
574.000000	0.844516
575.000000	0.854396
576.000000	0.862443
577.000000	0.859911
578.000000	0.862159
579.000000	0.865747
580.000000	0.874619
581.000000	0.880789
582.000000	0.884227
583.000000	0.891463
584.000000	0.892729
585.000000	0.893563
586.000000	0.893127
587.000000	0.892529
588.000000	0.895302
589.000000	0.893265
590.000000	0.891598
591.000000	0.888801
592.000000	0.888833
593.000000	0.878908
594.000000	0.869199
595.000000	0.873423
596.000000	0.869561
597.000000	0.866537
598.000000	0.855870
599.000000	0.858935
600.000000	0.862344
601.000000	0.852196
602.000000	0.849901
603.000000	0.852635
604.000000	0.828807
605.000000	0.814032
606.000000	0.801927
607.000000	0.793842
608.000000	0.795191
