#LICA Lamps Spectra Database
#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2017/12/17
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.7549	0.6893	0.2475
#xyY coordinates: 0.4462	0.4075	0.6893
#sRGB: 255	115	33
#CCT Lindbloom (K):	2877
#CCT McCamy (K):	2879
#CCT Hernández-Andrés (K):	2814
#Melatonin: 0.313
#Chlorophyll a: 0.159
#Chlorophyll b: 0.557
#Beta Carotene: 0.160
#Manufacturer: Prilux
#Luminance manufacturer: 480lm
#Other data: Prilux Basic esSENSE BALL. 3000K. 5W
#Begin Processed Spectral Data
W	S
475.000000	0.117328
476.000000	0.115239
477.000000	0.114247
478.000000	0.112202
479.000000	0.115319
480.000000	0.115742
481.000000	0.118390
482.000000	0.119986
483.000000	0.122219
484.000000	0.126518
485.000000	0.129610
486.000000	0.132035
487.000000	0.134893
488.000000	0.141229
489.000000	0.141706
490.000000	0.148815
491.000000	0.155412
492.000000	0.160935
493.000000	0.171141
494.000000	0.174510
495.000000	0.182215
496.000000	0.189645
497.000000	0.195378
498.000000	0.203831
499.000000	0.210759
500.000000	0.215826
501.000000	0.227667
502.000000	0.233371
503.000000	0.241831
504.000000	0.246849
505.000000	0.256426
506.000000	0.260326
507.000000	0.271019
508.000000	0.275768
509.000000	0.282969
510.000000	0.286376
511.000000	0.298196
512.000000	0.305231
513.000000	0.305427
514.000000	0.319690
515.000000	0.325524
516.000000	0.328469
517.000000	0.331612
518.000000	0.340861
519.000000	0.340560
520.000000	0.345508
521.000000	0.348756
522.000000	0.352049
523.000000	0.357226
524.000000	0.366487
525.000000	0.366854
526.000000	0.373605
527.000000	0.377915
528.000000	0.376090
529.000000	0.382962
530.000000	0.385731
531.000000	0.389707
532.000000	0.386938
533.000000	0.390678
534.000000	0.394981
535.000000	0.396889
536.000000	0.400274
537.000000	0.405986
538.000000	0.408671
539.000000	0.408042
540.000000	0.411007
541.000000	0.420065
542.000000	0.423659
543.000000	0.430592
544.000000	0.425356
545.000000	0.429135
546.000000	0.432124
547.000000	0.437445
548.000000	0.439854
549.000000	0.441248
550.000000	0.449113
551.000000	0.452699
552.000000	0.454905
553.000000	0.461993
554.000000	0.465736
555.000000	0.476737
556.000000	0.478427
557.000000	0.487578
558.000000	0.495808
559.000000	0.500251
560.000000	0.500631
561.000000	0.507505
562.000000	0.511878
563.000000	0.517967
564.000000	0.520066
565.000000	0.527840
566.000000	0.538237
567.000000	0.539091
568.000000	0.545403
569.000000	0.556068
570.000000	0.549002
571.000000	0.565688
572.000000	0.572377
573.000000	0.579428
574.000000	0.588668
575.000000	0.590159
576.000000	0.602356
577.000000	0.614400
578.000000	0.616077
579.000000	0.621160
580.000000	0.627955
581.000000	0.640709
582.000000	0.650428
583.000000	0.655741
584.000000	0.676408
585.000000	0.682514
586.000000	0.688046
587.000000	0.699957
588.000000	0.698520
589.000000	0.702259
590.000000	0.712325
591.000000	0.718821
592.000000	0.720015
593.000000	0.733521
594.000000	0.731926
595.000000	0.744193
596.000000	0.741422
597.000000	0.742935
598.000000	0.756852
599.000000	0.760329
600.000000	0.767715
601.000000	0.768981
602.000000	0.776783
603.000000	0.775588
604.000000	0.775842
605.000000	0.771451
606.000000	0.763163
607.000000	0.763249
608.000000	0.759831
609.000000	0.763015
610.000000	0.764292
611.000000	0.759501
612.000000	0.756373
613.000000	0.753195
614.000000	0.752629
615.000000	0.759737
616.000000	0.752029
617.000000	0.757440
618.000000	0.755758
619.000000	0.747670
620.000000	0.741997
621.000000	0.732798
622.000000	0.724754
623.000000	0.722491
624.000000	0.708234
625.000000	0.696719
626.000000	0.692309
627.000000	0.689270
628.000000	0.674585
629.000000	0.664436
