#LICA Lamps Spectra Database
#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2017/12/15
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.7904	0.7027	0.3563
#xyY coordinates: 0.4274	0.3799	0.7027
#sRGB: 255	111	54
#CCT Lindbloom (K):	2961
#CCT McCamy (K):	2966
#CCT Hernández-Andrés (K):	2934
#Melatonin: 0.379
#Chlorophyll a: 0.220
#Chlorophyll b: 0.691
#Beta Carotene: 0.221
#Manufacturer: Philips
#Luminance manufacturer: Unknown
#Other data: Madrid streetlamp at Travesía Andrés Mellado
#Begin Processed Spectral Data
W	S
475.000000	0.099948
476.000000	0.097326
477.000000	0.096341
478.000000	0.091651
479.000000	0.086541
480.000000	0.083557
481.000000	0.082675
482.000000	0.080626
483.000000	0.082577
484.000000	0.084010
485.000000	0.081271
486.000000	0.086679
487.000000	0.084868
488.000000	0.085463
489.000000	0.087376
490.000000	0.090160
491.000000	0.094012
492.000000	0.097883
493.000000	0.102293
494.000000	0.105900
495.000000	0.112938
496.000000	0.117293
497.000000	0.121057
498.000000	0.129407
499.000000	0.136601
500.000000	0.142327
501.000000	0.151340
502.000000	0.159913
503.000000	0.166972
504.000000	0.172972
505.000000	0.182463
506.000000	0.188820
507.000000	0.199383
508.000000	0.206677
509.000000	0.217749
510.000000	0.226411
511.000000	0.231077
512.000000	0.240635
513.000000	0.248761
514.000000	0.257109
515.000000	0.265480
516.000000	0.276078
517.000000	0.282129
518.000000	0.291850
519.000000	0.295163
520.000000	0.302470
521.000000	0.308165
522.000000	0.318608
523.000000	0.325941
524.000000	0.334379
525.000000	0.338965
526.000000	0.346056
527.000000	0.352559
528.000000	0.359621
529.000000	0.367215
530.000000	0.372089
531.000000	0.375260
532.000000	0.384059
533.000000	0.388926
534.000000	0.391549
535.000000	0.396529
536.000000	0.402211
537.000000	0.409996
538.000000	0.413428
539.000000	0.424748
540.000000	0.425845
541.000000	0.432954
542.000000	0.439938
543.000000	0.445328
544.000000	0.452283
545.000000	0.456868
546.000000	0.465487
547.000000	0.465290
548.000000	0.476772
549.000000	0.482500
550.000000	0.489518
551.000000	0.491904
552.000000	0.492384
553.000000	0.510038
554.000000	0.517927
555.000000	0.525309
556.000000	0.531376
557.000000	0.533562
558.000000	0.549370
559.000000	0.551288
560.000000	0.558991
561.000000	0.571172
562.000000	0.572498
563.000000	0.582118
564.000000	0.594735
565.000000	0.599668
566.000000	0.610045
567.000000	0.619479
568.000000	0.621744
569.000000	0.630361
570.000000	0.636362
571.000000	0.641965
572.000000	0.645921
573.000000	0.653611
574.000000	0.659047
575.000000	0.666683
576.000000	0.677586
577.000000	0.679184
578.000000	0.688433
579.000000	0.690394
580.000000	0.695804
581.000000	0.706216
582.000000	0.711234
583.000000	0.715085
584.000000	0.716199
585.000000	0.734282
586.000000	0.741322
587.000000	0.748318
588.000000	0.745153
589.000000	0.748190
590.000000	0.753280
591.000000	0.757103
592.000000	0.763672
593.000000	0.764936
594.000000	0.763852
595.000000	0.764847
596.000000	0.767004
597.000000	0.770481
598.000000	0.776121
599.000000	0.774755
600.000000	0.779055
601.000000	0.777856
602.000000	0.776930
603.000000	0.782896
604.000000	0.777210
605.000000	0.768080
606.000000	0.764476
607.000000	0.759867
608.000000	0.758212
609.000000	0.754915
610.000000	0.746437
611.000000	0.744771
612.000000	0.736249
613.000000	0.730674
614.000000	0.728623
615.000000	0.734608
616.000000	0.727562
617.000000	0.725359
618.000000	0.727341
619.000000	0.711856
620.000000	0.709498
621.000000	0.700034
622.000000	0.691098
623.000000	0.688383
624.000000	0.675649
625.000000	0.675985
626.000000	0.656780
627.000000	0.654496
628.000000	0.648518
629.000000	0.638556
630.000000	0.621755
631.000000	0.615868
632.000000	0.603534
633.000000	0.593596
634.000000	0.587337
635.000000	0.579509
636.000000	0.567626
637.000000	0.552858
638.000000	0.552009
639.000000	0.540681
640.000000	0.527097
641.000000	0.527673
642.000000	0.518358
643.000000	0.502476
644.000000	0.489023
645.000000	0.481829
646.000000	0.473117
647.000000	0.465019
648.000000	0.457121
649.000000	0.454869
650.000000	0.440689
651.000000	0.438161
652.000000	0.425744
653.000000	0.416824
654.000000	0.403334
655.000000	0.398873
656.000000	0.383957
657.000000	0.376905
658.000000	0.372940
659.000000	0.364263
660.000000	0.368155
661.000000	0.350417
662.000000	0.347022
663.000000	0.340692
664.000000	0.322483
665.000000	0.323778
666.000000	0.313032
667.000000	0.308630
668.000000	0.294109
669.000000	0.290447
670.000000	0.285410
671.000000	0.283439
672.000000	0.279261
673.000000	0.263048
674.000000	0.264406
675.000000	0.261339
676.000000	0.249469
677.000000	0.247644
678.000000	0.242576
679.000000	0.232869
680.000000	0.224159
681.000000	0.217800
682.000000	0.222625
683.000000	0.214156
684.000000	0.205822
685.000000	0.204751
686.000000	0.193807
687.000000	0.192452
688.000000	0.184620
689.000000	0.178460
690.000000	0.175259
691.000000	0.171255
692.000000	0.172154
693.000000	0.167021
694.000000	0.156840
695.000000	0.156515
696.000000	0.150274
697.000000	0.146454
698.000000	0.141906
699.000000	0.148516
700.000000	0.140744
701.000000	0.139882
702.000000	0.135272
703.000000	0.136452
704.000000	0.123233
705.000000	0.121426
706.000000	0.124366
707.000000	0.112156
708.000000	0.114770
709.000000	0.117446
710.000000	0.115255
711.000000	0.104785
712.000000	0.098334
713.000000	0.103932
714.000000	0.095649
715.000000	0.095476
716.000000	0.095348
717.000000	0.093776
718.000000	0.088815
719.000000	0.091353
720.000000	0.087708
721.000000	0.079862
722.000000	0.081542
723.000000	0.080834
724.000000	0.068555
725.000000	0.073157
